Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Billund;A;Socialdemokratiet;Listestemmer;163
1. Billund;A;Socialdemokratiet;Ann Charlotte G. Vilstrup, Billund;760
1. Billund;A;Socialdemokratiet;Kris Jensen Skriver, Grindsted;14
1. Billund;A;Socialdemokratiet;Jeyarajah Rasiah, Grindsted;28
1. Billund;A;Socialdemokratiet;Simon Nicolajsen Jørgensen, Billun;165
1. Billund;A;Socialdemokratiet;Heidi Alberthe Nielsen, Stenderup-;1
1. Billund;A;Socialdemokratiet;Birthe Nielsen, Hejnsvig;32
1. Billund;A;Socialdemokratiet;Arne Spangfort Christensen, Vorbas;3
1. Billund;A;Socialdemokratiet;Kurt Jensen, Sdr. Omme;1
1. Billund;A;Socialdemokratiet;Eva Kristensen, Grindsted;3
1. Billund;A;Socialdemokratiet;Rie Köppen, Grindsted;8
1. Billund;A;Socialdemokratiet;Jannick Dam Kristensen, Billund;48
1. Billund;A;Socialdemokratiet;Tina Glad, Grindsted;1
1. Billund;A;Socialdemokratiet;Brian Nissen, Filskov;15
1. Billund;A;Socialdemokratiet;Jane Albinus Borg Kjær, Hejnsvig;8
1. Billund;A;Socialdemokratiet;Mikkel Jakobsen, Billund;14
1. Billund;A;Socialdemokratiet;Anne Lise Holm, Sdr. Omme;1
1. Billund;A;Socialdemokratiet;Jill Isabel Flores í Toftum, Billu;24
1. Billund;B;Radikale Venstre;Listestemmer;24
1. Billund;B;Radikale Venstre;Peter Geurts;58
1. Billund;B;Radikale Venstre;Gregers Lindvig;28
1. Billund;B;Radikale Venstre;Niels Kr. Refstrup;22
1. Billund;C;Det Konservative Folkeparti;Listestemmer;80
1. Billund;C;Det Konservative Folkeparti;Allan Munk Nielsen, Sdr. Omme;36
1. Billund;C;Det Konservative Folkeparti;Lars Hansen, Grindsted;43
1. Billund;C;Det Konservative Folkeparti;René Eriksen, Hejnsvig;5
1. Billund;C;Det Konservative Folkeparti;Carsten Søndersø Riemann, Grindste;4
1. Billund;C;Det Konservative Folkeparti;Per Madsen, Grindsted;8
1. Billund;C;Det Konservative Folkeparti;Jeppe Fuglsang, Grindsted;27
1. Billund;C;Det Konservative Folkeparti;Katri Søgaard, Grindsted;4
1. Billund;D;Nye Borgerlige;Listestemmer;31
1. Billund;D;Nye Borgerlige;Allan Christensen;13
1. Billund;D;Nye Borgerlige;Frank Mikkelsen;19
1. Billund;F;SF - Socialistisk Folkeparti;Listestemmer;25
1. Billund;F;SF - Socialistisk Folkeparti;Karlo Madsen;10
1. Billund;K;Kristendemokraterne;Listestemmer;7
1. Billund;K;Kristendemokraterne;Frits Simmelsgaard Kristensen;2
1. Billund;L;Lokalpolitisk Forum;Listestemmer;40
1. Billund;L;Lokalpolitisk Forum;Ulrich Kristensen;340
1. Billund;L;Lokalpolitisk Forum;Nikolai L. Friis;76
1. Billund;L;Lokalpolitisk Forum;Coco Kjærgaard;42
1. Billund;L;Lokalpolitisk Forum;Martin Alminde Friis;50
1. Billund;L;Lokalpolitisk Forum;Tony Olsen;2
1. Billund;L;Lokalpolitisk Forum;Martin Borup;27
1. Billund;O;Dansk Folkeparti;Listestemmer;50
1. Billund;O;Dansk Folkeparti;Per Nyhus, Grindsted;80
1. Billund;O;Dansk Folkeparti;Mogens Jørgensen, Sdr. Omme;3
1. Billund;O;Dansk Folkeparti;Bjarne Jensen, Grindsted;17
1. Billund;O;Dansk Folkeparti;Laila Poulsen, Billund;30
