Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Hadsten Nord;A;Socialdemokratiet;Listestemmer;171
1. Hadsten Nord;A;Socialdemokratiet;Nils Borring;481
1. Hadsten Nord;A;Socialdemokratiet;Isabell Friis Madsen;197
1. Hadsten Nord;A;Socialdemokratiet;Erling Kvist Andersen;9
1. Hadsten Nord;A;Socialdemokratiet;Lone Boye;8
1. Hadsten Nord;A;Socialdemokratiet;Gitte Lynderup Lauritsen;6
1. Hadsten Nord;A;Socialdemokratiet;Rikke Randrup Skåning;61
1. Hadsten Nord;A;Socialdemokratiet;Søren Gade;7
1. Hadsten Nord;A;Socialdemokratiet;Grethe Villadsen;22
1. Hadsten Nord;A;Socialdemokratiet;Niels Flade Nielsen;2
1. Hadsten Nord;A;Socialdemokratiet;Kristoffer Merrild;4
1. Hadsten Nord;A;Socialdemokratiet;Maria Degn;8
1. Hadsten Nord;A;Socialdemokratiet;Steen Thomasen;2
1. Hadsten Nord;A;Socialdemokratiet;Kim Hedegaard;19
1. Hadsten Nord;A;Socialdemokratiet;Erik Særkjær;11
1. Hadsten Nord;A;Socialdemokratiet;Martin Hager Andersen;3
1. Hadsten Nord;B;Radikale Venstre;Listestemmer;26
1. Hadsten Nord;B;Radikale Venstre;Torben Christensen, Foldby;33
1. Hadsten Nord;B;Radikale Venstre;Pet Petersen, Hadsten;69
1. Hadsten Nord;B;Radikale Venstre;Bassam El-Daoud, Voldby;0
1. Hadsten Nord;B;Radikale Venstre;Peter Enevoldsen, Laurbjerg;1
1. Hadsten Nord;B;Radikale Venstre;Rasmus Grønborg Jakobsen, Hinnerup;21
1. Hadsten Nord;C;Det Konservative Folkeparti;Listestemmer;110
1. Hadsten Nord;C;Det Konservative Folkeparti;Lars Storgaard;58
1. Hadsten Nord;C;Det Konservative Folkeparti;Charlotte Green;73
1. Hadsten Nord;C;Det Konservative Folkeparti;Niels Chr. Selchau-Mark;294
1. Hadsten Nord;C;Det Konservative Folkeparti;René Schneider;71
1. Hadsten Nord;C;Det Konservative Folkeparti;Mette Nøhr;33
