Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Gymnasiet;A;Socialdemokratiet;Listestemmer;635
1. Gymnasiet;A;Socialdemokratiet;Steen Wrist;1015
1. Gymnasiet;A;Socialdemokratiet;Søren Larsen;65
1. Gymnasiet;A;Socialdemokratiet;Christian Bro;92
1. Gymnasiet;A;Socialdemokratiet;John Nyborg;104
1. Gymnasiet;A;Socialdemokratiet;Turan Savas;135
1. Gymnasiet;A;Socialdemokratiet;Ole Steen Hansen;145
1. Gymnasiet;A;Socialdemokratiet;Bente Ankersen;41
1. Gymnasiet;A;Socialdemokratiet;Anette Hyre-Jensen;44
1. Gymnasiet;A;Socialdemokratiet;David Gulløv;102
1. Gymnasiet;A;Socialdemokratiet;Vibe Dyhrberg;114
1. Gymnasiet;A;Socialdemokratiet;Oliver Overgaard Jessen;34
1. Gymnasiet;A;Socialdemokratiet;Helle Bang Andersen;22
1. Gymnasiet;A;Socialdemokratiet;Lise Nielson;35
1. Gymnasiet;A;Socialdemokratiet;Charlotte Høgedal;17
1. Gymnasiet;A;Socialdemokratiet;Hanne Imer Pedersen;40
1. Gymnasiet;A;Socialdemokratiet;Lene Skovmark Elsborg;54
1. Gymnasiet;A;Socialdemokratiet;Lars Midtgaard;1
1. Gymnasiet;A;Socialdemokratiet;Dan Ravn Larsen;19
1. Gymnasiet;A;Socialdemokratiet;Dorthe Fallesen Frimann;37
1. Gymnasiet;A;Socialdemokratiet;Carsten Høj;19
1. Gymnasiet;A;Socialdemokratiet;David Ramm;11
1. Gymnasiet;A;Socialdemokratiet;Finn Muhs;32
1. Gymnasiet;B;Radikale Venstre;Listestemmer;37
1. Gymnasiet;B;Radikale Venstre;Kirsten Vad Knudsen;42
1. Gymnasiet;B;Radikale Venstre;Nanna Nørholm;32
1. Gymnasiet;C;Det Konservative Folkeparti;Listestemmer;150
1. Gymnasiet;C;Det Konservative Folkeparti;Tommy Rachlitz Nielsen;162
1. Gymnasiet;C;Det Konservative Folkeparti;Kirsten Hassing Nielsen;80
1. Gymnasiet;C;Det Konservative Folkeparti;Henriette C. Jensen;34
1. Gymnasiet;C;Det Konservative Folkeparti;Poul Sørensen;56
1. Gymnasiet;C;Det Konservative Folkeparti;Julian Infante Brahe Jørgensen;17
1. Gymnasiet;C;Det Konservative Folkeparti;Leif Carlsen;1
1. Gymnasiet;C;Det Konservative Folkeparti;Sebastian Erlandsen;11
1. Gymnasiet;C;Det Konservative Folkeparti;Søren Bak;37
1. Gymnasiet;D;Nye Borgerlige;Listestemmer;105
1. Gymnasiet;D;Nye Borgerlige;Karsten Byrgesen;274
1. Gymnasiet;D;Nye Borgerlige;Bent Troelsen;16
1. Gymnasiet;D;Nye Borgerlige;Johnny Majgård;6
1. Gymnasiet;D;Nye Borgerlige;Torben Sten Nielsen;11
1. Gymnasiet;D;Nye Borgerlige;Hanneann Phillina Noell Pedersen;19
1. Gymnasiet;F;SF - Socialistisk Folkeparti;Listestemmer;132
1. Gymnasiet;F;SF - Socialistisk Folkeparti;Connie Maybrith Jørgensen;85
1. Gymnasiet;F;SF - Socialistisk Folkeparti;Jonas Straarup Christensen;44
1. Gymnasiet;F;SF - Socialistisk Folkeparti;Lars Olesen;15
1. Gymnasiet;F;SF - Socialistisk Folkeparti;Bent Bregendahl;8
1. Gymnasiet;F;SF - Socialistisk Folkeparti;Malene Søgaard-Andersen;28
1. Gymnasiet;F;SF - Socialistisk Folkeparti;Henning Troelsen;8
1. Gymnasiet;F;SF - Socialistisk Folkeparti;Amina M. Jawed;5
1. Gymnasiet;F;SF - Socialistisk Folkeparti;Birgitte Moos Laursen;5
1. Gymnasiet;F;SF - Socialistisk Folkeparti;Per A. Moos Laursen;5
1. Gymnasiet;F;SF - Socialistisk Folkeparti;Leif Jørgensen;1
1. Gymnasiet;F;SF - Socialistisk Folkeparti;Bo Bergstrøm;7
1. Gymnasiet;I;Liberal Alliance;Listestemmer;14
1. Gymnasiet;I;Liberal Alliance;Poul Rand;16
1. Gymnasiet;I;Liberal Alliance;Anders Wienberg Jensen;2
1. Gymnasiet;K;Kristendemokraterne;Listestemmer;12
1. Gymnasiet;K;Kristendemokraterne;Henrik Thermansen Møller;17
1. Gymnasiet;O;Dansk Folkeparti;Listestemmer;88
1. Gymnasiet;O;Dansk Folkeparti;Susanne Eilersen;255
1. Gymnasiet;O;Dansk Folkeparti;Lasse Holmqvist;20
1. Gymnasiet;O;Dansk Folkeparti;Bente Rasmussen;12
1. Gymnasiet;O;Dansk Folkeparti;Inger Nielsen;18
1. Gymnasiet;O;Dansk Folkeparti;Palle Dahl;48
1. Gymnasiet;O;Dansk Folkeparti;Charlotte Møller-Madsen;23
1. Gymnasiet;P;Frie Danske;Listestemmer;3
1. Gymnasiet;P;Frie Danske;Thor Nielsen;1
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Listestemmer;245
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Peder Tind;416
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Pernelle Jensen;158
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Kenny Bruun Olsen;107
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Christian Jørgensen;38
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Niels Martin Vind;123
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Louis Lindholm;102
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Henrik Eriksen;40
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Søren Schou;11
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Sebastian Frifelt Ordell;16
