Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Skagen;A;Socialdemokratiet;Listestemmer;137
1. Skagen;A;Socialdemokratiet;Birgit S. Hansen, Sæby;865
1. Skagen;A;Socialdemokratiet;Ole Rørbæk Jensen, Sæby;4
1. Skagen;A;Socialdemokratiet;Karsten Thomsen, Sæby;1
1. Skagen;A;Socialdemokratiet;John Karlsson, Frederikshavn;1
1. Skagen;A;Socialdemokratiet;Kurt Kirkedal Jensen, Skagen;680
1. Skagen;A;Socialdemokratiet;Brian Kjær, Frederikshavn;3
1. Skagen;A;Socialdemokratiet;Almina Nikontovic, Frederikshavn;42
1. Skagen;A;Socialdemokratiet;June Menne, Frederikshavn;5
1. Skagen;A;Socialdemokratiet;Gitte Kiilerich, Sæby;3
1. Skagen;A;Socialdemokratiet;Erik Kyed Trolle, Frederikshavn;212
1. Skagen;A;Socialdemokratiet;Tina Kruckow, Frederikshavn;11
1. Skagen;A;Socialdemokratiet;Anders Christiansen, Gærum;1
1. Skagen;A;Socialdemokratiet;Helle Mortensen, Sæby;0
1. Skagen;A;Socialdemokratiet;Tina Nymann, Frederikshavn;3
1. Skagen;A;Socialdemokratiet;Martin Tøttrup Kelkelund, Skagen;112
1. Skagen;A;Socialdemokratiet;Claus Henrik Nedermark, Fr-havn;2
1. Skagen;A;Socialdemokratiet;Kasper Bagnkop, Frederikshavn;3
1. Skagen;A;Socialdemokratiet;Irene Hjortshøj, Skagen;100
1. Skagen;A;Socialdemokratiet;Susanne Venø, Skagen;131
1. Skagen;A;Socialdemokratiet;Karl Falden, Sæby;0
1. Skagen;A;Socialdemokratiet;Maria Gade Madsen, Frederikshavn;2
1. Skagen;A;Socialdemokratiet;Peter E. Nielsen, Ålbæk;21
1. Skagen;A;Socialdemokratiet;Michael Koch Sørensen, Sæby;0
1. Skagen;A;Socialdemokratiet;Lars-Christian Thorvil, Skagen;8
1. Skagen;A;Socialdemokratiet;Jesper Bøgh Sørensen, Fr-havn;3
1. Skagen;A;Socialdemokratiet;Bent Hieronymus Pedersen, Strandby;1
1. Skagen;A;Socialdemokratiet;Lars Oldager, Sæby;0
1. Skagen;C;Det Konservative Folkeparti;Listestemmer;45
1. Skagen;C;Det Konservative Folkeparti;John Lamp Henriksen, Sæby;18
1. Skagen;C;Det Konservative Folkeparti;Peter Laigaard, Strandby;10
1. Skagen;C;Det Konservative Folkeparti;Thomas Strauss Jensen, Ålbæk;26
1. Skagen;C;Det Konservative Folkeparti;Inge Carlé, Sæby;2
1. Skagen;C;Det Konservative Folkeparti;Carsten Sørensen, Frederikshavn;2
1. Skagen;C;Det Konservative Folkeparti;Per Allerup, Gærum;3
1. Skagen;C;Det Konservative Folkeparti;Veronique Mbilizi, Frederikshavn;5
1. Skagen;C;Det Konservative Folkeparti;Flemming Agerskov, Frederikshavn;9
1. Skagen;C;Det Konservative Folkeparti;Freddy Skou Larsen, Frederikshavn;0
1. Skagen;C;Det Konservative Folkeparti;Anette Schou, Skagen;51
1. Skagen;C;Det Konservative Folkeparti;Jeppe Dam Mortensen, Østervrå;2
1. Skagen;C;Det Konservative Folkeparti;Morten Hjort, Frederikshavn;0
