Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Arenaskolen;A;Socialdemokratiet;Listestemmer;257
1. Arenaskolen;A;Socialdemokratiet;John T. Olsen, Hundige;294
1. Arenaskolen;A;Socialdemokratiet;Bjarke Abel, Greve;41
1. Arenaskolen;A;Socialdemokratiet;Heidi Serny Jacobsen, Hundige;31
1. Arenaskolen;A;Socialdemokratiet;Maria Witthøft, Hundige;77
1. Arenaskolen;A;Socialdemokratiet;Charlotte Levin, Tune;6
1. Arenaskolen;A;Socialdemokratiet;Tina Rottbøll, Hundige;61
1. Arenaskolen;A;Socialdemokratiet;Frank Christiansen, Mosede;3
1. Arenaskolen;A;Socialdemokratiet;Kenneth Jerkel, Hundige;32
1. Arenaskolen;A;Socialdemokratiet;Jette Andersen, Hundige;44
1. Arenaskolen;A;Socialdemokratiet;Bjarne Groth Kjær, Karlslunde;7
1. Arenaskolen;A;Socialdemokratiet;René Bak Høg, Greve;3
1. Arenaskolen;A;Socialdemokratiet;Steen Larsen, Karlslunde;3
1. Arenaskolen;A;Socialdemokratiet;Dorit Schultz, Greve;12
1. Arenaskolen;A;Socialdemokratiet;Battal Kücükavci, Hundige;27
1. Arenaskolen;A;Socialdemokratiet;Andreas Blåberg, Hundige;0
1. Arenaskolen;A;Socialdemokratiet;Leif Limkilde, Greve;8
1. Arenaskolen;A;Socialdemokratiet;Freddy Aldenborg, Greve;1
1. Arenaskolen;A;Socialdemokratiet;Michael Bo Svendsen, Hundige;0
1. Arenaskolen;A;Socialdemokratiet;Allan Jørgensen, Mosede;1
1. Arenaskolen;A;Socialdemokratiet;Daisi Liljegren Schultz, Greve;1
1. Arenaskolen;A;Socialdemokratiet;Claus A. Pedersen, Hundige;4
1. Arenaskolen;B;Radikale Venstre;Listestemmer;18
1. Arenaskolen;B;Radikale Venstre;Lars Bjarne Nielsen, Greve;16
1. Arenaskolen;B;Radikale Venstre;Rachid Bouziyane, Hundige;5
1. Arenaskolen;B;Radikale Venstre;Bjarke Lindsø Andersen, Greve;2
1. Arenaskolen;B;Radikale Venstre;Jens Wrang, Karlslunde;0
1. Arenaskolen;B;Radikale Venstre;Jesper Nordentoft, Greve;2
1. Arenaskolen;C;Det Konservative Folkeparti;Listestemmer;124
1. Arenaskolen;C;Det Konservative Folkeparti;Brigitte Klintskov Jerkel;149
1. Arenaskolen;C;Det Konservative Folkeparti;Jess Eiberg Hansen;7
1. Arenaskolen;C;Det Konservative Folkeparti;Claus Dyremose;15
1. Arenaskolen;C;Det Konservative Folkeparti;Kasper Holton Hülsen;21
1. Arenaskolen;C;Det Konservative Folkeparti;Thomas Klingspor-Bentzen;3
1. Arenaskolen;C;Det Konservative Folkeparti;Mathias Schwartz Kirkegaard;12
1. Arenaskolen;C;Det Konservative Folkeparti;Ruth Birkelund;3
1. Arenaskolen;C;Det Konservative Folkeparti;Peter T. E. Jonasen;5
1. Arenaskolen;C;Det Konservative Folkeparti;Henrik Balleby Hansen;17
1. Arenaskolen;C;Det Konservative Folkeparti;Åki Kristiansen;4
1. Arenaskolen;D;Nye Borgerlige;Listestemmer;74
1. Arenaskolen;D;Nye Borgerlige;Hans-Jørgen Kirstein;27
1. Arenaskolen;D;Nye Borgerlige;Jørgen Schwartz;13
1. Arenaskolen;D;Nye Borgerlige;Annette Vahlgreen;9
