Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Snertinge;A;Socialdemokratiet;Listestemmer;136
1. Snertinge;A;Socialdemokratiet;Tina Beck-Nilsson;97
1. Snertinge;A;Socialdemokratiet;Kirsten Rask;18
1. Snertinge;A;Socialdemokratiet;Gunver Jensen;31
1. Snertinge;A;Socialdemokratiet;Nikolaj Lykke Vad;13
1. Snertinge;A;Socialdemokratiet;Kristine Vesterskov Olsen;12
1. Snertinge;A;Socialdemokratiet;Esben Hansen;7
1. Snertinge;A;Socialdemokratiet;Hanne Olesen;3
1. Snertinge;A;Socialdemokratiet;Marianne Madsen;6
1. Snertinge;A;Socialdemokratiet;Aase Due;5
1. Snertinge;A;Socialdemokratiet;Jonas Henriksen;0
1. Snertinge;A;Socialdemokratiet;Sylvester Agbedoglo;4
1. Snertinge;A;Socialdemokratiet;Kathrin Kok;4
1. Snertinge;A;Socialdemokratiet;Michael Ahrenkiel;5
1. Snertinge;A;Socialdemokratiet;Steffen Bagger;3
1. Snertinge;A;Socialdemokratiet;Per Kjær Erichsen;6
1. Snertinge;A;Socialdemokratiet;Robin Ringvig Larsen;1
1. Snertinge;B;Radikale Venstre;Listestemmer;13
1. Snertinge;B;Radikale Venstre;Hans Munk, Røsnæs;9
1. Snertinge;B;Radikale Venstre;Michael Augustine, Værslev;2
1. Snertinge;B;Radikale Venstre;Mette Hvid Brockmann, Havnsø;46
1. Snertinge;B;Radikale Venstre;Jeppe Sørensen, Kalundborg;2
1. Snertinge;B;Radikale Venstre;Ejnar Jensen, Sønderød;0
1. Snertinge;B;Radikale Venstre;Mia Reesen, Kærby;2
1. Snertinge;B;Radikale Venstre;Povl Barfod, Røsnæs;0
1. Snertinge;B;Radikale Venstre;Teresemarie Lisiux, Kalundborg;2
1. Snertinge;B;Radikale Venstre;Eline Poulsen Nielsen, Høng;0
1. Snertinge;C;Det Konservative Folkeparti;Listestemmer;34
1. Snertinge;C;Det Konservative Folkeparti;Jesper Wienmann Hansen, Høng;9
1. Snertinge;C;Det Konservative Folkeparti;Jesper Hansen, Kalundborg;21
1. Snertinge;C;Det Konservative Folkeparti;Ulrik Pitzner-Christiansen, Høng;4
1. Snertinge;C;Det Konservative Folkeparti;Victor Hvistendal, Snertinge;12
1. Snertinge;C;Det Konservative Folkeparti;Ole Lauritzen, Kalundborg;0
1. Snertinge;C;Det Konservative Folkeparti;Anne Grete Madsen, Svebølle;1
