Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Bagenkop;A;Socialdemokratiet;Listestemmer;13
1. Bagenkop;A;Socialdemokratiet;René Larsen;13
1. Bagenkop;A;Socialdemokratiet;Joan Kate Pedersen;5
1. Bagenkop;A;Socialdemokratiet;Ole Sørensen;18
1. Bagenkop;A;Socialdemokratiet;Lisa Pihl Jensen;9
1. Bagenkop;A;Socialdemokratiet;Tina Juul Pedersen;2
1. Bagenkop;A;Socialdemokratiet;Britt Norre;1
1. Bagenkop;A;Socialdemokratiet;Preben Jørgensen;0
1. Bagenkop;A;Socialdemokratiet;Arno Kruse;4
1. Bagenkop;B;Radikale Venstre;Listestemmer;2
1. Bagenkop;B;Radikale Venstre;Søren Ramsing, Lohals;9
1. Bagenkop;B;Radikale Venstre;Agnete Fog, Strandby;6
1. Bagenkop;B;Radikale Venstre;Per Kjær, Bagenkop;5
1. Bagenkop;B;Radikale Venstre;Anne Mette Wandsøe, Rudkøbing;1
1. Bagenkop;B;Radikale Venstre;HC Rasmussen, Ennebølle;0
1. Bagenkop;C;Det Konservative Folkeparti;Listestemmer;2
1. Bagenkop;C;Det Konservative Folkeparti;Jørgen Nielsen, Rudkøbing;23
1. Bagenkop;C;Det Konservative Folkeparti;Bo C. Nissen, Tranekær;4
1. Bagenkop;C;Det Konservative Folkeparti;Steen Have Otterstrøm, Bagenkop;10
1. Bagenkop;C;Det Konservative Folkeparti;Christian Stenberg, Tullebølle;0
1. Bagenkop;C;Det Konservative Folkeparti;Casper Fink, Rudkøbing;3
1. Bagenkop;D;Nye Borgerlige;Listestemmer;2
1. Bagenkop;D;Nye Borgerlige;Lisbeth Kold, Skrøbelev;8
1. Bagenkop;D;Nye Borgerlige;Karsten Thomsen, Bøstrup;1
1. Bagenkop;F;SF - Socialistisk Folkeparti;Listestemmer;14
1. Bagenkop;F;SF - Socialistisk Folkeparti;Tonni Hansen, Rudkøbing;121
