Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Kulturhuset Langå;A;Socialdemokratiet;Listestemmer;123
1. Kulturhuset Langå;A;Socialdemokratiet;Torben Hansen;75
1. Kulturhuset Langå;A;Socialdemokratiet;Ellen Petersen;4
1. Kulturhuset Langå;A;Socialdemokratiet;Lise-Lotte Leervad Larsen;10
1. Kulturhuset Langå;A;Socialdemokratiet;Stine Eiby;62
1. Kulturhuset Langå;A;Socialdemokratiet;Anker Boje;0
1. Kulturhuset Langå;A;Socialdemokratiet;Anne Hjortshøj;1
1. Kulturhuset Langå;A;Socialdemokratiet;Henrik Leth;8
1. Kulturhuset Langå;A;Socialdemokratiet;Karen Lagoni;19
1. Kulturhuset Langå;A;Socialdemokratiet;Steen Bundgaard;0
1. Kulturhuset Langå;A;Socialdemokratiet;Pia Moldt;5
1. Kulturhuset Langå;A;Socialdemokratiet;Marianne Carøe;1
1. Kulturhuset Langå;A;Socialdemokratiet;Claus Ørsted;0
1. Kulturhuset Langå;A;Socialdemokratiet;Jesper Gade;0
1. Kulturhuset Langå;A;Socialdemokratiet;Henriette Malland;17
1. Kulturhuset Langå;A;Socialdemokratiet;Christian Engelbrecht Pedersen;285
1. Kulturhuset Langå;A;Socialdemokratiet;Peter Nellemann;2
1. Kulturhuset Langå;A;Socialdemokratiet;Martin Vedstesen;2
1. Kulturhuset Langå;A;Socialdemokratiet;Peter Hansen;3
1. Kulturhuset Langå;A;Socialdemokratiet;Stoil Zaylov;0
1. Kulturhuset Langå;A;Socialdemokratiet;Per Blicher;2
1. Kulturhuset Langå;A;Socialdemokratiet;Ib Møller Pedersen;0
1. Kulturhuset Langå;A;Socialdemokratiet;Hans Christian Mortensen;0
1. Kulturhuset Langå;A;Socialdemokratiet;Jørgen Mogensen;2
1. Kulturhuset Langå;A;Socialdemokratiet;Rafael-Raducu Andrasescu;1
1. Kulturhuset Langå;A;Socialdemokratiet;Johan Seider;0
1. Kulturhuset Langå;A;Socialdemokratiet;Merete Østergaard;8
1. Kulturhuset Langå;A;Socialdemokratiet;Tanja Lauenborg;5
1. Kulturhuset Langå;B;Radikale Venstre;Listestemmer;12
1. Kulturhuset Langå;B;Radikale Venstre;Mogens Nyholm, Vorup;3
1. Kulturhuset Langå;B;Radikale Venstre;Rebecca Marie Johansson, Randers N;3
1. Kulturhuset Langå;B;Radikale Venstre;Dan Løvkvist, Randers C;0
1. Kulturhuset Langå;B;Radikale Venstre;Britt Grøndal Bertelsen, Nordbyen;0
1. Kulturhuset Langå;B;Radikale Venstre;Søren Mikkelsen, Gjerlev;0
1. Kulturhuset Langå;B;Radikale Venstre;Poul Rubach, Harridslev;0
1. Kulturhuset Langå;B;Radikale Venstre;Thomas Sandvang Jensen, Langå;48
1. Kulturhuset Langå;B;Radikale Venstre;Helle Koch Jensen, Romalt;0
1. Kulturhuset Langå;B;Radikale Venstre;Per Thuesen, Tånum;0
1. Kulturhuset Langå;B;Radikale Venstre;Sibel Saricam, Randers C;2
1. Kulturhuset Langå;B;Radikale Venstre;Søren Vindum Horup, Støvring;0
1. Kulturhuset Langå;B;Radikale Venstre;Kristian Neergaard, Paderup;0
1. Kulturhuset Langå;B;Radikale Venstre;Karin Blach, Randers C;0
1. Kulturhuset Langå;B;Radikale Venstre;Jørgen Grejs Hansen, Randers NV;0
1. Kulturhuset Langå;B;Radikale Venstre;Jytte Juul Wehlmann, Randers C;0
1. Kulturhuset Langå;B;Radikale Venstre;Søren Nørgaard, Randers C;0
1. Kulturhuset Langå;B;Radikale Venstre;Hans Toftdahl, Assentoft;0
1. Kulturhuset Langå;C;Det Konservative Folkeparti;Listestemmer;40
1. Kulturhuset Langå;C;Det Konservative Folkeparti;Daniel Madié, Hornbæk;25
1. Kulturhuset Langå;C;Det Konservative Folkeparti;Christina Kjærsgaard, Dronningborg;9
1. Kulturhuset Langå;C;Det Konservative Folkeparti;Rikke Søndergaard Schneider, Udbyh;3
1. Kulturhuset Langå;C;Det Konservative Folkeparti;Christian Bach Brandt, Kristrup;0
1. Kulturhuset Langå;C;Det Konservative Folkeparti;Bo Vestergaard Hansen, Romalt;3
1. Kulturhuset Langå;C;Det Konservative Folkeparti;Lars Hellmund, Randers;1
1. Kulturhuset Langå;C;Det Konservative Folkeparti;Christian Boldsen, Havndal;0
1. Kulturhuset Langå;C;Det Konservative Folkeparti;Christian Hartmann, Randers;1
1. Kulturhuset Langå;C;Det Konservative Folkeparti;Frederikke Noa Jung, Randers;3
