Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ringsted Nørretorv;A;Socialdemokratiet;Listestemmer;342
1. Ringsted Nørretorv;A;Socialdemokratiet;Per Flor, Ringsted;278
1. Ringsted Nørretorv;A;Socialdemokratiet;Mette Ahm-Petersen, Ringsted;157
1. Ringsted Nørretorv;A;Socialdemokratiet;Sadik Zeki Topcu, Ringsted;88
1. Ringsted Nørretorv;A;Socialdemokratiet;Sine Reffstrup, Ringsted;142
1. Ringsted Nørretorv;A;Socialdemokratiet;Benny Christensen, Ringsted;98
1. Ringsted Nørretorv;A;Socialdemokratiet;Mette Lundgaard Hansen, Ringsted;62
1. Ringsted Nørretorv;A;Socialdemokratiet;Lisbeth K. Andersen, Ringsted;52
1. Ringsted Nørretorv;A;Socialdemokratiet;Svend-Erik Jakobsen, Ringsted;31
1. Ringsted Nørretorv;A;Socialdemokratiet;Steffan Rasmussen, Ringsted;7
1. Ringsted Nørretorv;A;Socialdemokratiet;Valentin Andersen, Ørslev;14
1. Ringsted Nørretorv;A;Socialdemokratiet;Jens Michael Hansen, Benløse;13
1. Ringsted Nørretorv;A;Socialdemokratiet;Flemming Skærbæk, Ringsted;7
1. Ringsted Nørretorv;A;Socialdemokratiet;Kristian Doose, Høm;2
1. Ringsted Nørretorv;B;Radikale Venstre;Listestemmer;59
1. Ringsted Nørretorv;B;Radikale Venstre;Torben Lollike;118
1. Ringsted Nørretorv;B;Radikale Venstre;Jeanet Suadicani;15
1. Ringsted Nørretorv;B;Radikale Venstre;Martin Bork;7
1. Ringsted Nørretorv;B;Radikale Venstre;Helen Schmidt;29
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Listestemmer;263
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Andreas Karlsen;770
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Tina-Mia Eriksen;115
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;René Lund Sørensen;41
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Susanne Cornelius;61
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Thomas Vangsaa;37
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Pia Thøgersen;38
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Benjamin Pedersen;220
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Mette Sjøblom Skals;12
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Ole Keinicke Christensen;0
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Karin Egeberg;5
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Peter Fisker;7
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Lotte Holmqvist;8
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Jørgen Sparring;9
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Mette K. Millard;4
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Jan M. Johansen;9
