Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Dianalund;A;Socialdemokratiet;Listestemmer;216
1. Dianalund;A;Socialdemokratiet;Anne Madsen, Sorø;222
1. Dianalund;A;Socialdemokratiet;Preben Lund, Frederiksberg;3
1. Dianalund;A;Socialdemokratiet;Annette Raaschou van der Star, DiL;304
1. Dianalund;A;Socialdemokratiet;Ivan Hansen, Pedersborg;23
1. Dianalund;A;Socialdemokratiet;Mona Kelder Bouidar, Frederiksberg;27
1. Dianalund;A;Socialdemokratiet;Bettina Jensen, Stenlille;49
1. Dianalund;A;Socialdemokratiet;Flemming Kjærgaard, Sorø;2
1. Dianalund;A;Socialdemokratiet;Dennis Gartig, Frederiksberg;2
1. Dianalund;A;Socialdemokratiet;Rene Schou Rasmussen, Sorø;3
1. Dianalund;A;Socialdemokratiet;Christian Bjerre Høst, Ruds Vedby;9
1. Dianalund;A;Socialdemokratiet;Erling Larsen, Dianalund;20
1. Dianalund;A;Socialdemokratiet;Thomas Fredsø, Sorø;2
1. Dianalund;A;Socialdemokratiet;Tina Czajkowski, Pedersborg;0
1. Dianalund;A;Socialdemokratiet;Susan Kierch, Frederiksberg;3
1. Dianalund;A;Socialdemokratiet;Jakob Meibom, Sorø;2
1. Dianalund;A;Socialdemokratiet;Klaus Gylling, Sorø;0
1. Dianalund;B;Radikale Venstre;Listestemmer;10
1. Dianalund;B;Radikale Venstre;Sascha Fich, Niløse;30
1. Dianalund;B;Radikale Venstre;Edris Qasimi, Pedersborg;1
1. Dianalund;B;Radikale Venstre;Kurt Løvlund Pedersen, Dianalund;6
1. Dianalund;B;Radikale Venstre;Tomas Bech Madsen, Frederiksberg;2
1. Dianalund;B;Radikale Venstre;Freja Klingstrøm Aaskoven, Mk.bjby;1
1. Dianalund;B;Radikale Venstre;Jan Woollhead, Sorø;3
1. Dianalund;C;Det Konservative Folkeparti;Listestemmer;128
1. Dianalund;C;Det Konservative Folkeparti;Gert Jørgensen, Sorø;312
1. Dianalund;C;Det Konservative Folkeparti;Bo Christensen, Sorø;10
1. Dianalund;C;Det Konservative Folkeparti;Mogens Schwensen, Dianalund;152
1. Dianalund;C;Det Konservative Folkeparti;Sofie Ullerup Torpegaard, Fr. Berg;27
1. Dianalund;C;Det Konservative Folkeparti;Carsten Petersen, Ruds Vedby;4
1. Dianalund;C;Det Konservative Folkeparti;Eva Sell, Sorø;16
1. Dianalund;C;Det Konservative Folkeparti;Kristian Egebæk, Dianalund;84
1. Dianalund;C;Det Konservative Folkeparti;Janus Tarp, Sorø;4
1. Dianalund;C;Det Konservative Folkeparti;Marianne Vinding, Dianalund;103
1. Dianalund;C;Det Konservative Folkeparti;Martin Belli Jørgensen, Slaglille;2
1. Dianalund;C;Det Konservative Folkeparti;Jens Jacobsen, Stenlille;4
1. Dianalund;C;Det Konservative Folkeparti;Gert Kuhn Iversen, Sorø;0
1. Dianalund;C;Det Konservative Folkeparti;Peter Nygaard, Pedersborg;14
1. Dianalund;C;Det Konservative Folkeparti;Malene Jauer, Sorø;3
1. Dianalund;C;Det Konservative Folkeparti;Søren Sørensen, Ruds Vedby;11
1. Dianalund;C;Det Konservative Folkeparti;Jesper Danhøj, Sorø;0
1. Dianalund;D;Nye Borgerlige;Listestemmer;78
1. Dianalund;D;Nye Borgerlige;Susanne Borggaard, Stenlille;63
1. Dianalund;D;Nye Borgerlige;Jørgen Funk, Sorø;9
1. Dianalund;D;Nye Borgerlige;Lianne Hansen, Stenlille;8
1. Dianalund;D;Nye Borgerlige;Karsten Jürs, Stenlille;6
1. Dianalund;D;Nye Borgerlige;Henrik Andersen, Sorø;4
1. Dianalund;F;SF - Socialistisk Folkeparti;Listestemmer;52
1. Dianalund;F;SF - Socialistisk Folkeparti;Linda Nielsen;30
1. Dianalund;F;SF - Socialistisk Folkeparti;Kristiane Nyborg;64
1. Dianalund;F;SF - Socialistisk Folkeparti;Morten Suhr;3
1. Dianalund;F;SF - Socialistisk Folkeparti;Bente Blanné;14
1. Dianalund;F;SF - Socialistisk Folkeparti;Anne Katrine Blond;3
1. Dianalund;F;SF - Socialistisk Folkeparti;Jens Jørgen Hansen;0
1. Dianalund;F;SF - Socialistisk Folkeparti;Poul Hangler;0
1. Dianalund;F;SF - Socialistisk Folkeparti;Helle Visti Jensen;0
1. Dianalund;F;SF - Socialistisk Folkeparti;Jan E. Pedersen;0
1. Dianalund;I;Liberal Alliance;Listestemmer;12
1. Dianalund;I;Liberal Alliance;Nicolai Sandager;18
1. Dianalund;I;Liberal Alliance;Benjamin Bernhard Højland;1
1. Dianalund;K;Kristendemokraterne;Listestemmer;16
1. Dianalund;K;Kristendemokraterne;Tage Sørensen;7
1. Dianalund;O;Dansk Folkeparti;Listestemmer;54
1. Dianalund;O;Dansk Folkeparti;Lars Schmidt;103
1. Dianalund;O;Dansk Folkeparti;Lars Damgaard;13
1. Dianalund;O;Dansk Folkeparti;Ellen Thomsen;19
1. Dianalund;O;Dansk Folkeparti;Vibeke Danborg;9
1. Dianalund;O;Dansk Folkeparti;Finn Sørensen;5
1. Dianalund;Q;Frigængerne;Listestemmer;1
1. Dianalund;Q;Frigængerne;Niels Aalbæk Jensen, Frederiksberg;0
1. Dianalund;Q;Frigængerne;Pia Hvid, Bjernede;3
1. Dianalund;Q;Frigængerne;Kristoffer Lindholt, Sorø;1
1. Dianalund;V;Venstre, Danmarks Liberale Parti;Listestemmer;72
1. Dianalund;V;Venstre, Danmarks Liberale Parti;Kasper Nygaard, Pedersborg;76
1. Dianalund;V;Venstre, Danmarks Liberale Parti;Jens Nygaard, Sorø;14
1. Dianalund;V;Venstre, Danmarks Liberale Parti;Rolf Clausen, Fulby;5
1. Dianalund;V;Venstre, Danmarks Liberale Parti;Henrik Kjølby, Stenlille;3
1. Dianalund;V;Venstre, Danmarks Liberale Parti;Ninna Wiese Pedersen, Bjernede;13
1. Dianalund;V;Venstre, Danmarks Liberale Parti;Jørgen Larsen, Dianalund;33
1. Dianalund;V;Venstre, Danmarks Liberale Parti;Stephen Møller Hansen, Sorø;6
1. Dianalund;V;Venstre, Danmarks Liberale Parti;Jakob Spliid, Frederiksberg;35
1. Dianalund;V;Venstre, Danmarks Liberale Parti;Henrik Vester, Frederiksberg;0
1. Dianalund;V;Venstre, Danmarks Liberale Parti;Birgitte Vester, Frederiksberg;1
1. Dianalund;V;Venstre, Danmarks Liberale Parti;Asger Jørnow, Sorø;2
1. Dianalund;Æ;Frihedslisten;Listestemmer;2
1. Dianalund;Æ;Frihedslisten;Marianne Hede, St. Merløse;1
1. Dianalund;Æ;Frihedslisten;Mai Ntova, Dianalund;9
1. Dianalund;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;47
1. Dianalund;Ø;Enhedslisten - De Rød-Grønne;Bo Mouritzen, Broby;23
1. Dianalund;Ø;Enhedslisten - De Rød-Grønne;Abelone Bergløv, Lynge;3
1. Dianalund;Ø;Enhedslisten - De Rød-Grønne;Helene Vadsten, Pedersborg;8
1. Dianalund;Ø;Enhedslisten - De Rød-Grønne;Niels- Erik Eich, Frederiksberg;2
1. Dianalund;Ø;Enhedslisten - De Rød-Grønne;Ellen Grüner, Sorø;2
1. Dianalund;Ø;Enhedslisten - De Rød-Grønne;Teit Gamst, Stenlille;7
2. Ruds Vedby;A;Socialdemokratiet;Listestemmer;76
2. Ruds Vedby;A;Socialdemokratiet;Anne Madsen, Sorø;77
2. Ruds Vedby;A;Socialdemokratiet;Preben Lund, Frederiksberg;4
2. Ruds Vedby;A;Socialdemokratiet;Annette Raaschou van der Star, DiL;18
2. Ruds Vedby;A;Socialdemokratiet;Ivan Hansen, Pedersborg;22
2. Ruds Vedby;A;Socialdemokratiet;Mona Kelder Bouidar, Frederiksberg;3
2. Ruds Vedby;A;Socialdemokratiet;Bettina Jensen, Stenlille;6
2. Ruds Vedby;A;Socialdemokratiet;Flemming Kjærgaard, Sorø;3
2. Ruds Vedby;A;Socialdemokratiet;Dennis Gartig, Frederiksberg;1
2. Ruds Vedby;A;Socialdemokratiet;Rene Schou Rasmussen, Sorø;1
2. Ruds Vedby;A;Socialdemokratiet;Christian Bjerre Høst, Ruds Vedby;53
2. Ruds Vedby;A;Socialdemokratiet;Erling Larsen, Dianalund;3
2. Ruds Vedby;A;Socialdemokratiet;Thomas Fredsø, Sorø;2
2. Ruds Vedby;A;Socialdemokratiet;Tina Czajkowski, Pedersborg;3
2. Ruds Vedby;A;Socialdemokratiet;Susan Kierch, Frederiksberg;0
2. Ruds Vedby;A;Socialdemokratiet;Jakob Meibom, Sorø;0
2. Ruds Vedby;A;Socialdemokratiet;Klaus Gylling, Sorø;0
2. Ruds Vedby;B;Radikale Venstre;Listestemmer;7
2. Ruds Vedby;B;Radikale Venstre;Sascha Fich, Niløse;1
2. Ruds Vedby;B;Radikale Venstre;Edris Qasimi, Pedersborg;1
2. Ruds Vedby;B;Radikale Venstre;Kurt Løvlund Pedersen, Dianalund;0
2. Ruds Vedby;B;Radikale Venstre;Tomas Bech Madsen, Frederiksberg;0
2. Ruds Vedby;B;Radikale Venstre;Freja Klingstrøm Aaskoven, Mk.bjby;1
2. Ruds Vedby;B;Radikale Venstre;Jan Woollhead, Sorø;0
2. Ruds Vedby;C;Det Konservative Folkeparti;Listestemmer;33
2. Ruds Vedby;C;Det Konservative Folkeparti;Gert Jørgensen, Sorø;53
2. Ruds Vedby;C;Det Konservative Folkeparti;Bo Christensen, Sorø;0
2. Ruds Vedby;C;Det Konservative Folkeparti;Mogens Schwensen, Dianalund;6
2. Ruds Vedby;C;Det Konservative Folkeparti;Sofie Ullerup Torpegaard, Fr. Berg;5
2. Ruds Vedby;C;Det Konservative Folkeparti;Carsten Petersen, Ruds Vedby;132
2. Ruds Vedby;C;Det Konservative Folkeparti;Eva Sell, Sorø;3
2. Ruds Vedby;C;Det Konservative Folkeparti;Kristian Egebæk, Dianalund;1
2. Ruds Vedby;C;Det Konservative Folkeparti;Janus Tarp, Sorø;3
2. Ruds Vedby;C;Det Konservative Folkeparti;Marianne Vinding, Dianalund;12
2. Ruds Vedby;C;Det Konservative Folkeparti;Martin Belli Jørgensen, Slaglille;0
2. Ruds Vedby;C;Det Konservative Folkeparti;Jens Jacobsen, Stenlille;2
2. Ruds Vedby;C;Det Konservative Folkeparti;Gert Kuhn Iversen, Sorø;0
2. Ruds Vedby;C;Det Konservative Folkeparti;Peter Nygaard, Pedersborg;4
2. Ruds Vedby;C;Det Konservative Folkeparti;Malene Jauer, Sorø;2
2. Ruds Vedby;C;Det Konservative Folkeparti;Søren Sørensen, Ruds Vedby;108
2. Ruds Vedby;C;Det Konservative Folkeparti;Jesper Danhøj, Sorø;0
2. Ruds Vedby;D;Nye Borgerlige;Listestemmer;27
2. Ruds Vedby;D;Nye Borgerlige;Susanne Borggaard, Stenlille;21
2. Ruds Vedby;D;Nye Borgerlige;Jørgen Funk, Sorø;5
2. Ruds Vedby;D;Nye Borgerlige;Lianne Hansen, Stenlille;2
2. Ruds Vedby;D;Nye Borgerlige;Karsten Jürs, Stenlille;0
2. Ruds Vedby;D;Nye Borgerlige;Henrik Andersen, Sorø;3
2. Ruds Vedby;F;SF - Socialistisk Folkeparti;Listestemmer;17
2. Ruds Vedby;F;SF - Socialistisk Folkeparti;Linda Nielsen;5
2. Ruds Vedby;F;SF - Socialistisk Folkeparti;Kristiane Nyborg;16
2. Ruds Vedby;F;SF - Socialistisk Folkeparti;Morten Suhr;0
2. Ruds Vedby;F;SF - Socialistisk Folkeparti;Bente Blanné;0
2. Ruds Vedby;F;SF - Socialistisk Folkeparti;Anne Katrine Blond;2
2. Ruds Vedby;F;SF - Socialistisk Folkeparti;Jens Jørgen Hansen;0
2. Ruds Vedby;F;SF - Socialistisk Folkeparti;Poul Hangler;0
2. Ruds Vedby;F;SF - Socialistisk Folkeparti;Helle Visti Jensen;0
2. Ruds Vedby;F;SF - Socialistisk Folkeparti;Jan E. Pedersen;1
2. Ruds Vedby;I;Liberal Alliance;Listestemmer;3
2. Ruds Vedby;I;Liberal Alliance;Nicolai Sandager;4
2. Ruds Vedby;I;Liberal Alliance;Benjamin Bernhard Højland;0
2. Ruds Vedby;K;Kristendemokraterne;Listestemmer;3
2. Ruds Vedby;K;Kristendemokraterne;Tage Sørensen;8
2. Ruds Vedby;O;Dansk Folkeparti;Listestemmer;24
2. Ruds Vedby;O;Dansk Folkeparti;Lars Schmidt;22
2. Ruds Vedby;O;Dansk Folkeparti;Lars Damgaard;3
2. Ruds Vedby;O;Dansk Folkeparti;Ellen Thomsen;4
2. Ruds Vedby;O;Dansk Folkeparti;Vibeke Danborg;2
2. Ruds Vedby;O;Dansk Folkeparti;Finn Sørensen;1
2. Ruds Vedby;Q;Frigængerne;Listestemmer;0
2. Ruds Vedby;Q;Frigængerne;Niels Aalbæk Jensen, Frederiksberg;0
2. Ruds Vedby;Q;Frigængerne;Pia Hvid, Bjernede;1
2. Ruds Vedby;Q;Frigængerne;Kristoffer Lindholt, Sorø;1
2. Ruds Vedby;V;Venstre, Danmarks Liberale Parti;Listestemmer;17
2. Ruds Vedby;V;Venstre, Danmarks Liberale Parti;Kasper Nygaard, Pedersborg;4
2. Ruds Vedby;V;Venstre, Danmarks Liberale Parti;Jens Nygaard, Sorø;3
2. Ruds Vedby;V;Venstre, Danmarks Liberale Parti;Rolf Clausen, Fulby;1
2. Ruds Vedby;V;Venstre, Danmarks Liberale Parti;Henrik Kjølby, Stenlille;0
2. Ruds Vedby;V;Venstre, Danmarks Liberale Parti;Ninna Wiese Pedersen, Bjernede;2
2. Ruds Vedby;V;Venstre, Danmarks Liberale Parti;Jørgen Larsen, Dianalund;3
2. Ruds Vedby;V;Venstre, Danmarks Liberale Parti;Stephen Møller Hansen, Sorø;2
2. Ruds Vedby;V;Venstre, Danmarks Liberale Parti;Jakob Spliid, Frederiksberg;2
2. Ruds Vedby;V;Venstre, Danmarks Liberale Parti;Henrik Vester, Frederiksberg;0
2. Ruds Vedby;V;Venstre, Danmarks Liberale Parti;Birgitte Vester, Frederiksberg;0
2. Ruds Vedby;V;Venstre, Danmarks Liberale Parti;Asger Jørnow, Sorø;0
2. Ruds Vedby;Æ;Frihedslisten;Listestemmer;3
2. Ruds Vedby;Æ;Frihedslisten;Marianne Hede, St. Merløse;2
2. Ruds Vedby;Æ;Frihedslisten;Mai Ntova, Dianalund;2
2. Ruds Vedby;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;27
2. Ruds Vedby;Ø;Enhedslisten - De Rød-Grønne;Bo Mouritzen, Broby;4
