Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Hårlevhallen;A;Socialdemokratiet;Listestemmer;271
1. Hårlevhallen;A;Socialdemokratiet;Henning Urban Dam, Store Heddinge;152
1. Hårlevhallen;A;Socialdemokratiet;Anne Munch, Rødvig;29
1. Hårlevhallen;A;Socialdemokratiet;Helen Sørensen, Strøby Egede;25
1. Hårlevhallen;A;Socialdemokratiet;Steen S. Hansen, Hårlev;151
1. Hårlevhallen;A;Socialdemokratiet;Thomas Overgaard, Store Heddinge;14
1. Hårlevhallen;A;Socialdemokratiet;Tim Christensen, Strøby Egede;39
1. Hårlevhallen;A;Socialdemokratiet;Morten Kasper, Valløby;29
1. Hårlevhallen;A;Socialdemokratiet;Ib Petersen, Hårlev;49
1. Hårlevhallen;A;Socialdemokratiet;Charlotte Hansen, Store Heddinge;17
1. Hårlevhallen;A;Socialdemokratiet;Mogens Hansen, Rødvig;4
1. Hårlevhallen;B;Radikale Venstre;Listestemmer;27
1. Hårlevhallen;B;Radikale Venstre;Line Krogh Lay, Store Heddinge;76
1. Hårlevhallen;B;Radikale Venstre;Sofus Christensen, Boestofte;20
1. Hårlevhallen;B;Radikale Venstre;Johannes Frimodt-Møller, St.H.;24
1. Hårlevhallen;B;Radikale Venstre;Louise Vinther Alis, Hellested;20
1. Hårlevhallen;B;Radikale Venstre;Bjarne Hendrichsen, Lyderslev;3
1. Hårlevhallen;B;Radikale Venstre;Birgit Voigt, Strøby Egede;1
1. Hårlevhallen;C;Det Konservative Folkeparti;Listestemmer;70
1. Hårlevhallen;C;Det Konservative Folkeparti;Mikkel Lundemann Rasmussen, St. H.;128
1. Hårlevhallen;C;Det Konservative Folkeparti;Thor Grønbæk, Holtug;11
1. Hårlevhallen;C;Det Konservative Folkeparti;Dorthe Winberg, Strøby Egede;20
1. Hårlevhallen;C;Det Konservative Folkeparti;Ellen Knudsen, Store Heddinge;7
1. Hårlevhallen;C;Det Konservative Folkeparti;Emil Larsen, Hårlev;106
1. Hårlevhallen;C;Det Konservative Folkeparti;Bo Kjeldsmark, Strøby Egede;7
1. Hårlevhallen;C;Det Konservative Folkeparti;Michael Ring Møller Jensen, Str.E.;8
1. Hårlevhallen;D;Nye Borgerlige;Listestemmer;72
1. Hårlevhallen;D;Nye Borgerlige;Bolette Sølyst;45
1. Hårlevhallen;D;Nye Borgerlige;Lasse Wøhlk;4
1. Hårlevhallen;D;Nye Borgerlige;Niels Holvard;1
1. Hårlevhallen;F;SF - Socialistisk Folkeparti;Listestemmer;76
1. Hårlevhallen;F;SF - Socialistisk Folkeparti;Michael Graakjær, Strøby Egede;25
1. Hårlevhallen;F;SF - Socialistisk Folkeparti;Jan Jespersen, Hellested;27
1. Hårlevhallen;F;SF - Socialistisk Folkeparti;Julie Hoff Sørensen, Valløby;41
1. Hårlevhallen;F;SF - Socialistisk Folkeparti;Robert Hellebek, Strøby;0
1. Hårlevhallen;F;SF - Socialistisk Folkeparti;Birgit Smedegård, Hellested;11
1. Hårlevhallen;F;SF - Socialistisk Folkeparti;Hans Chr. Rasmussen, Gevnø Mark;1
1. Hårlevhallen;I;Liberal Alliance;Listestemmer;12
1. Hårlevhallen;I;Liberal Alliance;Lars Barthold Hansen;6
1. Hårlevhallen;I;Liberal Alliance;Tim Warner;3
1. Hårlevhallen;I;Liberal Alliance;Sarah Sjølin Lilaa;1
1. Hårlevhallen;N;Nyt Stevns;Listestemmer;33
1. Hårlevhallen;N;Nyt Stevns;Mogens Haugaard, Lund;67
1. Hårlevhallen;N;Nyt Stevns;Kristian Olsen, Rødvig;0
1. Hårlevhallen;N;Nyt Stevns;Poul Erik Brixtofte,Store Heddinge;7
1. Hårlevhallen;N;Nyt Stevns;Jørgen Larsen, Hårlev;191
1. Hårlevhallen;N;Nyt Stevns;Kolbrún Inga Bjarnadóttir, Hårlev;23
1. Hårlevhallen;N;Nyt Stevns;Rikke Ackermann, Store Heddinge;6
1. Hårlevhallen;N;Nyt Stevns;Jesper Kristensen,Rødvig;2
1. Hårlevhallen;N;Nyt Stevns;Brian Qvist, St. Heddinge;5
1. Hårlevhallen;N;Nyt Stevns;René Langelund Larsen, St.Heddinge;0
1. Hårlevhallen;N;Nyt Stevns;Ole Gjermandsen,Store Heddinge;0
1. Hårlevhallen;N;Nyt Stevns;Birger Merwald, Rødvig;0
1. Hårlevhallen;O;Dansk Folkeparti;Listestemmer;54
1. Hårlevhallen;O;Dansk Folkeparti;Martin Henriksen;129
1. Hårlevhallen;O;Dansk Folkeparti;Helene Brix,Lille Heddinge;8
1. Hårlevhallen;O;Dansk Folkeparti;Rehné Høst Altenburg;5
1. Hårlevhallen;O;Dansk Folkeparti;Ulla Rasmussen, Store Heddinge;3
1. Hårlevhallen;O;Dansk Folkeparti;Jytte Jensen, Store Heddinge;1
1. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Listestemmer;148
1. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Anette Mortensen, Strøby Egede;396
1. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Flemming Petersen, Hårlev;123
1. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Rasmus Englund, Store Heddinge;9
1. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Bjarne Nielsen, Varpelev;42
1. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Karsten Skov, Strøby Egede;8
1. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Hans Peter Michaelsen,St. Heddinge;3
1. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Tina Høve, Hårlev;25
1. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Carl Skou, Rødvig;1
1. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Katja Pedersen, Strøby;7
