Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Struer;A;Socialdemokratiet;Listestemmer;277
1. Struer;A;Socialdemokratiet;John Christoffersen;304
1. Struer;A;Socialdemokratiet;Ann Møller Nielsen;244
1. Struer;A;Socialdemokratiet;Dorte Vilsgaard;89
1. Struer;A;Socialdemokratiet;Palle Lykke Ravn;74
1. Struer;A;Socialdemokratiet;Anna Marie Brix Poulsen;61
1. Struer;A;Socialdemokratiet;Claus Søgaard Andersen;8
1. Struer;A;Socialdemokratiet;Flemming T.Sørensen;107
1. Struer;A;Socialdemokratiet;Flemming Odde;53
1. Struer;A;Socialdemokratiet;Theresa Aroha Wollenberg;46
1. Struer;A;Socialdemokratiet;Jesper Olesen;98
1. Struer;A;Socialdemokratiet;Marianne Kamp;17
1. Struer;A;Socialdemokratiet;Flemming Karlsen;10
1. Struer;A;Socialdemokratiet;Georg Sabroe;30
1. Struer;A;Socialdemokratiet;Kaj Munkholm;32
1. Struer;A;Socialdemokratiet;Kristian Svenningsen;12
1. Struer;A;Socialdemokratiet;Kristian Andersen;10
1. Struer;A;Socialdemokratiet;Niels Viggo Lynghøj;109
1. Struer;B;Radikale Venstre;Listestemmer;30
1. Struer;B;Radikale Venstre;Peter Vestergaard;89
1. Struer;B;Radikale Venstre;Ole Agergaard Olsen;8
1. Struer;B;Radikale Venstre;Emma Rørholm Vestergaard;86
1. Struer;B;Radikale Venstre;Adam Jensen;47
1. Struer;B;Radikale Venstre;Jens Ahrengot;0
1. Struer;C;Det Konservative Folkeparti;Listestemmer;59
1. Struer;C;Det Konservative Folkeparti;Kjeld Graversgård,Thyholm;39
1. Struer;C;Det Konservative Folkeparti;Kim Aalbæk, Struer;54
1. Struer;C;Det Konservative Folkeparti;Bitten Kvist Jakobsen, Struer;69
1. Struer;C;Det Konservative Folkeparti;Jacob Aarlit Gade, Thyholm;12
1. Struer;C;Det Konservative Folkeparti;Villy Nielsen, Humlum;10
1. Struer;C;Det Konservative Folkeparti;Nina Gøthche, Hjerm;3
1. Struer;D;Nye Borgerlige;Listestemmer;53
1. Struer;D;Nye Borgerlige;Henrik Thinggaard;70
1. Struer;D;Nye Borgerlige;Jan Prichystal;15
1. Struer;D;Nye Borgerlige;Maria Thorup;25
1. Struer;D;Nye Borgerlige;Troels Nyborg Jensen;6
1. Struer;F;SF - Socialistisk Folkeparti;Listestemmer;112
1. Struer;F;SF - Socialistisk Folkeparti;Anne Kirstine Bøge Petersen;80
1. Struer;F;SF - Socialistisk Folkeparti;Meritta Bjerregaard;33
1. Struer;F;SF - Socialistisk Folkeparti;Hanne D. Jacobsen;22
1. Struer;F;SF - Socialistisk Folkeparti;Rikke Bergenstoff;19
1. Struer;F;SF - Socialistisk Folkeparti;Ole Johansen;19
1. Struer;F;SF - Socialistisk Folkeparti;Ivan Holck Jensen;19
1. Struer;I;Liberal Alliance;Listestemmer;11
1. Struer;I;Liberal Alliance;Thorbjørn Jacobsen, Struer;79
1. Struer;J;Fiskerlussing;Listestemmer;12
1. Struer;J;Fiskerlussing;John Jørgensen;27
1. Struer;O;Dansk Folkeparti;Listestemmer;33
1. Struer;O;Dansk Folkeparti;Jette Lund;58
1. Struer;O;Dansk Folkeparti;Peter Hersom;19
1. Struer;O;Dansk Folkeparti;Mikael Jensen;5
1. Struer;O;Dansk Folkeparti;Sasha Laigaard;3
1. Struer;O;Dansk Folkeparti;Torben Buurgaard;6
1. Struer;V;Venstre, Danmarks Liberale Parti;Listestemmer;131
1. Struer;V;Venstre, Danmarks Liberale Parti;Mads Jakobsen;731
1. Struer;V;Venstre, Danmarks Liberale Parti;Karsten Hjorth Larsen;196
1. Struer;V;Venstre, Danmarks Liberale Parti;Frank Linde;101
1. Struer;V;Venstre, Danmarks Liberale Parti;Tim Pindstofte;26
1. Struer;V;Venstre, Danmarks Liberale Parti;Kjeld Flarup;7
1. Struer;V;Venstre, Danmarks Liberale Parti;Steen Jakobsen;94
1. Struer;V;Venstre, Danmarks Liberale Parti;Elin Hamborg;15
1. Struer;V;Venstre, Danmarks Liberale Parti;Johannes Stougård;7
1. Struer;V;Venstre, Danmarks Liberale Parti;John Vangsgaard;6
1. Struer;V;Venstre, Danmarks Liberale Parti;Marianne Bredal;119
1. Struer;V;Venstre, Danmarks Liberale Parti;Morten Graversen;110
1. Struer;V;Venstre, Danmarks Liberale Parti;Claus Hansen;9
1. Struer;V;Venstre, Danmarks Liberale Parti;Kjeld Jensen;6
1. Struer;V;Venstre, Danmarks Liberale Parti;Anisiya Flarup;12
1. Struer;Æ;Frihedslisten;Listestemmer;8
1. Struer;Æ;Frihedslisten;Adrian-Silviu, Struer;14
2. Gimsing;A;Socialdemokratiet;Listestemmer;82
2. Gimsing;A;Socialdemokratiet;John Christoffersen;80
2. Gimsing;A;Socialdemokratiet;Ann Møller Nielsen;92
2. Gimsing;A;Socialdemokratiet;Dorte Vilsgaard;16
2. Gimsing;A;Socialdemokratiet;Palle Lykke Ravn;17
2. Gimsing;A;Socialdemokratiet;Anna Marie Brix Poulsen;22
2. Gimsing;A;Socialdemokratiet;Claus Søgaard Andersen;7
2. Gimsing;A;Socialdemokratiet;Flemming T.Sørensen;18
2. Gimsing;A;Socialdemokratiet;Flemming Odde;8
2. Gimsing;A;Socialdemokratiet;Theresa Aroha Wollenberg;7
2. Gimsing;A;Socialdemokratiet;Jesper Olesen;38
2. Gimsing;A;Socialdemokratiet;Marianne Kamp;5
2. Gimsing;A;Socialdemokratiet;Flemming Karlsen;4
2. Gimsing;A;Socialdemokratiet;Georg Sabroe;3
2. Gimsing;A;Socialdemokratiet;Kaj Munkholm;19
2. Gimsing;A;Socialdemokratiet;Kristian Svenningsen;1
2. Gimsing;A;Socialdemokratiet;Kristian Andersen;1
2. Gimsing;A;Socialdemokratiet;Niels Viggo Lynghøj;25
2. Gimsing;B;Radikale Venstre;Listestemmer;5
2. Gimsing;B;Radikale Venstre;Peter Vestergaard;24
2. Gimsing;B;Radikale Venstre;Ole Agergaard Olsen;1
2. Gimsing;B;Radikale Venstre;Emma Rørholm Vestergaard;9
2. Gimsing;B;Radikale Venstre;Adam Jensen;3
2. Gimsing;B;Radikale Venstre;Jens Ahrengot;0
2. Gimsing;C;Det Konservative Folkeparti;Listestemmer;11
2. Gimsing;C;Det Konservative Folkeparti;Kjeld Graversgård,Thyholm;6
2. Gimsing;C;Det Konservative Folkeparti;Kim Aalbæk, Struer;21
2. Gimsing;C;Det Konservative Folkeparti;Bitten Kvist Jakobsen, Struer;21
2. Gimsing;C;Det Konservative Folkeparti;Jacob Aarlit Gade, Thyholm;2
2. Gimsing;C;Det Konservative Folkeparti;Villy Nielsen, Humlum;0
2. Gimsing;C;Det Konservative Folkeparti;Nina Gøthche, Hjerm;3
2. Gimsing;D;Nye Borgerlige;Listestemmer;11
2. Gimsing;D;Nye Borgerlige;Henrik Thinggaard;21
2. Gimsing;D;Nye Borgerlige;Jan Prichystal;6
2. Gimsing;D;Nye Borgerlige;Maria Thorup;5
2. Gimsing;D;Nye Borgerlige;Troels Nyborg Jensen;3
2. Gimsing;F;SF - Socialistisk Folkeparti;Listestemmer;17
2. Gimsing;F;SF - Socialistisk Folkeparti;Anne Kirstine Bøge Petersen;18
2. Gimsing;F;SF - Socialistisk Folkeparti;Meritta Bjerregaard;16
2. Gimsing;F;SF - Socialistisk Folkeparti;Hanne D. Jacobsen;5
2. Gimsing;F;SF - Socialistisk Folkeparti;Rikke Bergenstoff;3
2. Gimsing;F;SF - Socialistisk Folkeparti;Ole Johansen;13
2. Gimsing;F;SF - Socialistisk Folkeparti;Ivan Holck Jensen;4
2. Gimsing;I;Liberal Alliance;Listestemmer;4
2. Gimsing;I;Liberal Alliance;Thorbjørn Jacobsen, Struer;26
2. Gimsing;J;Fiskerlussing;Listestemmer;0
2. Gimsing;J;Fiskerlussing;John Jørgensen;6
2. Gimsing;O;Dansk Folkeparti;Listestemmer;7
2. Gimsing;O;Dansk Folkeparti;Jette Lund;15
2. Gimsing;O;Dansk Folkeparti;Peter Hersom;7
2. Gimsing;O;Dansk Folkeparti;Mikael Jensen;1
2. Gimsing;O;Dansk Folkeparti;Sasha Laigaard;1
2. Gimsing;O;Dansk Folkeparti;Torben Buurgaard;1
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Listestemmer;40
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Mads Jakobsen;184
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Karsten Hjorth Larsen;44
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Frank Linde;49
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Tim Pindstofte;11
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Kjeld Flarup;2
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Steen Jakobsen;23
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Elin Hamborg;5
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Johannes Stougård;1
2. Gimsing;V;Venstre, Danmarks Liberale Parti;John Vangsgaard;3
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Marianne Bredal;49
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Morten Graversen;36
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Claus Hansen;0
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Kjeld Jensen;2
2. Gimsing;V;Venstre, Danmarks Liberale Parti;Anisiya Flarup;6
2. Gimsing;Æ;Frihedslisten;Listestemmer;2
