Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Listestemmer;111
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Søren Wiborg;95
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Martin Nielson;31
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Anette Sandgreen;13
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Cille Wiborg Ørndrup;22
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Erdal Colak;136
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Berit Bredelund Nielsen;13
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Susanne Voldfrom;16
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Henning Boe;5
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Özkan Kocak;28
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Claus Weichel;0
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Charlotte Illum;2
1. Vallensbæk Skole, Multisalen;B;Radikale Venstre;Listestemmer;22
1. Vallensbæk Skole, Multisalen;B;Radikale Venstre;Georg Roldan, Vallensbæk;18
1. Vallensbæk Skole, Multisalen;B;Radikale Venstre;Betty Chatterjee, Vallensbæk Str.;15
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Listestemmer;213
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Henrik Rasmussen;554
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Jytte Bendtsen;45
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Ricky van Overeem;35
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Morten Schou Jørgensen;27
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Lene Holm Gamborg;8
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;John Sørensen;30
