Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Hundested;A;Socialdemokratiet;Listestemmer;322
1. Hundested;A;Socialdemokratiet;Steffen Jensen;1363
1. Hundested;A;Socialdemokratiet;Helge Friis;37
1. Hundested;A;Socialdemokratiet;Helle Lunderød;28
1. Hundested;A;Socialdemokratiet;Annette Westh;71
1. Hundested;A;Socialdemokratiet;Henrik Tolstrup;12
1. Hundested;A;Socialdemokratiet;Torben Hedelund;164
1. Hundested;A;Socialdemokratiet;Tommy Frøslev;133
1. Hundested;A;Socialdemokratiet;Kirsten Lauritsen;30
1. Hundested;A;Socialdemokratiet;Jannik Haulik Jørgensen;49
1. Hundested;A;Socialdemokratiet;Matilde Ørsted;36
1. Hundested;A;Socialdemokratiet;Rolf Møller Hansen;2
1. Hundested;A;Socialdemokratiet;Mads Vergo;19
1. Hundested;A;Socialdemokratiet;Niclas Bannebjerg Nanboe;12
1. Hundested;A;Socialdemokratiet;Kirstin Kristensen;8
1. Hundested;A;Socialdemokratiet;Kim Daugbjerg;9
1. Hundested;A;Socialdemokratiet;Steen Lindblad;2
1. Hundested;A;Socialdemokratiet;Steen Mikkelsen;37
1. Hundested;B;Radikale Venstre;Listestemmer;26
1. Hundested;B;Radikale Venstre;Jesper Kirkebye Andersen;12
1. Hundested;B;Radikale Venstre;Anne-Mette Lorenzen;19
1. Hundested;B;Radikale Venstre;Morten Nielsen;3
1. Hundested;B;Radikale Venstre;Morten Lorenzen;2
1. Hundested;B;Radikale Venstre;Steen Bager;22
1. Hundested;B;Radikale Venstre;Dorthe Myndal Fogtmann;8
1. Hundested;B;Radikale Venstre;Mona Højlund;0
1. Hundested;C;Det Konservative Folkeparti;Listestemmer;111
1. Hundested;C;Det Konservative Folkeparti;Kim Jensen, Hundested;123
1. Hundested;C;Det Konservative Folkeparti;Peter Nørris Dalsgaard, Fr-værk;20
1. Hundested;C;Det Konservative Folkeparti;Søren Hersdorf, Ølsted;22
1. Hundested;C;Det Konservative Folkeparti;Kirsten Aunstrup, Frederiksværk;17
1. Hundested;C;Det Konservative Folkeparti;Søren Vester-Fabrin, Auderød;11
1. Hundested;D;Nye Borgerlige;Listestemmer;91
1. Hundested;D;Nye Borgerlige;Johan Thorup;79
1. Hundested;D;Nye Borgerlige;Henning Linnemann;14
1. Hundested;F;SF - Socialistisk Folkeparti;Listestemmer;100
1. Hundested;F;SF - Socialistisk Folkeparti;Anja Rosengreen, Hundested;428
1. Hundested;F;SF - Socialistisk Folkeparti;Olaf Prien, Frederiksværk;38
1. Hundested;F;SF - Socialistisk Folkeparti;Peter Nilsson, Sølager;30
1. Hundested;F;SF - Socialistisk Folkeparti;Kristine Skarbinika Pedersen, Eng;1
1. Hundested;F;SF - Socialistisk Folkeparti;Carsten Møller, Torup;50
1. Hundested;F;SF - Socialistisk Folkeparti;Jane Howe Gersager, Liseleje;0
1. Hundested;F;SF - Socialistisk Folkeparti;Dorthe Jensen, Frederiksværk;3
1. Hundested;F;SF - Socialistisk Folkeparti;Anita Bager, Sølager;17
1. Hundested;F;SF - Socialistisk Folkeparti;Ulla Westtoft, Hundested;17
1. Hundested;M;Det Miljøradikale Parti;Listestemmer;2
1. Hundested;M;Det Miljøradikale Parti;Timo Jattu;41
1. Hundested;O;Dansk Folkeparti;Listestemmer;72
1. Hundested;O;Dansk Folkeparti;Ole S. Nielsen, Evetofte;42
1. Hundested;O;Dansk Folkeparti;Victor V. Nielsen, Frederiksværk;13
1. Hundested;O;Dansk Folkeparti;Ole Wedel, Hundested;32
1. Hundested;O;Dansk Folkeparti;Merete Egholm, Ølsted;9
1. Hundested;O;Dansk Folkeparti;Ove Pedersen, Hundested;20
1. Hundested;V;Venstre, Danmarks Liberale Parti;Listestemmer;206
1. Hundested;V;Venstre, Danmarks Liberale Parti;Michael Thomsen;330
1. Hundested;V;Venstre, Danmarks Liberale Parti;Thomas Møller Nielsen;86
1. Hundested;V;Venstre, Danmarks Liberale Parti;Frederik Germann;94
1. Hundested;V;Venstre, Danmarks Liberale Parti;Sune Raunkjær;166
1. Hundested;V;Venstre, Danmarks Liberale Parti;Susan Eirfeldt;106
1. Hundested;V;Venstre, Danmarks Liberale Parti;Lars Stegman;93
1. Hundested;V;Venstre, Danmarks Liberale Parti;Mette Kjerulf;51
1. Hundested;V;Venstre, Danmarks Liberale Parti;Bitten Jørgensen;13
1. Hundested;V;Venstre, Danmarks Liberale Parti;Niels Bruun;5
1. Hundested;V;Venstre, Danmarks Liberale Parti;Lars Frost;6
1. Hundested;V;Venstre, Danmarks Liberale Parti;Tarja Knudsen;16
1. Hundested;V;Venstre, Danmarks Liberale Parti;Lili Lyng Madsen;1
1. Hundested;V;Venstre, Danmarks Liberale Parti;Birger Jarulf;2
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;139
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Thue Lundgaard, Frederiksværk;118
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Kirsten Agnes Bilfeldt, Torup;115
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Benny Nielsen, Frederiksværk;6
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Per Heisselberg, Frederiksværk;2
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Lilli Davids, Hundested;29
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Steen Andersen, Hundested;14
1. Hundested;Å;Alternativet;Listestemmer;19
1. Hundested;Å;Alternativet;Mariane Lunden, Hundested;41
1. Hundested;Å;Alternativet;Nanna Høyrup, Hundested;67
2. Melby;A;Socialdemokratiet;Listestemmer;119
2. Melby;A;Socialdemokratiet;Steffen Jensen;727
2. Melby;A;Socialdemokratiet;Helge Friis;57
2. Melby;A;Socialdemokratiet;Helle Lunderød;25
2. Melby;A;Socialdemokratiet;Annette Westh;26
2. Melby;A;Socialdemokratiet;Henrik Tolstrup;16
2. Melby;A;Socialdemokratiet;Torben Hedelund;3
2. Melby;A;Socialdemokratiet;Tommy Frøslev;1
2. Melby;A;Socialdemokratiet;Kirsten Lauritsen;14
2. Melby;A;Socialdemokratiet;Jannik Haulik Jørgensen;9
2. Melby;A;Socialdemokratiet;Matilde Ørsted;30
2. Melby;A;Socialdemokratiet;Rolf Møller Hansen;6
2. Melby;A;Socialdemokratiet;Mads Vergo;8
2. Melby;A;Socialdemokratiet;Niclas Bannebjerg Nanboe;11
2. Melby;A;Socialdemokratiet;Kirstin Kristensen;9
2. Melby;A;Socialdemokratiet;Kim Daugbjerg;85
2. Melby;A;Socialdemokratiet;Steen Lindblad;2
2. Melby;A;Socialdemokratiet;Steen Mikkelsen;0
2. Melby;B;Radikale Venstre;Listestemmer;10
2. Melby;B;Radikale Venstre;Jesper Kirkebye Andersen;6
2. Melby;B;Radikale Venstre;Anne-Mette Lorenzen;11
2. Melby;B;Radikale Venstre;Morten Nielsen;5
2. Melby;B;Radikale Venstre;Morten Lorenzen;3
2. Melby;B;Radikale Venstre;Steen Bager;5
2. Melby;B;Radikale Venstre;Dorthe Myndal Fogtmann;4
2. Melby;B;Radikale Venstre;Mona Højlund;1
2. Melby;C;Det Konservative Folkeparti;Listestemmer;71
2. Melby;C;Det Konservative Folkeparti;Kim Jensen, Hundested;45
2. Melby;C;Det Konservative Folkeparti;Peter Nørris Dalsgaard, Fr-værk;31
2. Melby;C;Det Konservative Folkeparti;Søren Hersdorf, Ølsted;10
2. Melby;C;Det Konservative Folkeparti;Kirsten Aunstrup, Frederiksværk;10
2. Melby;C;Det Konservative Folkeparti;Søren Vester-Fabrin, Auderød;6
2. Melby;D;Nye Borgerlige;Listestemmer;46
2. Melby;D;Nye Borgerlige;Johan Thorup;22
2. Melby;D;Nye Borgerlige;Henning Linnemann;6
2. Melby;F;SF - Socialistisk Folkeparti;Listestemmer;42
2. Melby;F;SF - Socialistisk Folkeparti;Anja Rosengreen, Hundested;115
2. Melby;F;SF - Socialistisk Folkeparti;Olaf Prien, Frederiksværk;13
2. Melby;F;SF - Socialistisk Folkeparti;Peter Nilsson, Sølager;1
2. Melby;F;SF - Socialistisk Folkeparti;Kristine Skarbinika Pedersen, Eng;3
2. Melby;F;SF - Socialistisk Folkeparti;Carsten Møller, Torup;9
2. Melby;F;SF - Socialistisk Folkeparti;Jane Howe Gersager, Liseleje;8
2. Melby;F;SF - Socialistisk Folkeparti;Dorthe Jensen, Frederiksværk;2
2. Melby;F;SF - Socialistisk Folkeparti;Anita Bager, Sølager;1
2. Melby;F;SF - Socialistisk Folkeparti;Ulla Westtoft, Hundested;2
2. Melby;M;Det Miljøradikale Parti;Listestemmer;3
2. Melby;M;Det Miljøradikale Parti;Timo Jattu;6
2. Melby;O;Dansk Folkeparti;Listestemmer;30
2. Melby;O;Dansk Folkeparti;Ole S. Nielsen, Evetofte;40
2. Melby;O;Dansk Folkeparti;Victor V. Nielsen, Frederiksværk;14
2. Melby;O;Dansk Folkeparti;Ole Wedel, Hundested;7
2. Melby;O;Dansk Folkeparti;Merete Egholm, Ølsted;6
2. Melby;O;Dansk Folkeparti;Ove Pedersen, Hundested;1
2. Melby;V;Venstre, Danmarks Liberale Parti;Listestemmer;99
2. Melby;V;Venstre, Danmarks Liberale Parti;Michael Thomsen;184
2. Melby;V;Venstre, Danmarks Liberale Parti;Thomas Møller Nielsen;57
2. Melby;V;Venstre, Danmarks Liberale Parti;Frederik Germann;45
2. Melby;V;Venstre, Danmarks Liberale Parti;Sune Raunkjær;16
2. Melby;V;Venstre, Danmarks Liberale Parti;Susan Eirfeldt;22
2. Melby;V;Venstre, Danmarks Liberale Parti;Lars Stegman;3
2. Melby;V;Venstre, Danmarks Liberale Parti;Mette Kjerulf;11
2. Melby;V;Venstre, Danmarks Liberale Parti;Bitten Jørgensen;9
2. Melby;V;Venstre, Danmarks Liberale Parti;Niels Bruun;8
2. Melby;V;Venstre, Danmarks Liberale Parti;Lars Frost;5
2. Melby;V;Venstre, Danmarks Liberale Parti;Tarja Knudsen;12
2. Melby;V;Venstre, Danmarks Liberale Parti;Lili Lyng Madsen;2
2. Melby;V;Venstre, Danmarks Liberale Parti;Birger Jarulf;1
2. Melby;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;40
2. Melby;Ø;Enhedslisten - De Rød-Grønne;Thue Lundgaard, Frederiksværk;36
2. Melby;Ø;Enhedslisten - De Rød-Grønne;Kirsten Agnes Bilfeldt, Torup;23
2. Melby;Ø;Enhedslisten - De Rød-Grønne;Benny Nielsen, Frederiksværk;3
2. Melby;Ø;Enhedslisten - De Rød-Grønne;Per Heisselberg, Frederiksværk;3
2. Melby;Ø;Enhedslisten - De Rød-Grønne;Lilli Davids, Hundested;2
2. Melby;Ø;Enhedslisten - De Rød-Grønne;Steen Andersen, Hundested;1
2. Melby;Å;Alternativet;Listestemmer;8
2. Melby;Å;Alternativet;Mariane Lunden, Hundested;7
2. Melby;Å;Alternativet;Nanna Høyrup, Hundested;14
3. Enghaven;A;Socialdemokratiet;Listestemmer;129
3. Enghaven;A;Socialdemokratiet;Steffen Jensen;707
3. Enghaven;A;Socialdemokratiet;Helge Friis;26
3. Enghaven;A;Socialdemokratiet;Helle Lunderød;16
3. Enghaven;A;Socialdemokratiet;Annette Westh;59
3. Enghaven;A;Socialdemokratiet;Henrik Tolstrup;12
3. Enghaven;A;Socialdemokratiet;Torben Hedelund;4
3. Enghaven;A;Socialdemokratiet;Tommy Frøslev;6
