Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Herlev Medborgerhus;A;Socialdemokratiet;Listestemmer;444
1. Herlev Medborgerhus;A;Socialdemokratiet;Thomas Gyldal Petersen;1140
1. Herlev Medborgerhus;A;Socialdemokratiet;Lars Mann Pedersen;33
1. Herlev Medborgerhus;A;Socialdemokratiet;Gitte Friberg Bomholdt;67
1. Herlev Medborgerhus;A;Socialdemokratiet;Marco Anders Damgaard;59
1. Herlev Medborgerhus;A;Socialdemokratiet;Michele Møller Amundsen;78
1. Herlev Medborgerhus;A;Socialdemokratiet;Bo Carle Zabel;61
1. Herlev Medborgerhus;A;Socialdemokratiet;André Lyhne Nørager;12
1. Herlev Medborgerhus;A;Socialdemokratiet;Maria Irene Mankov;51
1. Herlev Medborgerhus;A;Socialdemokratiet;Stefan Bruun Rasmussen;15
1. Herlev Medborgerhus;A;Socialdemokratiet;Hanne Brusgaard Holst;16
1. Herlev Medborgerhus;A;Socialdemokratiet;René John Brohammer Hansen;23
1. Herlev Medborgerhus;A;Socialdemokratiet;Vibs Løsekrug Hansen;9
1. Herlev Medborgerhus;A;Socialdemokratiet;Jan Mogensen;12
1. Herlev Medborgerhus;A;Socialdemokratiet;Henrik Sundstrup;39
1. Herlev Medborgerhus;A;Socialdemokratiet;Connie Irene Mankov;28
1. Herlev Medborgerhus;A;Socialdemokratiet;Conni Rosendahl;23
1. Herlev Medborgerhus;A;Socialdemokratiet;Søren Homann Nielsen;15
1. Herlev Medborgerhus;B;Radikale Venstre;Listestemmer;56
1. Herlev Medborgerhus;B;Radikale Venstre;Deniz Kücükavci;57
1. Herlev Medborgerhus;B;Radikale Venstre;Jens Frost;60
1. Herlev Medborgerhus;B;Radikale Venstre;Agha Abbas Razvi;28
1. Herlev Medborgerhus;B;Radikale Venstre;Kaloua Digbeu - Larsen;8
1. Herlev Medborgerhus;C;Det Konservative Folkeparti;Listestemmer;246
1. Herlev Medborgerhus;C;Det Konservative Folkeparti;Henrik Hilleberg;241
1. Herlev Medborgerhus;C;Det Konservative Folkeparti;Hanne Bonderup Bjørn-Klausen;86
1. Herlev Medborgerhus;C;Det Konservative Folkeparti;Jacob Aagesen;35
1. Herlev Medborgerhus;C;Det Konservative Folkeparti;Ivan Skafte-Bundgaard;10
1. Herlev Medborgerhus;C;Det Konservative Folkeparti;Ole René D B Pedersen;6
1. Herlev Medborgerhus;C;Det Konservative Folkeparti;Chresten Valdemar Heide-Anderson;7
1. Herlev Medborgerhus;C;Det Konservative Folkeparti;Dorte Vilhelmsen;63
1. Herlev Medborgerhus;C;Det Konservative Folkeparti;Morten Brørup;9
1. Herlev Medborgerhus;C;Det Konservative Folkeparti;Carsten Sonne Pedersen;3
1. Herlev Medborgerhus;C;Det Konservative Folkeparti;Jeannet Lauenborg;20
1. Herlev Medborgerhus;C;Det Konservative Folkeparti;Henrik Laursen;25
1. Herlev Medborgerhus;D;Nye Borgerlige;Listestemmer;58
1. Herlev Medborgerhus;D;Nye Borgerlige;Ditte Landin;25
1. Herlev Medborgerhus;D;Nye Borgerlige;Morten Mølkær Larsen;7
1. Herlev Medborgerhus;D;Nye Borgerlige;Jihmmy Peter Bach-Friis;16
1. Herlev Medborgerhus;D;Nye Borgerlige;Bjarne Rostad Olsen;1
1. Herlev Medborgerhus;F;SF - Socialistisk Folkeparti;Listestemmer;105
1. Herlev Medborgerhus;F;SF - Socialistisk Folkeparti;Betina Skovby;240
1. Herlev Medborgerhus;F;SF - Socialistisk Folkeparti;Arly John Eskildsen;124
1. Herlev Medborgerhus;F;SF - Socialistisk Folkeparti;Samira Akbari;32
1. Herlev Medborgerhus;F;SF - Socialistisk Folkeparti;Anja Henriksen;27
1. Herlev Medborgerhus;F;SF - Socialistisk Folkeparti;Jacob Møller Rasmussen;15
1. Herlev Medborgerhus;F;SF - Socialistisk Folkeparti;Malou Granskov Skovby;10
1. Herlev Medborgerhus;F;SF - Socialistisk Folkeparti;Lasse Juul Kristensen;0
1. Herlev Medborgerhus;F;SF - Socialistisk Folkeparti;Peter Bugge Schlæger;0
1. Herlev Medborgerhus;F;SF - Socialistisk Folkeparti;Trine Louise Stougaard Madsen;4
1. Herlev Medborgerhus;F;SF - Socialistisk Folkeparti;Preben Jacobsen;8
1. Herlev Medborgerhus;H;Herlev Listen;Listestemmer;12
1. Herlev Medborgerhus;H;Herlev Listen;Kim Kurt Kristensen;18
1. Herlev Medborgerhus;H;Herlev Listen;Ole Irving Juul Cronqvist;1
1. Herlev Medborgerhus;H;Herlev Listen;Charlotte Hartung Kristensen;5
1. Herlev Medborgerhus;H;Herlev Listen;Jens Due;1
1. Herlev Medborgerhus;H;Herlev Listen;Pia Mai Jensen;0
1. Herlev Medborgerhus;H;Herlev Listen;Leif Ravn Jensen;0
