Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Sønderbro;A;Socialdemokratiet;Listestemmer;252
1. Sønderbro;A;Socialdemokratiet;Peter Sørensen;483
1. Sønderbro;A;Socialdemokratiet;Andreas Boesen;52
1. Sønderbro;A;Socialdemokratiet;Susan Gyldenkilde;65
1. Sønderbro;A;Socialdemokratiet;Niels Peter Bøgballe;11
1. Sønderbro;A;Socialdemokratiet;Lone Blume;20
1. Sønderbro;A;Socialdemokratiet;Thomas Monberg Andersen;39
1. Sønderbro;A;Socialdemokratiet;Dennis Hansen;7
1. Sønderbro;A;Socialdemokratiet;Bo Skov Johansen;2
1. Sønderbro;A;Socialdemokratiet;Fahreta Kadic;29
1. Sønderbro;A;Socialdemokratiet;Lone Skriver;3
1. Sønderbro;A;Socialdemokratiet;Piratheep Rabindranath;133
1. Sønderbro;A;Socialdemokratiet;Per Andersen;10
1. Sønderbro;A;Socialdemokratiet;Nicolai Krølbøll Markussen;29
1. Sønderbro;A;Socialdemokratiet;Peter Sohn;17
1. Sønderbro;A;Socialdemokratiet;Jeanette Handberg;7
1. Sønderbro;A;Socialdemokratiet;Anders Vaagan;32
1. Sønderbro;A;Socialdemokratiet;Assia Zouaoui;4
1. Sønderbro;A;Socialdemokratiet;Lars Skytte Nielsen;10
1. Sønderbro;A;Socialdemokratiet;Jan Koborg Olsen;3
1. Sønderbro;A;Socialdemokratiet;Heidi Skovbølling Holm;6
1. Sønderbro;A;Socialdemokratiet;Anders Bruun Rasmussen;14
1. Sønderbro;A;Socialdemokratiet;Birgitte Timmermann Nielsen;25
1. Sønderbro;A;Socialdemokratiet;Raluca Balogh;15
1. Sønderbro;A;Socialdemokratiet;Dan Jeppesen;4
1. Sønderbro;A;Socialdemokratiet;Jørn Kildall;3
1. Sønderbro;A;Socialdemokratiet;Birthe Knudsen;1
1. Sønderbro;A;Socialdemokratiet;Saliem H. Bader;25
1. Sønderbro;A;Socialdemokratiet;Claus Kvist Hansen;4
1. Sønderbro;A;Socialdemokratiet;Torben Engholm;5
1. Sønderbro;A;Socialdemokratiet;Kjeld Søndergaard;1
1. Sønderbro;B;Radikale Venstre;Listestemmer;28
1. Sønderbro;B;Radikale Venstre;Niels Voetmann Jepsen;17
1. Sønderbro;B;Radikale Venstre;Rikke Christensen;18
1. Sønderbro;B;Radikale Venstre;Camilla Rytter Aaquist;25
1. Sønderbro;B;Radikale Venstre;Børge Sørensen;0
