Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Mesinge;A;Socialdemokratiet;Listestemmer;57
1. Mesinge;A;Socialdemokratiet;Kasper Ejsing Olesen, Langeskov;104
1. Mesinge;A;Socialdemokratiet;Malene Hansen, Kerteminde;24
1. Mesinge;A;Socialdemokratiet;Karen Dalsgaard Ibsen, Munkebo;7
1. Mesinge;A;Socialdemokratiet;Britt Pedersen, Martofte;36
1. Mesinge;A;Socialdemokratiet;Jan Johansen, Munkebo;47
1. Mesinge;A;Socialdemokratiet;Jens-Arne Hansen, Mesinge;50
1. Mesinge;A;Socialdemokratiet;Michael Gammelgaard, Rynkeby;2
1. Mesinge;A;Socialdemokratiet;Kristian Hald, Marslev;12
1. Mesinge;A;Socialdemokratiet;Puiu Iulian Mãcincã, Nonnebo;1
1. Mesinge;A;Socialdemokratiet;Kim Nielsen, Munkebo;2
1. Mesinge;A;Socialdemokratiet;Sebastian Nielsen, Munkebo;7
1. Mesinge;A;Socialdemokratiet;Mogens Jørgensen, Rynkeby;1
1. Mesinge;A;Socialdemokratiet;Claus Maimann, Kerteminde;2
1. Mesinge;A;Socialdemokratiet;Jan Hansen, Munkebo;4
1. Mesinge;A;Socialdemokratiet;John Eriksen, Munkebo;1
1. Mesinge;A;Socialdemokratiet;Henrik Nørgaard Nielsen,Kerteminde;1
1. Mesinge;A;Socialdemokratiet;Lars Hansborg-Sørensen, Munkebo;4
1. Mesinge;A;Socialdemokratiet;Glenn Røndrup Hansen, Rynkeby;0
1. Mesinge;A;Socialdemokratiet;Peter Bromark, Kerteminde;12
1. Mesinge;B;Radikale Venstre;Listestemmer;9
1. Mesinge;B;Radikale Venstre;Lena Bækholm, Langeskov;2
1. Mesinge;B;Radikale Venstre;Toke Halskov Kristensen, Viby;29
1. Mesinge;B;Radikale Venstre;Thinne Nielsen-Tjørnfelt,Langeskov;1
1. Mesinge;B;Radikale Venstre;Allan Damsgaard, Langeskov;0
1. Mesinge;B;Radikale Venstre;Kim Beck Danielsen, Kerteminde;0
1. Mesinge;B;Radikale Venstre;Karin Meisl, Kerteminde;9
1. Mesinge;B;Radikale Venstre;Ulrik Wehner, Munkebo;1
1. Mesinge;C;Det Konservative Folkeparti;Listestemmer;34
1. Mesinge;C;Det Konservative Folkeparti;Klavs Norup Lauridsen;100
1. Mesinge;C;Det Konservative Folkeparti;Jesper Schmidt-Nielsen;23
1. Mesinge;C;Det Konservative Folkeparti;Henrik Madsen;5
1. Mesinge;C;Det Konservative Folkeparti;Lars Ole Valsøe;1
1. Mesinge;C;Det Konservative Folkeparti;Michael Nielsen;4
1. Mesinge;C;Det Konservative Folkeparti;Kent Valsøe;14
1. Mesinge;C;Det Konservative Folkeparti;Anne Fiber;2
1. Mesinge;C;Det Konservative Folkeparti;Allan Thomsen;5
1. Mesinge;C;Det Konservative Folkeparti;Bibi Foged Rasmussen;121
1. Mesinge;C;Det Konservative Folkeparti;Jesper Hauritz Sørensen;0
1. Mesinge;C;Det Konservative Folkeparti;William Qvick-Godthaab;0
