Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Køge By - Midt;A;Socialdemokratiet;Listestemmer;165
1. Køge By - Midt;A;Socialdemokratiet;Marie Stærke;621
1. Køge By - Midt;A;Socialdemokratiet;Pernille Sylvest;31
1. Køge By - Midt;A;Socialdemokratiet;Vibeke Kjøng Østergaard;15
1. Køge By - Midt;A;Socialdemokratiet;Kristina Stange;7
1. Køge By - Midt;A;Socialdemokratiet;Lene Møller Nielsen;13
1. Køge By - Midt;A;Socialdemokratiet;Lissie Kirk;7
1. Køge By - Midt;A;Socialdemokratiet;Anders Dyrby Dahl;13
1. Køge By - Midt;A;Socialdemokratiet;Erik Swiatek;5
1. Køge By - Midt;A;Socialdemokratiet;Joan Haar;4
1. Køge By - Midt;A;Socialdemokratiet;Jeppe Svarre Andersen;16
1. Køge By - Midt;A;Socialdemokratiet;Jonas Bjørn Whitehorn;10
1. Køge By - Midt;A;Socialdemokratiet;Per Bach;12
1. Køge By - Midt;A;Socialdemokratiet;Dennis Hedegaard;3
1. Køge By - Midt;A;Socialdemokratiet;Ertugrul Vural;7
1. Køge By - Midt;A;Socialdemokratiet;Yakup Pelit;3
1. Køge By - Midt;A;Socialdemokratiet;Selim Balikci;2
1. Køge By - Midt;A;Socialdemokratiet;Osama Aref Mohamad;2
1. Køge By - Midt;A;Socialdemokratiet;Sabah Mustafa;0
1. Køge By - Midt;A;Socialdemokratiet;Andreas Bech;67
1. Køge By - Midt;B;Radikale Venstre;Listestemmer;35
1. Køge By - Midt;B;Radikale Venstre;Søren Johansen, Hastrup;46
1. Køge By - Midt;B;Radikale Venstre;Mette Jorsø, Køge;49
1. Køge By - Midt;B;Radikale Venstre;Martine Kiding, Sønder Køge;11
1. Køge By - Midt;B;Radikale Venstre;Özcan Tecer, Køge;15
1. Køge By - Midt;B;Radikale Venstre;Kurt Jensen, Borup;2
1. Køge By - Midt;B;Radikale Venstre;Martin Andersen, Lellinge;3
1. Køge By - Midt;B;Radikale Venstre;Andreas Nørretranders, Borup;2
1. Køge By - Midt;B;Radikale Venstre;Anette Kaae-Bødker, Køge;6
1. Køge By - Midt;B;Radikale Venstre;Madina Shafiqi, Ølby;8
1. Køge By - Midt;C;Det Konservative Folkeparti;Listestemmer;159
1. Køge By - Midt;C;Det Konservative Folkeparti;Thomas Kampmann, Køge;379
1. Køge By - Midt;C;Det Konservative Folkeparti;Kirsten Larsen, Køge;126
1. Køge By - Midt;C;Det Konservative Folkeparti;Mads Andersen, Køge;127
1. Køge By - Midt;C;Det Konservative Folkeparti;Bjarne Rasmussen, Herfølge;5
1. Køge By - Midt;C;Det Konservative Folkeparti;Anette Hallev, Hastrup;8
1. Køge By - Midt;C;Det Konservative Folkeparti;Mette Laugesen, Åshøj;20
1. Køge By - Midt;C;Det Konservative Folkeparti;Morten Kryger, Algestrup;9
1. Køge By - Midt;C;Det Konservative Folkeparti;Dogan Kilic, Hastrup;1
1. Køge By - Midt;C;Det Konservative Folkeparti;Jørgen Petersen, Køge;61
1. Køge By - Midt;C;Det Konservative Folkeparti;Claus René Olesen, Borup;2
1. Køge By - Midt;C;Det Konservative Folkeparti;Lars Laurbjerg, Vemmedrup;3
1. Køge By - Midt;C;Det Konservative Folkeparti;Lykke Outzen, Køge Nord;11
1. Køge By - Midt;C;Det Konservative Folkeparti;Henrik Fougt, Køge;6
1. Køge By - Midt;C;Det Konservative Folkeparti;Claus Rømer, Køge;8
1. Køge By - Midt;C;Det Konservative Folkeparti;Christian Wedell-Neergaard, Borup;5
1. Køge By - Midt;C;Det Konservative Folkeparti;Finn von Bülow, Slimminge;2
1. Køge By - Midt;C;Det Konservative Folkeparti;Frank R. Taarup, Hastrup;0
1. Køge By - Midt;C;Det Konservative Folkeparti;Jeppe Lindberg, Køge;9
1. Køge By - Midt;D;Nye Borgerlige;Listestemmer;33
1. Køge By - Midt;D;Nye Borgerlige;Martin Knudsen, Borup;21
