Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Sejerslev;A;Socialdemokratiet;Listestemmer;18
1. Sejerslev;A;Socialdemokratiet;Tore Müller;22
1. Sejerslev;A;Socialdemokratiet;John Christiansen;2
1. Sejerslev;A;Socialdemokratiet;Jens Dahlgaard;7
1. Sejerslev;A;Socialdemokratiet;Svend Erik Jørgensen;2
1. Sejerslev;A;Socialdemokratiet;Vagn Kidmose;22
1. Sejerslev;A;Socialdemokratiet;Poul Kristensen;0
1. Sejerslev;A;Socialdemokratiet;Lisbeth Svane Kusk;1
1. Sejerslev;A;Socialdemokratiet;Max Madsen;4
1. Sejerslev;A;Socialdemokratiet;Lene Leth Poulsen;2
1. Sejerslev;A;Socialdemokratiet;Pia Storm;14
1. Sejerslev;A;Socialdemokratiet;Florina Elena Temes;0
1. Sejerslev;A;Socialdemokratiet;Karin Villadsen;1
1. Sejerslev;A;Socialdemokratiet;Niels Kristian Østergaard;13
1. Sejerslev;B;Radikale Venstre;Listestemmer;1
1. Sejerslev;B;Radikale Venstre;Jette Jepsen;7
1. Sejerslev;B;Radikale Venstre;Lars Bo Majgaard;1
1. Sejerslev;B;Radikale Venstre;Gyrithe Stilling;2
1. Sejerslev;B;Radikale Venstre;Bo Fink;1
1. Sejerslev;C;Det Konservative Folkeparti;Listestemmer;2
1. Sejerslev;C;Det Konservative Folkeparti;Thomas Jensen;32
1. Sejerslev;C;Det Konservative Folkeparti;Henrik Markmøller Bro;1
1. Sejerslev;C;Det Konservative Folkeparti;Poul Erik Futtrup;0
1. Sejerslev;C;Det Konservative Folkeparti;Jens Peter Zacho;0
1. Sejerslev;C;Det Konservative Folkeparti;Claus S. Andersen;0
1. Sejerslev;C;Det Konservative Folkeparti;Poul Roesen;66
1. Sejerslev;D;Nye Borgerlige;Listestemmer;2
1. Sejerslev;D;Nye Borgerlige;Annfinn Halsagard, Sejerslev;22
1. Sejerslev;D;Nye Borgerlige;Jens Chr. Pedersen, Sejerslev;1
