Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Birkerød;A;Socialdemokratiet;Listestemmer;213
1. Birkerød;A;Socialdemokratiet;Kristine Thrane;154
1. Birkerød;A;Socialdemokratiet;Alexander Baadh;12
1. Birkerød;A;Socialdemokratiet;Heidi Højmark Falden;32
1. Birkerød;A;Socialdemokratiet;Poul Bach;81
1. Birkerød;A;Socialdemokratiet;Anette Maj Billesbølle;20
1. Birkerød;A;Socialdemokratiet;Thomas Lesly Rasmussen;5
1. Birkerød;A;Socialdemokratiet;Mette Poulsen;19
1. Birkerød;A;Socialdemokratiet;Erik Eugen Olsen;73
1. Birkerød;A;Socialdemokratiet;John Theil Münster;2
1. Birkerød;B;Radikale Venstre;Listestemmer;93
1. Birkerød;B;Radikale Venstre;Court Møller;46
1. Birkerød;B;Radikale Venstre;Jacob Netteberg;79
1. Birkerød;B;Radikale Venstre;Christian Elkjær;36
1. Birkerød;B;Radikale Venstre;Nada Naanaah;20
1. Birkerød;B;Radikale Venstre;Mette Stenby Andresen;30
1. Birkerød;B;Radikale Venstre;Harald Gade Andersen;0
1. Birkerød;B;Radikale Venstre;Anne Lise Kjær;6
1. Birkerød;B;Radikale Venstre;Kristoffer Boye Astrup;4
1. Birkerød;B;Radikale Venstre;Jacob Johannsen;1
1. Birkerød;B;Radikale Venstre;Birgit Gundorph-Malling;3
1. Birkerød;B;Radikale Venstre;Anne Damsgaard Manniche;3
1. Birkerød;C;Det Konservative Folkeparti;Listestemmer;339
1. Birkerød;C;Det Konservative Folkeparti;Ann Sofie Orth, Gl. Holte;98
1. Birkerød;C;Det Konservative Folkeparti;Christoffer Buster Reinhardt,Holte;61
1. Birkerød;C;Det Konservative Folkeparti;Birgitte Schjerning, Søllerød;24
1. Birkerød;C;Det Konservative Folkeparti;Nicola Emily Larsen, Birkerød;142
1. Birkerød;C;Det Konservative Folkeparti;Elisabeth Ildal, Vedbæk;8
1. Birkerød;C;Det Konservative Folkeparti;Julie Quass, Holte;48
1. Birkerød;C;Det Konservative Folkeparti;Lars Engelberth, Birkerød;28
1. Birkerød;C;Det Konservative Folkeparti;Knud Skadborg, Birkerød;32
1. Birkerød;C;Det Konservative Folkeparti;Alexander Friborg, Nærum;0
1. Birkerød;C;Det Konservative Folkeparti;Mikkel Barnekow, Høsterkøb;9
1. Birkerød;C;Det Konservative Folkeparti;Peter Lemmich, Vedbæk;4
1. Birkerød;C;Det Konservative Folkeparti;Lars Søndergaard-Nielsen, Birkerød;15
1. Birkerød;C;Det Konservative Folkeparti;Jack Otto Kristensen, Birkerød;24
1. Birkerød;C;Det Konservative Folkeparti;Lene Stener, Holte;6
1. Birkerød;C;Det Konservative Folkeparti;Flemming Møller, Holte;6
1. Birkerød;C;Det Konservative Folkeparti;Einar Bolt, Skodsborg;7
1. Birkerød;C;Det Konservative Folkeparti;Karen Schousboe, Øverød;4
