Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Tranebjerg;A;Socialdemokratiet;Listestemmer;70
1. Tranebjerg;A;Socialdemokratiet;Marcel Meijer;403
1. Tranebjerg;A;Socialdemokratiet;Michael Kristensen;41
1. Tranebjerg;A;Socialdemokratiet;Helle Hansen;38
1. Tranebjerg;A;Socialdemokratiet;Karina Knobelauch;39
1. Tranebjerg;A;Socialdemokratiet;Stefan Hafstein Wolffbrandt;29
1. Tranebjerg;A;Socialdemokratiet;Robert V. Rasmussen;40
1. Tranebjerg;A;Socialdemokratiet;Pia Ramsing;22
1. Tranebjerg;A;Socialdemokratiet;Anders Baun Sørensen;18
1. Tranebjerg;C;Det Konservative Folkeparti;Listestemmer;51
1. Tranebjerg;C;Det Konservative Folkeparti;Per Urban Olsen;303
1. Tranebjerg;C;Det Konservative Folkeparti;Peter Askjær;39
1. Tranebjerg;C;Det Konservative Folkeparti;Martin Sørensen;25
1. Tranebjerg;C;Det Konservative Folkeparti;Louise Bramstorp;7
1. Tranebjerg;C;Det Konservative Folkeparti;Sigfred Jensen;31
1. Tranebjerg;C;Det Konservative Folkeparti;Jørn C. Nissen;27
1. Tranebjerg;C;Det Konservative Folkeparti;Morten Ø. Kristensen;34
1. Tranebjerg;C;Det Konservative Folkeparti;Susanne Andersen;11
1. Tranebjerg;C;Det Konservative Folkeparti;Iulian V. Paiu;11
1. Tranebjerg;C;Det Konservative Folkeparti;Per Hingel;3
1. Tranebjerg;F;SF - Socialistisk Folkeparti;Listestemmer;23
1. Tranebjerg;F;SF - Socialistisk Folkeparti;Ulla Holm, Ballen;227
1. Tranebjerg;F;SF - Socialistisk Folkeparti;Kjeld Bønkel, Tranebjerg;27
1. Tranebjerg;F;SF - Socialistisk Folkeparti;Anne Grethe Olsen, Kolby;7
1. Tranebjerg;F;SF - Socialistisk Folkeparti;Lone Krag, Ørby;8
1. Tranebjerg;F;SF - Socialistisk Folkeparti;Børge S. Buur, Permelille;1
1. Tranebjerg;O;Dansk Folkeparti;Listestemmer;4
1. Tranebjerg;O;Dansk Folkeparti;Per Mortensen, Samsø;20
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Listestemmer;61
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Søren Wiese;293
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Anita Elgaard Højholt Olesen;108
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Carsten Bruun;87
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Mogens Exner;17
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Anja Guldborg;19
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Klaus Holdorf;3
1. Tranebjerg;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;47
1. Tranebjerg;Ø;Enhedslisten - De Rød-Grønne;Katrine Høegh Mc Quaid;38
1. Tranebjerg;Ø;Enhedslisten - De Rød-Grønne;Jette M. Søgaard;20
