Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Aakjær;A;Socialdemokratiet;Listestemmer;215
1. Aakjær;A;Socialdemokratiet;Peder Christensen, Skive;584
1. Aakjær;A;Socialdemokratiet;Ruth Kristensen, Skive;132
1. Aakjær;A;Socialdemokratiet;Niels Ole D. Nielsen, Skive;39
1. Aakjær;A;Socialdemokratiet;Stine Esther Christensen, Egeris;134
1. Aakjær;A;Socialdemokratiet;Johnny Kent Knudsen, Skive;55
1. Aakjær;A;Socialdemokratiet;Bente Østergaard, Roslev;10
1. Aakjær;A;Socialdemokratiet;Claus Kjeldsen, Skive;6
1. Aakjær;A;Socialdemokratiet;Marianne Fløe Fejerskov, Skive;28
1. Aakjær;A;Socialdemokratiet;Kim Jepsen, Ramsing;46
1. Aakjær;A;Socialdemokratiet;Henrik Godsk, Rødding;9
1. Aakjær;A;Socialdemokratiet;Jan D. Andersen, Jebjerg;8
1. Aakjær;A;Socialdemokratiet;Keld Mørk Kristensen, Rønbjerg;25
1. Aakjær;A;Socialdemokratiet;Susanne Grove, Skive;12
1. Aakjær;A;Socialdemokratiet;Michael Lundsted Nielsen, Hem;14
1. Aakjær;A;Socialdemokratiet;Jonna Skov, Skive;14
1. Aakjær;A;Socialdemokratiet;Dorte Christensen, Fur;5
1. Aakjær;A;Socialdemokratiet;Carsten Høgh Nielsen, Nr. Søby;2
1. Aakjær;A;Socialdemokratiet;Kim Kurdahl, Højslev St.;2
1. Aakjær;B;Radikale Venstre;Listestemmer;45
1. Aakjær;B;Radikale Venstre;Ellen Bye Jensen, Fur;17
1. Aakjær;B;Radikale Venstre;Henrik Wæhrens Winther, Skive;43
1. Aakjær;B;Radikale Venstre;Solveig Stausholm-Jensen, Skive;24
1. Aakjær;B;Radikale Venstre;Gorm Wæhrens, Skive;4
1. Aakjær;B;Radikale Venstre;Egon Espersen, Kisumkær;0
1. Aakjær;B;Radikale Venstre;Henning Linderoth,Jebjerg;6
1. Aakjær;C;Det Konservative Folkeparti;Listestemmer;54
1. Aakjær;C;Det Konservative Folkeparti;Mogens Birkelund, Højslev;55
1. Aakjær;C;Det Konservative Folkeparti;Kenneth J. Grinderslev, Roslev;12
1. Aakjær;C;Det Konservative Folkeparti;Palle Christensen, Skive;17
1. Aakjær;C;Det Konservative Folkeparti;Peter Søndergaard, Dølby;2
1. Aakjær;C;Det Konservative Folkeparti;Carl Eiler Carlsen, Glyngøre;10
1. Aakjær;C;Det Konservative Folkeparti;Bjarne Linneberg, Skive;33
1. Aakjær;D;Nye Borgerlige;Listestemmer;56
1. Aakjær;D;Nye Borgerlige;Erik Mortensen, Vile;36
1. Aakjær;D;Nye Borgerlige;Annie Kaagaard Kristensen, Breum;13
1. Aakjær;D;Nye Borgerlige;Morten Jensen, Skive;50
1. Aakjær;D;Nye Borgerlige;Søren Andersen, Højslev;3
1. Aakjær;D;Nye Borgerlige;Frank Dons Pedersen, Skive;5
1. Aakjær;F;SF - Socialistisk Folkeparti;Listestemmer;62
1. Aakjær;F;SF - Socialistisk Folkeparti;Anders Bøge,Lihme;68
1. Aakjær;F;SF - Socialistisk Folkeparti;Elsemarie Trøst, Skive;41
1. Aakjær;F;SF - Socialistisk Folkeparti;Mia Sönchen Johansen, Skive;78
1. Aakjær;F;SF - Socialistisk Folkeparti;Jeppe Tandal Nielsen, Skive;23
1. Aakjær;F;SF - Socialistisk Folkeparti;Frits Laursen, Glyngøre;5
