Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Nordborg;A;Socialdemokratiet;Listestemmer;136
1. Nordborg;A;Socialdemokratiet;Erik Lauritzen, Blans;458
1. Nordborg;A;Socialdemokratiet;Didde Lauritzen, Nybøl;12
1. Nordborg;A;Socialdemokratiet;Jan Prokopek Jensen, Guderup;163
1. Nordborg;A;Socialdemokratiet;Charlotte Riis Engelbrecht, Adsbøl;12
1. Nordborg;A;Socialdemokratiet;Preben Storm, Rinkenæs;3
1. Nordborg;A;Socialdemokratiet;Jesper Smaling, Dybbøl;10
1. Nordborg;A;Socialdemokratiet;Niels Ole Bennedsen, Nordborg;192
1. Nordborg;A;Socialdemokratiet;Bjørn Allerelli Andersen, Sønderbo;3
1. Nordborg;A;Socialdemokratiet;Tom Hartvig Nielsen, Fynshav;4
1. Nordborg;A;Socialdemokratiet;Erik Lorenzen, Broager;1
1. Nordborg;A;Socialdemokratiet;Charlotte Grau, Sjellerup;3
1. Nordborg;A;Socialdemokratiet;Kristian Beuschau, Sønderby;75
1. Nordborg;A;Socialdemokratiet;Jesper Kock, Sønderborg;4
1. Nordborg;A;Socialdemokratiet;Ganeswaran Shanmugaratnam, Dybbøl;1
1. Nordborg;A;Socialdemokratiet;Jesper Larsen, Nordborg;338
1. Nordborg;A;Socialdemokratiet;Morten Hansen, Nordborg;98
1. Nordborg;A;Socialdemokratiet;Hanne Kliver Anker, Stevning;22
1. Nordborg;A;Socialdemokratiet;Henrik Sohl, Broager;1
1. Nordborg;A;Socialdemokratiet;Karen Mølbæk, Augustenborg;4
1. Nordborg;A;Socialdemokratiet;Svend Erik Petersen, Vollerup;3
1. Nordborg;A;Socialdemokratiet;Erling Taul Jensen, Augustenborg;3
1. Nordborg;A;Socialdemokratiet;Ulrick Christiansen, Sønderborg;12
1. Nordborg;A;Socialdemokratiet;Hans Jørgen Albrechtsen, Kværs;1
1. Nordborg;A;Socialdemokratiet;Klaus Petersen, Sønderborg;0
1. Nordborg;A;Socialdemokratiet;Birthe Lind, Sønderborg;0
1. Nordborg;A;Socialdemokratiet;Jørgen Christensen, Sønderborg;0
1. Nordborg;A;Socialdemokratiet;Desalegn Tufa, Sønderborg;8
1. Nordborg;A;Socialdemokratiet;Else Christensen-Redzepovic, Blans;3
1. Nordborg;A;Socialdemokratiet;Vilson Ferati, Nordborg;4
1. Nordborg;B;Radikale Venstre;Listestemmer;4
1. Nordborg;B;Radikale Venstre;Faisal Shojai, Augustenborg;6
1. Nordborg;B;Radikale Venstre;Carsten Mogensen, Dybbøl;0
1. Nordborg;B;Radikale Venstre;Anders Sonne, Sønderborg;0
1. Nordborg;C;Det Konservative Folkeparti;Listestemmer;17
1. Nordborg;C;Det Konservative Folkeparti;Jesper Højmark Esbensen, Sønderbor;16
1. Nordborg;C;Det Konservative Folkeparti;Mikkel Blønd Vestergaard, Augusten;1
1. Nordborg;C;Det Konservative Folkeparti;Søren Tylvad Andersen, Sønderborg;3
