Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Aalestrup;A;Socialdemokratiet;Listestemmer;69
1. Aalestrup;A;Socialdemokratiet;Asger Andersen;24
1. Aalestrup;A;Socialdemokratiet;Anders Kjær Kristensen;3
1. Aalestrup;A;Socialdemokratiet;Erik Stagsted;1
1. Aalestrup;A;Socialdemokratiet;Kenneth Nyholm;2
1. Aalestrup;A;Socialdemokratiet;Mikael Toft;3
1. Aalestrup;A;Socialdemokratiet;Henrik Harris Sloth;8
1. Aalestrup;A;Socialdemokratiet;Doris Lauritzen;21
1. Aalestrup;A;Socialdemokratiet;Rasmus Vetter;200
1. Aalestrup;A;Socialdemokratiet;Andreea Buza;6
1. Aalestrup;A;Socialdemokratiet;Jens Chr. Pedersen;4
1. Aalestrup;A;Socialdemokratiet;Morten Lindblad;9
1. Aalestrup;A;Socialdemokratiet;Kirsten Marie Olsen;17
1. Aalestrup;B;Radikale Venstre;Listestemmer;6
1. Aalestrup;B;Radikale Venstre;Gitte Lopdrup, Aars;6
1. Aalestrup;B;Radikale Venstre;Jannie Valentin Dexter Jakobsen,Fa;2
1. Aalestrup;B;Radikale Venstre;Kristine Bloch Steendahl, Farsø;8
1. Aalestrup;B;Radikale Venstre;Karsten Kjærgaard, Livø;0
1. Aalestrup;B;Radikale Venstre;Søren Dolmer, Aars;2
1. Aalestrup;B;Radikale Venstre;Hans Grishauge, Gatten;1
1. Aalestrup;C;Det Konservative Folkeparti;Listestemmer;35
1. Aalestrup;C;Det Konservative Folkeparti;Signe Nøhr, Hornum;68
1. Aalestrup;C;Det Konservative Folkeparti;Svend Jørgensen, Aars;12
1. Aalestrup;C;Det Konservative Folkeparti;Henrik Dalgaard, Aars;7
1. Aalestrup;C;Det Konservative Folkeparti;Jeppe Korreborg Pedersen,Aalestrup;450
1. Aalestrup;C;Det Konservative Folkeparti;Allan Ritter, Løgstør;1
1. Aalestrup;C;Det Konservative Folkeparti;Niels Krebs, Farsø;3
1. Aalestrup;C;Det Konservative Folkeparti;Per Nyborg, Aars;5
1. Aalestrup;C;Det Konservative Folkeparti;Johan Gammelholm-Hagstrup, Ranum;2
1. Aalestrup;C;Det Konservative Folkeparti;Steffen Lønsmann, Vester Hornum;11
1. Aalestrup;C;Det Konservative Folkeparti;Ulla Skov, Aalestrup;35
1. Aalestrup;C;Det Konservative Folkeparti;Vittus Bernlow, Gunderup;0
1. Aalestrup;C;Det Konservative Folkeparti;Bettina Haldrup Nielsen, Løgstør;1
1. Aalestrup;C;Det Konservative Folkeparti;Ulrik Mark Jensen, Gundersted;3
1. Aalestrup;C;Det Konservative Folkeparti;Willy Møller, Farsø;1
1. Aalestrup;D;Nye Borgerlige;Listestemmer;23
1. Aalestrup;D;Nye Borgerlige;Lars Rem, Hvalpsund;17
1. Aalestrup;D;Nye Borgerlige;Stefan Larsen, Thorup;24
1. Aalestrup;D;Nye Borgerlige;Frank Krogstrup, Vegger;0
1. Aalestrup;D;Nye Borgerlige;Martin Riisgaard-Jensen, Løgstør;5
1. Aalestrup;D;Nye Borgerlige;René Nielsen, Ranum;0
1. Aalestrup;F;SF - Socialistisk Folkeparti;Listestemmer;17
1. Aalestrup;F;SF - Socialistisk Folkeparti;Theresa Berg Andersen, Vilsted;67
1. Aalestrup;F;SF - Socialistisk Folkeparti;Karen Clausager, Aars;4
