dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;kommune_navn;kommune_dagi_id;resultat_art;S;V;største_parti;pop_up
712286;2. Vest;10;Skolen på Islands Brygge;101;2;403565;Artillerivej 57, 2300 København S;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Skolen på Islands Brygge<br>"
725346;2. Øst;57;Dyvekeskolen;101;2;403565;Remisevej 16, 2300 København S;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Dyvekeskolen<br>"
706166;2. Nord;8;Amager Fælled Skole;101;2;403565;Sundholmsvej 2A, 2300 København S;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Amager Fælled Skole<br>"
711204;2. Sundbyvester;7;Sundby Idrætspark;101;2;403565;Englandsvej 61, 2300 København S;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Sundby Idrætspark<br>"
706562;2. Ørestad;9;Ørestad Gymnasium;101;2;403565;Ørestads Boulevard 75, 2300 København S;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Ørestad Gymnasium<br>"
749400;2. Kalvebod Fælled;61;Kalvebod Fælled Skole;101;2;403565;Else Alfelts Vej 2, 2300 København S;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Kalvebod Fælled Skole<br>"
749401;2. Peder Lykke;62;Peder Lykke Skolen;101;2;403565;Birketinget 3, 2300 København S;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Peder Lykke Skolen<br>"
701520;8. Sydøst;47;Sankt Annæ Gymnasium;101;8;403576;Sjælør Boulevard 135, 2500 Valby;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Sankt Annæ Gymnasium<br>"
707648;8. Valby;42;Ålholm Skole;101;8;403576;Vibeholmen 1, 2500 Valby;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Ålholm Skole<br>"
711890;8. Vest;46;Lykkebo Hallen;101;8;403576;Lykkebovej 30, 2500 Valby;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Lykkebo Hallen<br>"
709306;8. Nord;43;Prøvehallen;101;8;403576;Porcelænstorvet 4, 2500 Valby;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Prøvehallen<br>"
704776;8. Syd;44;Kirsebærhavens Skole;101;8;403576;Kirsebærhaven 23, 2500 Valby;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Kirsebærhavens Skole<br>"
704784;8. Midt;48;Vigerslev Allés Skole;101;8;403576;Vigerslev Allé 108, 2500 Valby;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Vigerslev Allés Skole<br>"
701580;4. Øst;19;Skolen ved Sundet;101;4;403566;Samosvej 50, 2300 København S;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Skolen ved Sundet<br>"
704930;4. Nord;17;Skolen på Amagerbro;101;4;403566;Lybækgade 20, 2300 København S;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Skolen på Amagerbro<br>"
706154;4. Syd;18;Gerbrandskolen;101;4;403566;Gerbrandsvej 9, 2300 København S;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Gerbrandskolen<br>"
707726;4. Sundbyøster;16;Lergravsparkens Skole;101;4;403566;Wittenberggade 2, 2300 København S;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Lergravsparkens Skole<br>"
749399;4. Nordøst;65;Nordøstamager Skole;101;4;403566;Holmbladsgade 117, 2300 København S;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Nordøstamager Skole<br>"
725338;1. Øst;56;Skolen på Strandboulevarden;101;1;403564;Strandboulevarden 47, 2100 København Ø;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Skolen på Strandboulevarden<br>"
704936;1. Syd;3;Remisen;101;1;403564;Blegdamsvej 132, 2100 København Ø;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Remisen<br>"
706160;1. Vest;5;Nørre Fælled Skole;101;1;403564;Biskop Krags Vænge 7, 2100 København Ø;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Nørre Fælled Skole<br>"
711932;1. Nord;2;Strandvejsskolen;101;1;403564;Sionsgade 1, 2100 København Ø;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Strandvejsskolen<br>"
707732;1. Østerbro;1;Idrætshuset;101;1;403564;Gunnar Nu Hansens Pl 7, 2100 København Ø;København;389103;ForeløbigOptælling;50.0;50.0;Socialdemokratiet;"<b style='color:#F00B2F; font-size:1.5em;margin-bottom: 10px'>Socialdemokratiet</b><br> blev størst på valgstedet Idrætshuset<br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#F00B2F;'></span><span style='display:inline-block; width:20px; font-size:1em;vertical-align:middle; margin-left: 4px'>S</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>50.0%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#0781DD;'></span><span style='display:inline-block; width:20px; font-size:1em;vertical-align:middle; margin-left: 4px'>V</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>50.0%</span>"
710802;1. Nordvest;6;Kildevældsskolen;101;1;403564;Bellmansgade 5A, 2100 København Ø;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Kildevældsskolen<br>"
749398;1. Nordhavn;60;Østerbrohuset;101;1;403564;Århusgade 103, 2100 København Ø;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Østerbrohuset<br>"
706178;7. Øst;34;Bellahøj Skole;101;7;403575;Svenskelejren 18, 2700 Brønshøj;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Bellahøj Skole<br>"
701626;7. Rødkilde;33;Rødkilde Skole;101;7;403575;Godthåbsvej 274, 2720 Vanløse;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Rødkilde Skole<br>"
710814;7. Vanløse;41;Vanløsehallerne;101;7;403575;Hirtshalsvej 6C, 2720 Vanløse;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Vanløsehallerne<br>"
710820;7. Nord;32;Tingbjerg Skole;101;7;403575;Skolesiden 2, 2700 Brønshøj;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Tingbjerg Skole<br>"
703374;7. Kirkebjerg;40;Kirkebjerg Skole;101;7;403575;Vanløsehøj 4, 2720 Vanløse;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Kirkebjerg Skole<br>"
