dagi_id,navn,nummer,afstemningssted_navn,kommune_id,opstillingskreds_nummer,opstillingskreds_dagi_id,afstemningssted_adresse,kommune_navn,kommune_dagi_id
710304,Mørdrupskolen,11,Mørdrupskolen,217,21,403552,"Rugmarken 1A, Mørdrup, 3060 Espergærde",Helsingør,389124
702690,Espergærde Bibliotek,10,Espergærde Bibliotek,217,21,403552,"Kløvermarken 12, 3060 Espergærde",Helsingør,389124
748170,Toldkammeret,12,Toldkammeret,217,21,403552,"Havnepladsen 1, 3000 Helsingør",Helsingør,389124
707098,Bølgen,4,Bølgen,217,21,403552,"Jæmtlandsvej 1, 3140 Ålsgårde",Helsingør,389124
705752,"Laden, Gl. Vapnagård",3,"Laden, Gl. Vapnagård",217,21,403552,"Hovmarken 8, 3000 Helsingør",Helsingør,389124
710298,Skolen ved Gurrevej,2,Skolen ved Gurrevej,217,21,403552,"Gefionsvej 93, 3000 Helsingør",Helsingør,389124
708702,Hornbæk Skole,5,"Hornbæk Skole, Tumlesalen",217,21,403552,"Søren Kannes Vej 6A, 3100 Hornbæk",Helsingør,389124
702682,Snekkersten Hallen,9,Snekkersten Hallen,217,21,403552,"Agnetevej 1, Mørdrup, 3070 Snekkersten",Helsingør,389124
705746,Kvistgård Idrætsanlæg,8,Kvistgård Idrætsanlæg,217,21,403552,"Reerstrupvej 2A, 3490 Kvistgård",Helsingør,389124
708696,Tikøb Skole,7,Tikøb Skole,217,21,403552,"Præstegårdsvej 21, 3080 Tikøb",Helsingør,389124
701118,Helsingør Hallen,1,Helsingør Hallen,217,21,403552,"Gl Hellebækvej 63, 3000 Helsingør",Helsingør,389124
707136,Nygård Skole,6,Nygård Skole,217,21,403552,"Hellebækvej 44, 3000 Helsingør",Helsingør,389124
