dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;kommune_navn;kommune_dagi_id;største_parti;pop_up
704036;Kr. Helsinge;5;Kr. Helsinge Forsamlingshus;326;38;403631;Helsingevej 78, Kirke Helsinge, 4281 Gørlev;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Kr. Helsinge Forsamlingshus<br>"
707012;Gørlev;4;Gørlevhallen;326;38;403631;Kalundborgvej 29, 4281 Gørlev;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Gørlevhallen<br>"
708648;Sejerø;2;Sejerø Skole;326;38;403631;Nordbyvej 3, 4592 Sejerø;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Sejerø Skole<br>"
701008;Årby-Rørby;15;Rørbyhallen;326;38;403631;Bakkegårdsvej 15, Rørby, 4400 Kalundborg;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Rørbyhallen<br>"
701032;Kalundborghallen;12;Kalundborg Hallerne Ing.D Torvet;326;38;403631;J H - Petersens Alle 11, 4400 Kalundborg;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Kalundborg Hallerne Ing.D Torvet<br>"
702334;Reersø;6;Reersø Kro;326;38;403631;Strandvejen 46, Reersø, 4281 Gørlev;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Reersø Kro<br>"
702316;Høng;9;Høng Hallen;326;38;403631;Rosenvænget 23, 4270 Høng;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Høng Hallen<br>"
701026;Buerup;10;Buerup Forsamlingshus;326;38;403631;Buerupvej 24, Buerup, 4450 Jyderup;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Buerup Forsamlingshus<br>"
711468;Rynkevang;13;Rynkevanghallen;326;38;403631;Møllevej 10, 4400 Kalundborg;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Rynkevanghallen<br>"
707004;Svallerup;7;Svallerup Forsamlingshus;326;38;403631;Svallerup Landevej 19, Svallerup, 4400 Kalundborg;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Svallerup Forsamlingshus<br>"
701040;Svebølle;3;Svebølle Aktivitetscenter - Åvangen;326;38;403631;Centervej 13, 4470 Svebølle;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Svebølle Aktivitetscenter - Åvangen<br>"
710188;Røsnæs;17;Røsnæs Forsamlingshus;326;38;403631;Søbakken 7, 4400 Kalundborg;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Røsnæs Forsamlingshus<br>"
702322;Gierslev;11;Løve Forsamlingshus;326;38;403631;Stationsvej 4, Løve, 4270 Høng;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Løve Forsamlingshus<br>"
702328;Ulshøj;18;Musisk Skole;326;38;403631;Skovbrynet 55, 4400 Kalundborg;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Musisk Skole<br>"
705664;Snertinge;1;Aktivitetshuset Vesterlunden;326;38;403631;Vesterlunden 1, Særslev, 4460 Snertinge;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Aktivitetshuset Vesterlunden<br>"
711460;Raklev;16;Raklev Sognegård;326;38;403631;Elledevej 59, 4400 Kalundborg;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Raklev Sognegård<br>"
705658;Tømmerup;14;Tømmeruphallen;326;38;403631;Tømmerupvej 20, 4400 Kalundborg;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Tømmeruphallen<br>"
708654;Ubby;8;Ubby Forsamlingshus;326;38;403631;Hovedgaden 19, Ubby, 4490 Jerslev Sjælland;Kalundborg;389141;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Ubby Forsamlingshus<br>"
