dagi_id,navn,nummer,afstemningssted_navn,kommune_id,opstillingskreds_nummer,opstillingskreds_dagi_id,afstemningssted_adresse,kommune_navn,kommune_dagi_id,største_parti
711630,Korsør - Storebæltshallen,4,Storebæltshallen,330,40,403630,"Teilmanns Alle 12, 4220 Korsør",Slagelse,389144,
701108,Agersø - Agersøhallen,7,Agersøhallen,330,40,403630,"Gamlevej 6, 4244 Agersø",Slagelse,389144,
704418,Slagelse - Søndermarkshallen,17,Søndermarkshallen,330,40,403630,"Byskov Alle 41, 4200 Slagelse",Slagelse,389144,
711606,Vemmelev - Vemmelevhallen,1,Vemmelevhallen,330,40,403630,"Skolevej 2, 4241 Vemmelev",Slagelse,389144,
748852,Stillinge - Stillingehallen,14,Stillingehallen,330,40,403630,"Bildsøvej 74B, Kirke Stillinge, 4200 Slagelse",Slagelse,389144,
710288,Vestermose - Hallelev Forsamlingshus,13,Hallelev Forsamlingshus,330,40,403630,"Hallelevvej 27, Hallelev, 4200 Slagelse",Slagelse,389144,
701098,Boeslunde - Boeslunde Hallen,5,Boeslunde Hallen,330,40,403630,"Borgbjergvej 18, 4242 Boeslunde",Slagelse,389144,
748850,Slagelse - Nordhallen,16,Nordhallen,330,40,403630,"Nørrevangstorvet 8, 4200 Slagelse",Slagelse,389144,
702758,Rude - Kirkeskovskolen,9,Kirkeskovskolen,330,40,403630,"Næstved Landevej 632A, Venslev, 4243 Rude",Slagelse,389144,
704408,Sørbymagle - Sørbymagle forsamlingshus,12,Sørbymagle forsamlingshus,330,40,403630,"Sørby Hovedgade 21, Sørbymagle, 4200 Slagelse",Slagelse,389144,
720074,Skælskør - Skælskør Badmintoncenter,6,Skælskør Badmintoncenter,330,40,403630,"Sorøvej 88A, 4230 Skælskør",Slagelse,389144,
701164,Korsør - Broskolen,3,Broskolen,330,40,403630,"Birkemosevej 11, 4220 Korsør",Slagelse,389144,
748854,Tårnborg - Taarnborg Forsamlingshus,2,Taarnborg Forsamlingshus,330,40,403630,"Frølundevej 50, 4220 Korsør",Slagelse,389144,
705710,Dalmose - Dalmosehallen,10,Dalmosehallen,330,40,403630,"Stationsvej 53A, 4261 Dalmose",Slagelse,389144,
748851,Slagelse - Vesthallen,15,Vesthallen,330,40,403630,"Skjoldsvej 8, 4200 Slagelse",Slagelse,389144,
748853,Slagelse - Slagelse Hallen,18,Slagelse Hallen,330,40,403630,"Parkvej 33, 4200 Slagelse",Slagelse,389144,
705790,Omø - Omø Forsamlingshus,8,Omø Forsamlingshus,330,40,403630,"Husmandsstræde 16A, 4245 Omø",Slagelse,389144,
748430,Slots Bjergby - Hashøjskolen,11,Hashøjskolen,330,40,403630,"Brovej 1, Slots Bjergby, 4200 Slagelse",Slagelse,389144,
