dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;kommune_navn;kommune_dagi_id;største_parti;pop_up
708426;Errindlev;1;Errindlev Forsamlingshus;360;29;403639;Centralskolevej 8, 4895 Errindlev;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Errindlev Forsamlingshus<br>"
709912;Askø;14;Askø Skole;360;29;403639;Askø Skolevej 8, 4942 Askø;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Askø Skole<br>"
706762;Sandby;8;Sandby Kulturhus;360;29;403639;Tårsvej 92, 4912 Harpelunde;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Sandby Kulturhus<br>"
700840;Holeby;3;Holeby Medborgerhus, Gymnastiksalen;360;29;403639;Maribovej 1, 4960 Holeby;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Holeby Medborgerhus, Gymnastiksalen<br>"
705484;Maribo;13;Maribo Hallerne - Hal 2;360;29;403639;Ved Stadion 4, 4930 Maribo;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Maribo Hallerne - Hal 2<br>"
708456;Østofte;19;Østofte Hallen;360;29;403639;Østofte Gade 42, 4951 Nørreballe;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Østofte Hallen<br>"
703882;Rødbyhavn;37;Rødbyhavn Sportshal, Gymnastiksalen;360;29;403639;Havnegade 101, 4970 Rødby;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Rødbyhavn Sportshal, Gymnastiksalen<br>"
706808;Birket;26;Signe Stubs Sognegård;360;29;403639;Bandholmvej 79, 4943 Torrig L;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Signe Stubs Sognegård<br>"
703864;Horslunde;29;Ravnsborghallen, Kulturhuset;360;29;403639;Pederstrupvej 30, 4913 Horslunde;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Ravnsborghallen, Kulturhuset<br>"
706822;Søllested;11;Højrebyhallen;360;29;403639;Bøgevej 2, 4920 Søllested;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Højrebyhallen<br>"
709900;Fejø;27;Fejø Børne- og kulturhus;360;29;403639;Herredsvej 190, 4944 Fejø;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Fejø Børne- og kulturhus<br>"
706746;Dannemare;35;Rudbjerghallen;360;29;403639;Rudbjergvej 16B, 4983 Dannemare;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Rudbjerghallen<br>"
706816;Femø;28;Femø Kro og Kursuscenter;360;29;403639;Askhavnsvej 69, 4945 Femø;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Femø Kro og Kursuscenter<br>"
702106;Rødby;36;Blomsterparkens Cafeteria;360;29;403639;Blomsterparken 70, 4970 Rødby;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Blomsterparkens Cafeteria<br>"
705458;Nakskov;20;Nakskov Idrætscenter;360;29;403639;A. E. Hansensvej 1, 4900 Nakskov;Lolland;389150;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Nakskov Idrætscenter<br>"
