dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;kommune_navn;kommune_dagi_id;største_parti;pop_up
705042;Øster Ulslev;9;Øster Ulslev Forsamlingshus;376;30;403638;Holebyvej 30, 4894 Øster Ulslev;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Øster Ulslev Forsamlingshus<br>"
705108;Gedser;20;Gedser Idræts- og Medborgerhus;376;30;403638;Skråvej 2, 4874 Gedser;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Gedser Idræts- og Medborgerhus<br>"
703496;Stubbekøbing;16;Stubbekøbing Hallen;376;30;403638;Gl. Landevej 1, 4850 Stubbekøbing;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Stubbekøbing Hallen<br>"
701828;Sundby;7;SUNDskolen;376;30;403638;Linde Alle 36, Ø Toreby, 4800 Nykøbing F;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i SUNDskolen<br>"
701778;Toreby;6;Torebyhallen;376;30;403638;Gl. Landevej 17, Toreby, 4891 Toreby L;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Torebyhallen<br>"
707852;Sakskøbing;13;Sakskøbing Sportscenter;376;30;403638;P Hansens Vej 15, 4990 Sakskøbing;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Sakskøbing Sportscenter<br>"
703548;Idestrup;18;Idestrup Forsamlingshus;376;30;403638;Kirkevej 19, 4872 Idestrup;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Idestrup Forsamlingshus<br>"
706386;Ejegod;4;Ejegod Hallen;376;30;403638;Møllebakken 7, 4800 Nykøbing F;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Ejegod Hallen<br>"
709640;Horreby;17;Horreby Hallen;376;30;403638;Nykøbingvej 198B, Horreby, 4800 Nykøbing F;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Horreby Hallen<br>"
712156;Eskilstrup;12;Eskilstrup Hallerne;376;30;403638;Stødstrupvej 5, Stødstrup, 4863 Eskilstrup;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Eskilstrup Hallerne<br>"
712080;Nysted;8;Nysted Idrætssal;376;30;403638;Ndr Kongemarksvej 18, 4880 Nysted;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Nysted Idrætssal<br>"
712124;Kraghave;5;Nordbyskolen;376;30;403638;Nordby Allé 2, Nordbyen, 4800 Nykøbing F;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Nordbyskolen<br>"
703554;Østerbro;2;Brydeklubben Thor;376;30;403638;Gartnervej 3, 4800 Nykøbing F;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Brydeklubben Thor<br>"
706380;Lindeskov;3;Østerbroskolen;376;30;403638;Lindevænget 1, 4800 Nykøbing F;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Østerbroskolen<br>"
711018;Nørre Vedby;11;Nørre Vedby Hallen;376;30;403638;Vigvej 8, Nørre Vedby, 4840 Nørre Alslev;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Nørre Vedby Hallen<br>"
709572;Majbølle;14;GULDborgen;376;30;403638;Guldborgvej 228, Soesmarke, 4862 Guldborg;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i GULDborgen<br>"
701764;Væggerløse;19;Væggerløse Hallen;376;30;403638;Idrætsalleen 1, 4873 Væggerløse;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Væggerløse Hallen<br>"
709646;Byen;1;Nykøbing F. Hallen;376;30;403638;Nørre Boulevard 4A, 4800 Nykøbing F;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Nykøbing F. Hallen<br>"
709670;Våbensted;15;Landsbyen;376;30;403638;Krårup Møllevej 1, 4990 Sakskøbing;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Landsbyen<br>"
701748;Nørre Alslev;10;Nordfalster Idræts- og Kulturcenter;376;30;403638;Skolegade 3, 4840 Nørre Alslev;Guldborgsund;389151;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Nordfalster Idræts- og Kulturcenter<br>"
