dagi_id,navn,nummer,afstemningssted_navn,kommune_id,opstillingskreds_nummer,opstillingskreds_dagi_id,afstemningssted_adresse,kommune_navn,kommune_dagi_id
701552,Brylle,15,BRYLLE FRITIDSCENTER,420,44,403609,"Tobovej 30, Brylle, 5690 Tommerup",Assens,389157
710784,Tommerup,16,TOMMERUP BYS FORSAMLINGSHUS,420,44,403609,"Kirkebjerg 6, 5690 Tommerup",Assens,389157
704912,Glamsbjerg/Søllested,8,GLAMSBJERG FRITIDSCENTER,420,44,403609,"Mågevej 7, 5620 Glamsbjerg",Assens,389157
748072,Køng,10,KØNG FORSAMLINGSHUS,420,44,403609,"Byvejen 39, Køng, 5620 Glamsbjerg",Assens,389157
748070,Vissenbjerg,11,VISSENBJERG IDRÆTS- OG KULTURCENT.,420,44,403609,"Idrætsvej 3, 5492 Vissenbjerg",Assens,389157
707704,Verninge/Nårup,18,VERNINGE FORSAMLINGSHUS,420,44,403609,"Fuglekildevej 85, Verninge, 5690 Tommerup",Assens,389157
748071,Rørup,6,RØRUP BORGERHUS,420,44,403609,"Gelstedvej 10, Rørup, 5560 Aarup",Assens,389157
707710,Haarby,13,HAARBY HALLERNE,420,44,403609,"Svinget 1, 5683 Haarby",Assens,389157
710764,Assens,1,ARENA ASSENS,420,44,403609,"Rådhus Allé 25, 5610 Assens",Assens,389157
709286,Salbrovad,4,SALBROVAD-HALLEN,420,44,403609,"Salbrovad 30, Sandager, 5610 Assens",Assens,389157
748073,Aarup/Kerte,5,AARUP FRITIDSCENTER,420,44,403609,"Ormehøjvej 4, Ormehøj, 5560 Aarup",Assens,389157
701526,Dreslette,12,DRESLETTE FORSAMLINGSHUS,420,44,403609,"Ørbækvej 1, Snave, 5683 Haarby",Assens,389157
701534,Flemløse,9,FLEMLØSE GL. KRO,420,44,403609,"Langgade 3, Flemløse, 5620 Glamsbjerg",Assens,389157
711914,Turup,3,TURUP FORSAMLINGSHUS,420,44,403609,"Kærvangen 17, Turup, 5610 Assens",Assens,389157
704924,Tommerup St,17,FYRTÅRN TOMMERUP,420,44,403609,"Tallerupvej 85, Tommerup St, 5690 Tommerup",Assens,389157
709318,Ebberup/Helnæs,2,EBBERUP HALLEN,420,44,403609,"Skolevej 7, 5631 Ebberup",Assens,389157
711908,Jordløse,14,JORDLØSE FORSAMLINGSHUS,420,44,403609,"Haastrupvej 1, Jordløse, 5683 Haarby",Assens,389157
710796,Orte/Ørsted,7,FRØBJERG SAMLINGS- OG KULTURHUS,420,44,403609,"Frøbjergvej 76, Frøbjerg, 5560 Aarup",Assens,389157
