dagi_id,navn,nummer,afstemningssted_navn,kommune_id,opstillingskreds_nummer,opstillingskreds_dagi_id,afstemningssted_adresse,kommune_navn,kommune_dagi_id
709786,Gudme,23,Gudmehallerne,479,47,403615,"Stærkærvej 1, 5884 Gudme",Svendborg,389162
705276,Byen,1,Midtbyhallen,479,47,403615,"Johs Jørgensens Vej 10, 5700 Svendborg",Svendborg,389162
705328,Egense,7,Egense Forsamlingshus,479,47,403615,"Skovsbovej 338, Skovsbo, 5700 Svendborg",Svendborg,389162
709768,Thurø,10,Thurøhallen,479,47,403615,"Rolf Krakes Vej 20B, Thurø, 5700 Svendborg",Svendborg,389162
705350,Gudbjerg,21,Gudbjerg Forsamlingshus,479,47,403615,"Byvej 44, 5892 Gudbjerg Sydfyn",Svendborg,389162
705344,Landet,8,Tåsinge Forsamlingshus,479,47,403615,"Elvira Madigans Vej 41, Tåsinge, 5700 Svendborg",Svendborg,389162
707982,Oure,27,Majorgården,479,47,403615,"Landevejen 155, 5883 Oure",Svendborg,389162
709774,Kirkeby,14,Kirkeby Forsamlingshus,479,47,403615,"Vævervej 6, Kirkeby, 5771 Stenstrup",Svendborg,389162
701964,Stenstrup,17,Stenstrup Forsamlingshus,479,47,403615,"Stenstrup Torv 1, 5771 Stenstrup",Svendborg,389162
703708,Drejø,6,Drejø Kro,479,47,403615,"Vigsvej 1, Drejø, 5700 Svendborg",Svendborg,389162
703734,Skårup,9,Skåruphallen,479,47,403615,"Åbyvejen 43, 5881 Skårup Fyn",Svendborg,389162
703728,Tved,11,Tved Forsamlingshus,479,47,403615,"Skolevej 4, Tved, 5700 Svendborg",Svendborg,389162
706616,Ollerup,16,Ø. Skerninge Forsamlingshus,479,47,403615,"Midtervej 30, 5762 Vester Skerninge",Svendborg,389162
708006,V.Skerninge,19,Vester Skerninge Forsamlingshus,479,47,403615,"Fåborgvej 72B, 5762 Vester Skerninge",Svendborg,389162
701944,Nordre,2,Svendborg Erhvervsskole og Gym,479,47,403615,"Porthusvej 71A, 5700 Svendborg",Svendborg,389162
748110,Bjerreby,4,Bjerreby Forsamlingshus,479,47,403615,"Bjerrebyvej 66, Tåsinge, 5700 Svendborg",Svendborg,389162
705356,Østre,3,Nymarkskolens Hal,479,47,403615,"Marslevvej 1, 5700 Svendborg",Svendborg,389162
707990,Bregninge,5,Taasingehallen,479,47,403615,"Eskærvej 65, Tåsinge, 5700 Svendborg",Svendborg,389162
712298,Hesselager,25,"Stokkebækskolen, afd. Hesselager",479,47,403615,"Skolevej 50, 5874 Hesselager",Svendborg,389162
