dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;kommune_navn;kommune_dagi_id;største_parti;pop_up
701362;Askov-Malt;16;Askov-Malt Skole, idrætssalen;575;55;403623;Maltvej 86, Askov, 6600 Vejen;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Askov-Malt Skole, idrætssalen<br>"
701368;Holsted;3;Medius Holsted;575;55;403623;Højmarksvej 18, 6670 Holsted;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Medius Holsted<br>"
706028;Føvling;4;Landsbyhuset Føvling;575;55;403623;Åttevej 8A, 6683 Føvling;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Landsbyhuset Føvling<br>"
701386;Bække;19;Hærvejshallen;575;55;403623;Møllevænget 5, 6622 Bække;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Hærvejshallen<br>"
703014;Læborg;15;Læborg Forsamlingshus;575;55;403623;Læborgvej 10, 6600 Vejen;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Læborg Forsamlingshus<br>"
707412;Glejbjerg;5;Glejbjerg Fritidscenter;575;55;403623;Stadionvej 2A, 6752 Glejbjerg;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Glejbjerg Fritidscenter<br>"
703026;Brørup;1;Brørup Hallerne;575;55;403623;Byagervej 3, 6650 Brørup;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Brørup Hallerne<br>"
704526;Sdr. Hygum;8;Sdr. Hygum Forsamlingshus;575;55;403623;Ribevej 51, Sdr Hygum, 6630 Rødding;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Sdr. Hygum Forsamlingshus<br>"
707418;Hovborg;6;Hovborg Kro;575;55;403623;Holmeåvej 2, 6682 Hovborg;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Hovborg Kro<br>"
706016;Jels;9;Thorhallen;575;55;403623;Ørstedvej 10, Jels, 6630 Rødding;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Thorhallen<br>"
710606;Lintrup;10;Lintrup Aktivitetscenter;575;55;403623;Nørretoft 4, 6660 Lintrup;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Lintrup Aktivitetscenter<br>"
704514;Vejen;14;Vejen Idrætscenter;575;55;403623;Petersmindevej 1, 6600 Vejen;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Vejen Idrætscenter<br>"
701350;Rødding;7;Rødding Centret;575;55;403623;Søndergyden 15, 6630 Rødding;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Rødding Centret<br>"
704538;Skodborg;11;Skodborg Børnecenter;575;55;403623;Parkvej 4, Skodborg, 6630 Rødding;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Skodborg Børnecenter<br>"
703020;Gesten;18;Gesten Forsamlingshus;575;55;403623;Hovedgaden 30, 6621 Gesten;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Gesten Forsamlingshus<br>"
706022;Lindknud;2;Aktivitetscenter Bøgevang;575;55;403623;Favrskovvej 8, Lindknud, 6650 Brørup;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Aktivitetscenter Bøgevang<br>"
710600;Øster Lindet;13;Øster Lindet Forsamlingshus;575;55;403623;Terpvej 19, Øster Lindet, 6630 Rødding;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Øster Lindet Forsamlingshus<br>"
704520;Andst;17;Andst Borger- og Aktivitetscenter;575;55;403623;Østervang 20, Andst, 6600 Vejen;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Andst Borger- og Aktivitetscenter<br>"
701380;Københoved;12;Københoved Forsamlingshus;575;55;403623;Københovedvej 36, Københoved, 6630 Rødding;Vejen;389174;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Københoved Forsamlingshus<br>"
