dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;kommune_navn;kommune_dagi_id;største_parti;pop_up
706404;Holmsland;2;Holmsland Idræts- og Kulturcenter;760;83;403580;Bandsbyvej 2, Holmsland, 6950 Ringkøbing;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Holmsland Idræts- og Kulturcenter<br>"
705180;Ringkøbing;14;ROFI-Centret, Hal 2;760;83;403580;Kirkevej 26, Rindum, 6950 Ringkøbing;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i ROFI-Centret, Hal 2<br>"
703684;Spjald;35;Spjald Kulturhus;760;83;403580;Nr Søndergårdsvej 1, 6971 Spjald;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Spjald Kulturhus<br>"
706530;Videbæk;30;Videbæk Idræts- og Fritidscenter, Hovedindgangen;760;83;403580;Vestervang 28, 6920 Videbæk;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Videbæk Idræts- og Fritidscenter, Hovedindgangen<br>"
707950;Troldhede;32;Troldhede Kultur- og Idrætscenter;760;83;403580;Idrætsalle 1, Troldhede, 6920 Videbæk;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Troldhede Kultur- og Idrætscenter<br>"
711186;Skjern;24;Ringkøbing-Skjern Kulturcenter, Hal 1;760;83;403580;Ranunkelvej 1, 6900 Skjern;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Ringkøbing-Skjern Kulturcenter, Hal 1<br>"
712176;Hvide Sande;10;Hvide Sande Bibliotek;760;83;403580;Skolevej 1, 6960 Hvide Sande;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Hvide Sande Bibliotek<br>"
711210;Vorgod-Barde;33;Vorgod Forsamlingshus;760;83;403580;Bardevej 3, Vorgod, 6920 Videbæk;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Vorgod Forsamlingshus<br>"
709682;Stauning;28;Stauning Skole, Gymnastiksalen;760;83;403580;Kirkebyvej 65, Stauning, 6900 Skjern;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Stauning Skole, Gymnastiksalen<br>"
711192;Lem;21;Lem Hallen, Multisalen;760;83;403580;Skolebakken 20, 6940 Lem St;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Lem Hallen, Multisalen<br>"
703702;Rækker Mølle;27;Rækker Mølle Hallen;760;83;403580;Tylvadvej 2B, Rækker Mølle, 6900 Skjern;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Rækker Mølle Hallen<br>"
712306;Hee;16;Hee Gl. Stationsbygning;760;83;403580;Ringgaden 3A, Hee, 6950 Ringkøbing;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Hee Gl. Stationsbygning<br>"
706568;Tim;22;Tim Hallen;760;83;403580;Åvænget 3, 6980 Tim;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Tim Hallen<br>"
706556;Velling;12;Velling Forsamlingshus;760;83;403580;Velling Kirkeby 17, Velling, 6950 Ringkøbing;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Velling Forsamlingshus<br>"
748671;Hemmet;7;Hemmet Aktivitets- og Kulturhus;760;83;403580;Sdr. Viumvej 2A, 6893 Hemmet;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Hemmet Aktivitets- og Kulturhus<br>"
748670;Ådum;4;Ådum Hallen;760;83;403580;Tøstrupvej 26A, Ådum, 6880 Tarm;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Ådum Hallen<br>"
703690;Borris;25;Borris Hallen;760;83;403580;Stadionalle 10, Borris, 6900 Skjern;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Borris Hallen<br>"
707956;Tarm;1;Tarm Idrætscenter, Hal A;760;83;403580;Skovvej 25, 6880 Tarm;Ringkøbing-Skjern;389184;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Tarm Idrætscenter, Hal A<br>"
