kandidat,parti,stemmer
Sisse Marie Welling,SF,8714
Line Barfod,Enhedslisten,8472
Pernille Rosenkrantz-Theil,Socialdemokratiet,4800
Jakob Næsager,Konservative,4085
Karoline Lindgaard,Alternativet,2374
Christopher Røhl,Radikale,2330
Mikkel Bjørn,Dansk Folkeparti,2086
Lars Aslan Rasmussen,Socialdemokratiet,1949
Shukri Hamda Dol,Enhedslisten,1859
Sikandar Siddique,Frie Grønne,1782
Astrid Aller,SF,1570
Kristine Ammitzbøll-Bille,Radikale,1379
Alexander Ryle,Liberal Alliance,1310
Jakob Skyggebjerg,Radikale,1040
Rasmus Steenberger,SF,958
Louise Theilade Thomsen,Venstre,892
Helle Bonnesen,Konservative,833
Emma Bach,Enhedslisten,823
Jens-Kristian Lütken,Venstre,796
Kashif Ahmad,Radikale,752
Laura Rosenvinge,Socialdemokratiet,691
Karina Vestergård Madsen,Enhedslisten,662
Maria Sofie Petersen,Enhedslisten,643
Luna Solhave,Venstre,630
Mads Mikkel Dragholt,SF,590
Jonas Heidari,Enhedslisten,589
Emil Moselund,Radikale,568
Ellen Emilie,Moderaterne,552
Amran Daahir Hassan,Enhedslisten,514
Line Ervolder,Konservative,511
Casper Øhlers,Konservative,506
Birgitte Kehler Holst,Alternativet,501
Ella Wiberg,Enhedslisten,489
Andreas Keil,Socialdemokratiet,470
Kristina Westerberg Thomsen,Radikale,469
Signe Bøgevald,Liberal Alliance,464
Mathilde Kastbjerg,Konservative,460
Mette Reissmann,Socialdemokratiet,450
Yildiz Akdogan,Socialdemokratiet,435
Klaus Goldschmidt Henriksen,Enhedslisten,431
Sonja Agerbæk,SF,423
Gorm Anker Gunnarsen,Enhedslisten,418
Mads Hvid,SF,404
Jiesper Tristan Pedersen,Alternativet,398
Absalon Billehøj,Enhedslisten,385
Charlotte Lund,Enhedslisten,383
Klaus Mygind,SF,383
Søren B. Scott,Alternativet,383
Thomas Markmann,Radikale,345
Katrine Hassenkam,Enhedslisten,342
Kasper Stisen,Socialdemokratiet,339
Emil Sloth,Alternativet,336
Asham Agha Nadeem,Frie Grønne,331
Knud Holt Nielsen,Enhedslisten,318
Irina Frost,SF,317
Hari Neupane,Socialdemokratiet,317
Ulla Krag,Socialdemokratiet,290
Mikkel Skovgaard,Enhedslisten,254
Günay Usta,Enhedslisten,251
Sara Julie Sørensen,Radikale,247
Christian Ingemann,SF,245
Yilmaz Yildiz,SF,244
Cille Egholm,Venstre,244
Ingrid Bo Rahbek,Enhedslisten,241
Niels Peder Ravn,Konservative,239
Morten Melchiors,Konservative,239
Maria Frej,SF,231
Ane Storm,Venstre,230
Catharina Næsby Malkki,Alternativet,230
Mads Balslev Hansen,SF,229
Niels E. Bjerrum,Socialdemokratiet,221
Daniel Tomicic,Frie Grønne,220
Joanne Bywater,Liberal Alliance,219
Stine Finné Toft,Enhedslisten,217
Anders Fausbøll,Venstre,213
Jakob Hougaard,Socialdemokratiet,208
Frederikke Alban,Radikale,206
Marianne Moegreen,Venstre,202
Jonas Manthey Olsen,Socialdemokratiet,201
Christian Bülow,Dansk Folkeparti,200
Frederik Kronborg,Enhedslisten,198
Martin Schepelern,Radikale,195
Lone Kathrine Pedersen,SF,187
Kåre Traberg Smidt,Venstre,185
Susanne Wad Leth,Radikale,184
Rasmus Bjergegaard,Konservative,181
Lasse Mandal,Liberal Alliance,177
Emilla Møller,Socialdemokratiet,174
Jens Wedenborg,Konservative,173
Kasper Cederholm,Danmarksdemokraterne,169
Kim Mandix,Radikale,168
Thomas Egholm,Enhedslisten,162
Reinout Bosch,Enhedslisten,161
Charlotte Frejlev,Liberal Alliance,159
Karoline Vind,SF,157
Maria Kornbek,Socialdemokratiet,153
Helene Fagerhøj,Konservative,145
Jakob Ravn Karlsen,Alternativet,142
Asbjørn Reissmann,Socialdemokratiet,141
Marie Blønd,SF,130
Thomas Warburg,SF,129
Elise Bjerkrheim,Frie Grønne,123
Sidsel Boertmann Brüel,Enhedslisten,121
Helle Stolberg,Socialdemokratiet,121
Alina Protsyk,Radikale,121
Rajesh Holmen,Frie Grønne,120
Mostafa M. Zaarab,Venstre,120
Lars Vestergaard,Dansk Folkeparti,120
Jean Thierry,Enhedslisten,119
Rune Palm,SF,119
Heidi Wang,Venstre,116
Ole Normann Buch,Konservative,114
Allan Nyhus,Radikale,112
Ida Theodora Wolf Berendsen,SF,111
Thomas Sichelkow,Moderaterne,110
Nicklas Petterson,Venstre,109
Kim Laursen,Moderaterne,108
Klaus Trier Tuxen,J,107
Mads S. B. Pedersen,Socialdemokratiet,107
Claus Buch,Venstre,106
Mathias Niebuhr,Socialdemokratiet,105
Andreas Petersen,Konservative,104
Jan Mathisen,R,102
Torben Guldbæk,Liberal Alliance,101
Rashid Ali,Frie Grønne,100
Jasmin Kaur,Frie Grønne,99
Lartey Lawson,Radikale,92
Signe Vad,Frie Grønne,91
Anders Stjernholm,T,91
Andreas Raben,Moderaterne,91
Troels Chr. Jakobsen,T,90
Per Fabricius Ramsing,Alternativet,90
Laura Emilie Fabricius-Lauritzen,Liberal Alliance,88
Bente Møller,Enhedslisten,87
Khalid Al-Subaihi,Y,87
Dan Kreutzfeldt,Radikale,84
Malte Sauerland-Paulsen,Enhedslisten,82
Ida Busk,Konservative,81
Thomas Hovard,Liberal Alliance,81
Martin Sibast,Danmarksdemokraterne,81
Dagmar Damm,Konservative,79
Pia Kolind Nielsen,Konservative,78
Jakob Thiemann,Socialdemokratiet,78
Zeynep Bardakci,Venstre,77
Jesper Housgaard,Kristendemokraterne,77
Mikkel Bahl,Alternativet,77
Maria Gudme,Socialdemokratiet,76
Lise de Molade,Dansk Folkeparti,74
Stig Ekman,Socialdemokratiet,71
Sofie Amalie Elkjær,Kristendemokraterne,71
Cecilie Iwang,Konservative,70
Rosa Mørch Jørgensen,R,69
Sigurd Hebo Lønholdt,Konservative,69
Torben Skytte Raahede,Venstre,68
Anders Løve Kyhl,Konservative,67
Jesper Pedersen,Dansk Folkeparti,67
Christoffer Rosenkrands,Socialdemokratiet,64
Joakim Lindahl,SF,62
Susanne Møller,Konservative,62
Edith Chenga Chamwi,Socialdemokratiet,61
Nico Blier-Silvestri,Moderaterne,61
Tobias Zimling,SF,60
Anahita Malakians,D,58
Jonas Bøssing Nielsen,Venstre,56
Kirsten Bjerregaard Kristiansen,Konservative,55
Chanett Nguyen,Frie Grønne,54
Asger Hagelund,Moderaterne,52
Line Kjær Christensen,Socialdemokratiet,50
Laura Hjarvard Raaschou,Frie Grønne,49
Jens Fisker Carlsbæk,Socialdemokratiet,48
Malue Henriksen,Venstre,47
Jóhannes Miðskarð,Venstre,47
Bess Serner-Pedersen,Kristendemokraterne,46
Lave Knud Broch,N,45
Martin Kjærulff,Alternativet,44
Ivan Hemmingsen,Dansk Folkeparti,43
Anders Axelsen,Moderaterne,42
Lauritz Ziethen,Socialdemokratiet,42
Asbjørn Meier,Venstre,42
Terese Vangstrup,T,42
Morten Bering,SF,41
Rikke G. F. Carlsson,P,41
Thor Lykke Sørensen,Konservative,40
Thomas Bak,Venstre,39
Hellen Hedemann,SF,39
Gitte Kristensen,Socialdemokratiet,39
Peder Holk Svendsen,SF,39
Brian O'Brien Grønvold,R,38
Dorthe Beck-Nyling,Moderaterne,37
Jens Kier,Liberal Alliance,36
Kirsten Berthelsen,Dansk Folkeparti,36
David Grolin Kristensen,Konservative,36
Johannes Erfurth,Alternativet,35
Peter Bisgaard,Konservative,34
Michaell Ravn,N,33
Tim Hvolgaard,Konservative,31
Bjarne Sinkjær,T,31
Rasmus Toftholm,Socialdemokratiet,31
Simone Pi Wagner Christensen,Dansk Folkeparti,30
Dan Pedersen,Konservative,30
Elias Haack,R,29
Emery Karatasi,Socialdemokratiet,29
John Michael Jensen,Liberal Alliance,27
Carsten Abildtrup Ranum,Liberal Alliance,27
Oksana Gjermstad,Venstre,27
Johan Alsøe,Venstre,26
Birgitte Langballe,SF,26
Kim Christensen,Socialdemokratiet,26
Kris Rønne,R,25
Stig Jørgensen,Z,25
Anette Thaulow,U,25
