kandidat,parti,stemmer
Sisse Marie Welling,SF,307
Jakob Næsager,Konservative,304
Line Barfod,Enhedslisten,266
Pernille Rosenkrantz-Theil,Socialdemokratiet,221
Mikkel Bjørn,Dansk Folkeparti,122
Christopher Røhl,Radikale,100
Karoline Lindgaard,Alternativet,93
Andreas Keil,Socialdemokratiet,88
Alexander Ryle,Liberal Alliance,87
Lars Aslan Rasmussen,Socialdemokratiet,75
Kristine Ammitzbøll-Bille,Radikale,59
Shukri Hamda Dol,Enhedslisten,53
Jens-Kristian Lütken,Venstre,51
Astrid Aller,SF,49
Sikandar Siddique,Frie Grønne,46
Louise Theilade Thomsen,Venstre,45
Stig Ekman,Socialdemokratiet,45
Helle Bonnesen,Konservative,44
Jakob Skyggebjerg,Radikale,36
Signe Bøgevald,Liberal Alliance,32
Luna Solhave,Venstre,32
Mads Mikkel Dragholt,SF,24
Casper Øhlers,Konservative,24
Emma Bach,Enhedslisten,24
Mette Reissmann,Socialdemokratiet,23
Karina Vestergård Madsen,Enhedslisten,23
Line Ervolder,Konservative,23
Absalon Billehøj,Enhedslisten,23
Birgitte Kehler Holst,Alternativet,22
Emil Moselund,Radikale,22
Mathilde Kastbjerg,Konservative,22
Ellen Emilie,Moderaterne,22
Niels Peder Ravn,Konservative,20
Klaus Mygind,SF,19
Ulla Krag,Socialdemokratiet,18
Kashif Ahmad,Radikale,18
Maria Sofie Petersen,Enhedslisten,18
Frederikke Alban,Radikale,18
Sonja Agerbæk,SF,18
Gorm Anker Gunnarsen,Enhedslisten,18
Jonas Heidari,Enhedslisten,18
Kristina Westerberg Thomsen,Radikale,17
Rasmus Steenberger,SF,17
Morten Melchiors,Konservative,16
Kim Mandix,Radikale,16
Søren B. Scott,Alternativet,16
Charlotte Lund,Enhedslisten,15
Joanne Bywater,Liberal Alliance,15
Klaus Goldschmidt Henriksen,Enhedslisten,15
Jiesper Tristan Pedersen,Alternativet,13
Cille Egholm,Venstre,13
Mads Hvid,SF,12
Mikkel Skovgaard,Enhedslisten,12
Amran Daahir Hassan,Enhedslisten,12
Stine Finné Toft,Enhedslisten,11
Sara Julie Sørensen,Radikale,11
Emil Sloth,Alternativet,11
Charlotte Frejlev,Liberal Alliance,11
Kåre Traberg Smidt,Venstre,11
Laura Rosenvinge,Socialdemokratiet,11
Thomas Markmann,Radikale,10
Lasse Mandal,Liberal Alliance,10
Rajesh Holmen,Frie Grønne,10
Yildiz Akdogan,Socialdemokratiet,10
Marianne Moegreen,Venstre,10
Christian Ingemann,SF,10
Asham Agha Nadeem,Frie Grønne,10
Maria Kornbek,Socialdemokratiet,10
Susanne Wad Leth,Radikale,9
Ella Wiberg,Enhedslisten,9
Rasmus Bjergegaard,Konservative,9
Irina Frost,SF,9
Yilmaz Yildiz,SF,9
Elise Bjerkrheim,Frie Grønne,8
Mads S. B. Pedersen,Socialdemokratiet,8
Torben Guldbæk,Liberal Alliance,8
Jakob Hougaard,Socialdemokratiet,8
Ane Storm,Venstre,8
Helene Fagerhøj,Konservative,8
Jakob Thiemann,Socialdemokratiet,7
Anahita Malakians,D,7
Laura Emilie Fabricius-Lauritzen,Liberal Alliance,7
Christian Bülow,Dansk Folkeparti,7
Knud Holt Nielsen,Enhedslisten,7
Günay Usta,Enhedslisten,7
"Troels Chr. Jakobsen, Brønshøj",T,7
Martin Sibast,Danmarksdemokraterne,6
Thomas Hovard,Liberal Alliance,6
Cecilie Iwang,Konservative,6
Asbjørn Reissmann,Socialdemokratiet,6
Andreas Raben,Moderaterne,6
Kasper Cederholm,Danmarksdemokraterne,6
Rune Palm,SF,6
Frederik Kronborg,Enhedslisten,6
Anders Fausbøll,Venstre,6
Torben Skytte Raahede,Venstre,6
Heidi Wang,Venstre,6
"Anders Stjernholm, Christianshavn",T,6
Tobias Zimling,SF,6
Maria Frej,SF,6
Hari Neupane,Socialdemokratiet,6
Kim Laursen,Moderaterne,6
Lars Vestergaard,Dansk Folkeparti,6
Karoline Vind,SF,5
Jonas Manthey Olsen,Socialdemokratiet,5
Asger Hagelund,Moderaterne,5
Ole Normann Buch,Konservative,5
Ida Theodora Wolf Berendsen,SF,5
Helle Stolberg,Socialdemokratiet,5
Sidsel Boertmann Brüel,Enhedslisten,5
Claus Buch,Venstre,5
Lone Kathrine Pedersen,SF,5
"Rosa Mørch Jørgensen, Sydhavn",R,5
Thomas Sichelkow,Moderaterne,5
Catharina Næsby Malkki,Alternativet,5
Allan Nyhus,Radikale,5
Mads Balslev Hansen,SF,4
Christoffer Rosenkrands,Socialdemokratiet,4
Jesper Pedersen,Dansk Folkeparti,4
Dagmar Damm,Konservative,4
Zeynep Bardakci,Venstre,4
Anders Løve Kyhl,Konservative,4
Dan Kreutzfeldt,Radikale,4
Jasmin Kaur,Frie Grønne,4
Nico Blier-Silvestri,Moderaterne,4
Sofie Amalie Elkjær,Kristendemokraterne,4
Per Fabricius Ramsing,Alternativet,4
Margot Riis,Venstre,4
Emery Karatasi,Socialdemokratiet,4
Alina Protsyk,Radikale,4
Marie Blønd,SF,4
Martin Schepelern,Radikale,4
Michaell Ravn,N,4
Ingrid Bo Rahbek,Enhedslisten,4
Jakob Ravn Karlsen,Alternativet,4
Katrine Hassenkam,Enhedslisten,3
Thomas Bak,Venstre,3
Sine Bilfeldt,P,3
Joakim Lindahl,SF,3
Stig Jørgensen,Z,3
Mathias Niebuhr,Socialdemokratiet,3
"Bjarne Sinkjær, Kongens Enghave",T,3
Pia Kolind Nielsen,Konservative,3
Thomas Egholm,Enhedslisten,3
Nikolai Ellegaard Sørensen,Konservative,3
Lauritz Ziethen,Socialdemokratiet,3
Laura Hjarvard Raaschou,Frie Grønne,3
Asbjørn Meier,Venstre,3
Kasper Stisen,Socialdemokratiet,3
Dan Pedersen,Konservative,3
Tim Hvolgaard,Konservative,3
Daniel Tomicic,Frie Grønne,3
Dorthe Beck-Nyling,Moderaterne,3
Khalid Al-Subaihi,Y,3
Ida Busk,Konservative,3
Reinout Bosch,Enhedslisten,3
"Brian O'Brien Grønvold, Amager",R,3
Peter Bisgaard,Konservative,3
Mikkel Bahl,Alternativet,3
Malte Sauerland-Paulsen,Enhedslisten,3
"Terese Vangstrup, Vesterbro",T,3
Jens Kier,Liberal Alliance,2
Oscar Ferraro,Liberal Alliance,2
Signe Vad,Frie Grønne,2
Jens Wedenborg,Konservative,2
Anette Thaulow,U,2
Edith Chenga Chamwi,Socialdemokratiet,2
Mostafa M. Zaarab,Venstre,2
Lise de Molade,Dansk Folkeparti,2
Nicklas Petterson,Venstre,2
Thomas Warburg,SF,2
Anders Axelsen,Moderaterne,2
Emilla Møller,Socialdemokratiet,2
Carsten Abildtrup Ranum,Liberal Alliance,2
"Elias Haack, Nørrebro",R,2
Jesper Housgaard,Kristendemokraterne,2
Lave Knud Broch,N,2
David Grolin Kristensen,Konservative,2
Oksana Gjermstad,Venstre,2
Lartey Lawson,Radikale,2
Rikke G. F. Carlsson,P,1
Lasse Vogel Andersen,Konservative,1
Kim Christensen,Socialdemokratiet,1
Laust Andersen,Dansk Folkeparti,1
Malue Henriksen,Venstre,1
Maria Gudme,Socialdemokratiet,1
Gitte Kristensen,Socialdemokratiet,1
Simone Pi Wagner Christensen,Dansk Folkeparti,1
Henning Schøneberg Kastbjerg,Konservative,1
"Kris Rønne, Brønshøj",R,1
Sigurd Hebo Lønholdt,Konservative,1
Thor Lykke Sørensen,Konservative,1
Simon Boje Groth,Moderaterne,1
Anna-Cecilie Mandrup,Venstre,1
Klaus Trier Tuxen,J,1
Kirsten Bjerregaard Kristiansen,Konservative,1
"Rune Jørgensen, Østerbro",R,1
Kirsten Berthelsen,Dansk Folkeparti,1
Sander Pennerup,Y,1
Claus Ljungberg Jørgensen,Venstre,1
Rashid Ali,Frie Grønne,1
Johan Alsøe,Venstre,1
Jean Thierry,Enhedslisten,1
Niels E. Bjerrum,Socialdemokratiet,1
John Michael Jensen,Liberal Alliance,1
Jonas Bøssing Nielsen,Venstre,1
"Jan Mathisen, Sydhavn",R,1
Morten Bering,SF,1
Bent Christoffersen,Venstre,1
Jan-Erik Olsen,Danmarksdemokraterne,1
Jesper Balle,L,1
Bente Møller,Enhedslisten,1
Pelle Jandrup,L,1
Peder Holk Svendsen,SF,1
Bess Serner-Pedersen,Kristendemokraterne,1
Poul R. Johansen,Liberal Alliance,1
Ivan Hemmingsen,Dansk Folkeparti,1
Preben Flemming Fogelstrøm,P,1
Jóhannes Miðskarð,Venstre,1
Mikael Freitag,Venstre,1
Andreas Petersen,Konservative,1
Susanne Møller,Konservative,0
"Tobias Gregory, Nørrebro",T,0
