kandidat,parti,stemmer
Michael Vindfeldt,Socialdemokratiet,6550
Michael Brautsch,Konservative,4785
Jan E. Jørgensen,Venstre,1695
Lone Loklindt,Radikale,1548
Laura Lindahl,Konservative,1457
Rosa Agersnap Bone,Enhedslisten,1423
Freja Fokdal,Radikale,1294
Lotte Kofoed,SF,1216
Nikolaj Bøgh,Konservative,1070
Brian Holm,Konservative,844
Rasmus Holme,Enhedslisten,838
Anders Storgaard,Konservative,717
Bianca Vitting,Enhedslisten,659
Alexandra Dessoy,Konservative,619
Isabel Havndrup Aackmann,Radikale,587
Pil Yildiz,Enhedslisten,525
Sine Heltberg,Socialdemokratiet,509
Merete Winther Hildebrandt,Konservative,508
Carina Høedt,Konservative,455
Fasael Rehman,Konservative,443
Malte Mathies Løcke,Socialdemokratiet,406
Lars Berg Andersen,Liberal Alliance,389
Mette Bram,Alternativet,359
Emil Samaras,Enhedslisten,345
Christina Sylvest-Noer,Socialdemokratiet,339
Michella Lescher,SF,335
August Gade,SF,321
Ane Rolsted,Konservative,318
Claus Wagenblast-Franck,Konservative,307
Caspar Stefani,Konservative,300
Maj-Britt Mathiesen,Konservative,270
Helle Sjelle,Moderaterne,269
Kristoffer Appel,Socialdemokratiet,253
Bjarne Henriksen,Socialdemokratiet,253
Jacob Rosenberg,Konservative,245
Malene Sandfeld,Venstre,241
Henrik Kragelund,Konservative,216
Else Marie Thorgaard,Konservative,204
Sofie Kümpel,Socialdemokratiet,193
Mia Haugaard,Enhedslisten,187
Palle Bisgaard,Enhedslisten,183
Jimmy Streit,Konservative,179
Kim Christiansen,Socialdemokratiet,173
Britt Dam,Socialdemokratiet,172
Christine Jørnø Vestergaard,Socialdemokratiet,167
Karsten Lauritsen,Radikale,146
Nikolaj Rachdi Bührmann,SF,145
Frederik Tuxen Bjerrum,Liberal Alliance,144
Klaus Eskelund,Konservative,139
Rikke Alice Bille,Radikale,138
Casper Pedersen,Venstre,136
Søren Dahlstrøm,Socialdemokratiet,133
Thomas Frank,Socialdemokratiet,129
Tone Høybye,Enhedslisten,129
Kim Hjerrild,Alternativet,128
Susanne Nørlund Munk,Socialdemokratiet,125
Malou Astrup,Socialdemokratiet,123
Nikoline Ida Christiansen,Konservative,118
Jakob Ørsted,Enhedslisten,116
Cecilie Fisker,Moderaterne,114
Bitten Vivi Jensen,J,112
Nina Wendt,SF,109
Else Guldager,Enhedslisten,109
Matthew Dawids,Dansk Folkeparti,106
Rie Jakobsen,Konservative,103
Tina Jacobsen,Konservative,98
Rune Rummel,Socialdemokratiet,98
Vibeke Westh,Socialdemokratiet,98
Joseph Favilla,Liberal Alliance,92
Rami Zouzou,Konservative,90
Janek Balling Majewicz,Socialdemokratiet,87
Tim Wodskou,Alternativet,83
