kandidat,parti,stemmer
Jesper Würtzen,Socialdemokratiet,4502
Michael Jensen,Dansk Folkeparti,795
Simon Knudstrup,SF,711
Anja Bihl-Nielsen,SF,574
Stine Rahbek Pedersen,Enhedslisten,518
Hella Hardø Tiedemann,Socialdemokratiet,440
Mikael Wandel,Venstre,428
Lars Green Bach,Radikale,405
Taner Genc,SF,404
Allan Kristensen,Konservative,399
Johannes Grand,Liberal Alliance,363
Lolan Ottesen,Socialdemokratiet,352
Charlotte Holtermann,Socialdemokratiet,342
Amalie Svarre,Liberal Alliance,314
Karsten Kriegel,Konservative,301
Johan S. Müller,Socialdemokratiet,298
Kristine Bugge Mellemgaard,Socialdemokratiet,282
Maria Lundahl Assov,Socialdemokratiet,234
Serhat Kücükkart,Moderaterne,229
Peter Als,Socialdemokratiet,208
Zishan Ali,Moderaterne,206
Ali Abbasi,Enhedslisten,196
Morten Andersson,Socialdemokratiet,195
Renée Mamsen-Svarter,Liberal Alliance,189
Anja Holtze,Socialdemokratiet,175
Jette Meinertz,Dansk Folkeparti,172
Özcan Kizilkaya,Socialdemokratiet,170
Simon Krabbe,Konservative,168
Per Mortensen,Socialdemokratiet,166
Louise Mathiasen,Enhedslisten,154
Irem Ulusoy,Socialdemokratiet,144
Jacob Wøhler Jørgensen,Venstre,131
Patrick Witting,Dansk Folkeparti,124
Kasper Halling,Radikale,123
Niklas Haapanen,Konservative,121
Nicolas Almann Olsen,Socialdemokratiet,121
Drago Savovic',E,119
Christell Erichsen,Radikale,116
Musa Kekec,Socialdemokratiet,115
Miasser Hawwa,Radikale,114
Tobias Nyegaard Jelkær Larsen,Enhedslisten,113
Sanne Fandrup,Radikale,106
André Amingsø,D,104
Erling Andersen,Socialdemokratiet,103
Sussie Wandel,Venstre,97
Morten Løgager,Konservative,96
Emil Stokkebæk Andersen,Radikale,91
Karin Traun,Radikale,80
Peter Stig Andersen,SF,79
Michael Witthaus Berthelsen,D,75
Annette Randløv,Radikale,67
Nina Skaarup,Venstre,61
Miklas Hansen Ladegaard,Socialdemokratiet,61
Knud Bruun Poulsen,Liberal Alliance,58
Karina Holst,Moderaterne,58
Birthe Jonsson,Dansk Folkeparti,58
Kate Svarrer,Radikale,57
Dennis Sørensen,SF,57
Susanne Dahl,Dansk Folkeparti,56
Kevin Kiilerich,Socialdemokratiet,55
Martin Høyer Rasmussen,Socialdemokratiet,52
Gitte Boffy Lillelund,SF,47
Michael Brønd,Socialdemokratiet,44
Lars Vistrup Skov,Radikale,41
Kim Nielsen,Moderaterne,40
Niels Egede Olsen,Venstre,37
John Slater,Socialdemokratiet,35
Birte Kramhøft,SF,34
Toni Hindsgaul Madsen,Moderaterne,33
Christian Skjæran,Venstre,32
Harry Andresen,Dansk Folkeparti,28
Ulrik Falk-Sørensen,SF,28
Liselotte Bentien Levisen,E,27
Sonja Weihe,Venstre,22
Peter Schou,Socialdemokratiet,21
Asger Jung Laursen,Radikale,18
Ole Bakkestrøm,E,17
Ulrik Tingstrup,Radikale,17
Jeanette Jacobsen,E,15
Lise-Lotte Nielsen,E,14
Kjeld Winkler Neuman,Konservative,13
Carina Yde,Radikale,12
Niels Overgaard,SF,10
Thorkild Krejberg,SF,9
Marie Kielberg-Bæk,Venstre,9
Bente Bjørklund,Venstre,9
Nicolai Molin,Moderaterne,8
Henrik Vejgaard,Venstre,6
Timm Larsen,SF,3
Jeanne Jensen,E,1
