kandidat,parti,stemmer
Vivi Nør Jacobsen,SF,1160
Steen Christiansen,Socialdemokratiet,839
Signe Hagel Andersen,Socialdemokratiet,464
Muzafar Ahmed,Radikale,432
Lars Gravgaard Hansen,Konservative,428
Dogan Polat,Socialdemokratiet,374
Hediye Temiz,Radikale,349
Akhlaq Ahmad,Socialdemokratiet,344
Michael Melchert,Liberal Alliance,276
Mikkel Skovby,L,270
Tina B. Nielsen,Dansk Folkeparti,245
Paw Østergaard Jensen,Socialdemokratiet,241
Helge Bo Jensen,Enhedslisten,234
Camilla Rubner Lerking,SF,228
Nils Jul Gjerlev,Konservative,216
Kristoffer Larsen,Dansk Folkeparti,211
Resul Kücükakin,SF,208
Tina Graugaard,Konservative,169
Ulla Nielsen,Socialdemokratiet,159
Hakan Bascoban Grøn,L,138
Billal Zahoor,Konservative,128
Claus Rasmussen,Venstre,127
Julie Krogh,Socialdemokratiet,122
Tina Messaoudi,SF,113
Bodil Marie Garde,Enhedslisten,105
Birgit Hauer,T,103
Osman Öcal,Enhedslisten,102
Nicolaj Brasgaard,Enhedslisten,100
Emil Ottesen,L,98
Flemming Jørgensen,Socialdemokratiet,97
Julie Marie Larsen,Socialdemokratiet,90
Fedai Celim,Enhedslisten,73
Lars Nexø,SF,68
Rumle Lynard-Weltz,Venstre,62
Wakas Mehmood,Radikale,59
Michael Jonasen,SF,59
Jenny Kirsten Bedzeti,L,58
Rukhsana Ali,Socialdemokratiet,55
Adnan Ali Amin,Socialdemokratiet,54
Jeppe Milthers,Enhedslisten,54
René Løfqvist,Socialdemokratiet,53
Jeanne Nordstrøm,Konservative,49
Morten Loof Andersen,Radikale,42
Rashid Kestey,Socialdemokratiet,38
Astrid Frøland,Liberal Alliance,37
Edibe Baran,Enhedslisten,33
Iben Balslev,L,31
Inge Dahn,SF,28
John Bodholdt Nielsen,Dansk Folkeparti,25
Henrik Steen Kademann,Liberal Alliance,23
Thomas Hørby,Venstre,23
Judithe Nielsen,Socialdemokratiet,23
Brian René Pedersen,Konservative,23
Lars A. Clark,Socialdemokratiet,22
Ebbe Rand Jørgensen,Enhedslisten,22
Necdet Gökce,Enhedslisten,21
Ida Ottesen,L,19
Ulla Elsted Jensen,Enhedslisten,18
Jette Sauer,SF,17
Kira Kruse Willmarst,Konservative,17
Lars Bremer,Enhedslisten,17
Karen Tobisch,SF,16
Henrik Hertz,Konservative,15
Brian Palmund,Venstre,15
Magnus Rasmussen,Venstre,13
Kim Bonnesen,Konservative,12
Kirsten Severin Pedersen,Konservative,12
Lone Helmstedt,Enhedslisten,11
Kalle Jensen,Socialdemokratiet,11
Øyvind B. Fabricius Holm,Venstre,9
Lene Dræbye,Radikale,7
Susanne Blomsterberg,Venstre,7
Lars Nitschke Madsen,SF,5
Jørgen S. Andersen,SF,5
Rune Buhl Frederiksen,Venstre,4
Ole Golbert,Radikale,2
