kandidat,parti,stemmer
Michael Ziegler,Konservative,3864
Peter Faarbæk,Socialdemokratiet,709
Lars Prier,Dansk Folkeparti,501
Julie Tyle Pedersen,SF,333
Hugo Hammel,Socialdemokratiet,317
Esat Senturk,Radikale,305
Anne Mette Bak,Socialdemokratiet,291
Nadeem Farooq,Radikale,280
Thomas Bak,Socialdemokratiet,280
Thomas Radtleff,Konservative,216
Toke Elling,Konservative,206
Kurt Scheelsbeck,Konservative,200
Lisbeth Kjærholt,Venstre,200
Ikram Safi,Radikale,198
Nina Strøm Tønnes,Socialdemokratiet,188
Henrik Torning,Konservative,175
Emil Viskum,Enhedslisten,169
Tobias Harpsøe,SF,161
Simon Bøtkjær Nielsen,Konservative,158
Mikael Emanuel,Konservative,144
Jeanette Ingemann,Konservative,132
Sidse Gry Jeppesen,Enhedslisten,123
Oguzcan Yüksel,Socialdemokratiet,115
Marjan Ganjjou,Konservative,102
Erik Mørch,Dansk Folkeparti,93
Maj-Britt Hartvig,Konservative,88
Melis Aydin,Konservative,83
Otto Asbjørn Rasmussen,Socialdemokratiet,79
Nicki Wassmann Brøchner,Liberal Alliance,76
Ken Patrick Petersson,SF,75
Dogan Durukan,SF,70
Ann-Kathrine Sørensen,Konservative,69
Casper Dahl Stenfelt,Socialdemokratiet,62
Sarfraz Ashraf,Frie Grønne,62
Line Christoffersen,Moderaterne,59
Ahmet Kücük,Enhedslisten,57
Conny Trøjborg Krogh,SF,57
Stine Klok,Enhedslisten,54
Turan Akbulut,Konservative,54
Katrine Nygaard Hartvig,Konservative,52
Else Stokholm,Dansk Folkeparti,49
Malene Thackrah,Socialdemokratiet,47
Mette Gagner,SF,46
Asger Birk Jensen,Socialdemokratiet,46
Maria Rubin Nicolajsen,Radikale,44
Rasmus Varnich Blumensaat,Enhedslisten,39
Flemming Hansen,Dansk Folkeparti,37
Trine Jeppesen,Enhedslisten,36
Steffen Larsen,Socialdemokratiet,29
Vivi Holt,Konservative,27
Peder Helt,Moderaterne,26
Jamal Mahjoub,Radikale,24
Rejan Azad,Konservative,21
Lene Breuning,Dansk Folkeparti,21
René Arnt,Moderaterne,20
Ibrahim El-Khatib,Radikale,18
Hans-Henrik Høg,Enhedslisten,17
Henrik Pangel,Dansk Folkeparti,17
Mimi Nguyen,Konservative,17
Frederik Lauenborg Johnsen,Liberal Alliance,16
Poul Bonderup,Venstre,16
Stefan Ørsted Petersen,Socialdemokratiet,13
Kjeld Espersen,Radikale,12
Halil Kara,Enhedslisten,11
Karsten Toksvig,Venstre,10
Preben Bjørn Madsen,Enhedslisten,9
Finn Søder,Konservative,9
Tina Løyche,Venstre,8
Maria Gullestrup,Radikale,7
Allan Bolvig,Dansk Folkeparti,5
Michael Naurbjerg,Radikale,4
Lone Simonsen,Konservative,4
Jørgen Jensen,SF,3
Michael Frandsen,Venstre,3
Irene Ottesen,Konservative,3
Morten Hoffmann-Timmol,Venstre,1
Frede Nilsson,Enhedslisten,0
Andreas Winther Hvilsom,Enhedslisten,0
