kandidat,parti,stemmer
Britt Jensen,Socialdemokratiet,168
Necla Baran,Enhedslisten,67
Ahmed Huseen Dhaqane,Socialdemokratiet,38
Kim Hammer,Dansk Folkeparti,37
Birgitte Glifberg,Socialdemokratiet,22
Kenneth Rasmussen,SF,20
Saime Bilen,Enhedslisten,14
Martin Rosenkrantz,SF,13
Peter Mikkelsen,Enhedslisten,12
Maria Grøndahl,SF,11
Pia Hess Larsen,Socialdemokratiet,10
Vibeke Kold,Enhedslisten,9
Kim Drejer Nielsen,Konservative,9
Niklas Kjærulff,Danmarksdemokraterne,7
Jakob Vest Berntsen,Radikale,7
Jesper Clausson,Socialdemokratiet,7
Ilias Berrhili,Enhedslisten,6
Sidsel Stoustrup,Enhedslisten,6
Kit Svendsen,Moderaterne,6
Flemming Lunde Østergaard Hansen,Socialdemokratiet,6
Julie Korfitsen Weinholt,Liberal Alliance,6
Anette Rachlitz,Socialdemokratiet,6
Frederik Strandberg-Nilsson,SF,6
Frederik Lau Petersen,Moderaterne,6
Jan Kongebro,Socialdemokratiet,5
Per Brun,Dansk Folkeparti,5
Peter Lund Sørensen,Konservative,5
Ingrid Lang Pedersen,Kristendemokraterne,5
Lene Due,Socialdemokratiet,5
Lars Bæk,SF,5
Kirsten Aalling,Radikale,5
Lone Henriksen,SF,4
Morten Thoregaard,Konservative,4
Lukas Skjalm Lissner,Enhedslisten,3
Signe Bergmann,SF,3
Jens Damgaard Gøtzsche,Konservative,3
Johnnie Gregersen,Kristendemokraterne,3
Marianne Christensen,Enhedslisten,3
Jette Louise Larsen,Konservative,3
Kim Schwartz Andersen,Konservative,3
Karina Kjærulff Sørensen,Socialdemokratiet,3
Muhamed Halili,Konservative,3
Torben Holmberg,Dansk Folkeparti,3
Karin Frøidt,Venstre,3
Karen Cornelia Bjørling-Poulsen,SF,3
"M. Simoni, Rødovre",L,2
Jens Erik Mejlsbye,Konservative,2
Tina Hippe Hansen,Konservative,2
Lars Glade,Liberal Alliance,2
Hermod Ringgaard-Christensen,Socialdemokratiet,2
Helle Schütt Larsen,Kristendemokraterne,2
Mikkel Lau Petersen,Liberal Alliance,2
Mikkel Molin,Venstre,2
Torben Petersen,SF,1
Birgitte Wesch,Venstre,1
Elias Engel-Andreasen,Socialdemokratiet,1
Emma Cornelia Bjørling-Poulsen,SF,1
Injam Khokhar,Moderaterne,1
Bent Borgfjord,Dansk Folkeparti,1
Henrik Weinholt,Liberal Alliance,0
Benjamin Fick,Moderaterne,0
Iben Rude,Konservative,0
Michael Boll Jensen,Konservative,0
Peder Toftgård,Venstre,0
Per Bergmann,SF,0
Terkel Kragh Leth,Socialdemokratiet,0
Janne Molin,Venstre,0
Søren Østergaard,SF,0
Kenneth Finsen,Konservative,0
Kim Neve,Socialdemokratiet,0
Ken Remontius,Liberal Alliance,0
Karen Paldrup,SF,0
