kandidat,parti,stemmer
Benedikte Kiær,Konservative,4320
Thomas Horn,Socialdemokratiet,2713
Noah James Donkin,SF,1033
Ulla Kokfelt,Dansk Folkeparti,807
Mette Lene Jensen,Venstre,737
Marlene Harpsøe,Danmarksdemokraterne,732
Emilie Schumacher,Enhedslisten,716
Stine Eising,Liberal Alliance,669
Bente Borg Donkin,SF,642
Birgitte Bergman,Konservative,603
Bergur Løkke Rasmussen,Moderaterne,562
Malthe Jacobsen,Enhedslisten,561
Silas Drejer,Socialdemokratiet,556
Michael Mathiesen,Konservative,519
Marianne Victor Hansen,SF,451
Thorbjørn Larsen,SF,403
Jens Bertram,Konservative,388
Betina Svinggaard,Socialdemokratiet,381
Kasper Hovgaard,Konservative,359
Knud Mogensen,Radikale,345
Menderes Acikel,Socialdemokratiet,306
Lene Lindberg,Socialdemokratiet,298
Janus Kyhl,Konservative,292
Harun Avdal,Socialdemokratiet,276
Duygu A. Ngotho,Socialdemokratiet,251
Gert Dyekjær,Konservative,244
Peter Poulsen,Socialdemokratiet,236
Allan Berg Mortensen,Enhedslisten,234
Daniel Boalth Petersen,Socialdemokratiet,232
Michael Lagoni,Konservative,228
Knud Vinther Hansen,Konservative,218
Carl Emil Møgelvang Nielsen,Moderaterne,216
Steen Boldsen,Konservative,216
Vibeke Knudsen,Konservative,215
Per Olsen,Dansk Folkeparti,213
René Spange,Danmarksdemokraterne,210
Daniel Melgaard Jacobsen,Konservative,195
Morten Westergaard,Venstre,194
Claus Christoffersen,Socialdemokratiet,194
Rasmus Melgaard,L,191
Christian Weichel,Konservative,188
Sarah Guldborg,Konservative,172
Merete Svalgaard Knuhtsen,Radikale,157
Michael Dam,L,139
Jørgen Bodilsen,Enhedslisten,134
Morten Greve,Alternativet,132
Bjørn Cronquist,Liberal Alliance,130
Claus Birkelyng,Konservative,127
Anje Holmstad,Socialdemokratiet,124
Birgit Mørup,Radikale,118
Salik Anders Rosing,Alternativet,118
Lars Lindgaard-Jensen,Radikale,117
Lasse Dahlberg,Konservative,117
Annette Steglich-Petersen,Radikale,104
Kasper Heebøll Harboe,Liberal Alliance,100
Michael Høy Nedergaard,Socialdemokratiet,86
Frederik Müller,L,82
Annette Frøhling,Enhedslisten,80
Niels Mørup,SF,79
Nicholas Just Villadsen,Liberal Alliance,77
Henrik Vang,Venstre,77
Kristina Kongsted,Venstre,76
Rolf Westphal Eriksen,Kristendemokraterne,76
Mads Jessen Jensen,Venstre,69
Martin Thor Pedersen,Socialdemokratiet,68
Louise Gøtterup,Moderaterne,66
Kira Danholm,Liberal Alliance,64
Max Tranebæk,Dansk Folkeparti,64
Thomas Kok,Moderaterne,58
René Schibler,Konservative,53
Thomas Schelde Pedersen,Venstre,52
Dan Zaklikowesky,Alternativet,47
Hanne Jakobsen,Radikale,46
Søren Klem,Moderaterne,40
Birgitte Milling,E,40
Richard O'Dwyer,Socialdemokratiet,40
Mads Lundby,Radikale,40
Hakon Fynbo,Danmarksdemokraterne,39
Kim Bruhn,Radikale,36
Johannes Joyce,Liberal Alliance,34
Victor Lindberg,Venstre,34
Simone Spånberg,Moderaterne,33
Padideh Haghi,L,32
Anders Taarnby Thomsen,Enhedslisten,30
Kristian Marker Frederiksen,L,30
Susanne Dyhrberg,Konservative,29
Nicklas Møller Danholm,Liberal Alliance,27
Jørgen Busch Christensen,L,25
Tomas Jacoby,T,19
Bent Elling,Socialdemokratiet,19
Karin Andersen,Venstre,19
Stefan Warburg,Y,17
Klaus Kesje,Konservative,16
Marcus Sabri,Moderaterne,15
Jeanne Hedin,L,14
Thomas Hjalmar,Socialdemokratiet,11
Marcus Andersen,L,9
Kirsten Marie Colding,Venstre,9
Cecilie C. Espensen,T,7
Søren Reinhardt Poulsen,Konservative,5
Mikael Heibrock Sørensen,Venstre,5
Mikkel Munk Plum,T,5
René Jakobsen,T,4
Claus Helge Nielsen,Liberal Alliance,2
Casper Bech,L,2
Freddy Jensen,Venstre,1
Lars Andersen,L,1
Frederik Eriksen,T,0
Betiel Meconnen,L,0
