kandidat,parti,stemmer
Jens Kloppenborg,Venstre,2502
"Ann Sofie Orth, Holte",Konservative,2025
"Christoffer Buster Reinhardt, Holte",Konservative,1464
Randi Mondorf,Venstre,756
"Nicola Emily Larsen, Birkerød",Konservative,751
"Freja Eva Lockenwitz, Gl. Holte",Radikale,677
"Christoffer Emil Jexen, Birkerød",Enhedslisten,670
"Court Møller, Birkerød",Radikale,665
Khaled Mustapha,L,617
"Lars Høyer Holmqvist, Ubberød - Brådebæk",Liberal Alliance,613
Julie Quass,Venstre,579
"Anette Maj Billesbølle, Holte",Socialdemokratiet,544
Dorte Nørbo,SF,537
"Anders Nim, Søllerød",Liberal Alliance,485
Anne Christiansen,L,456
"Amalie Heegaard, Bistrup",Radikale,453
"Alexander Friborg, Nærum",Konservative,449
"Jacob Netteberg, Birkerød",Radikale,406
"Mette Stenby Andresen, Birkerød",Radikale,392
"Mette Carstensen, Trørød",Konservative,361
"Knud Skadborg, Birkerød",Konservative,358
"Anja Christine Røgind, Vedbæk",Liberal Alliance,355
Malene Barkhus,Venstre,336
Søren Hyldgaard,Moderaterne,320
Jan Erik Messmann,Dansk Folkeparti,311
Per Carøe,Venstre,277
"Martin Barfoed, Vedbæk",Konservative,270
Martin Rosenkilde,SF,260
"Thomas Les Rasmussen, Nærum",Socialdemokratiet,258
"Morten Rønager, Nærum",Liberal Alliance,257
"Signe Meyer, Birkerød",Enhedslisten,195
Anders Modey,Venstre,186
"Morten Jarlbæk Pedersen, Nærum",Konservative,179
"Aleksandra Maria Spangsege, Nærum",Enhedslisten,174
"Lars Gissel, Vedbæk",Enhedslisten,161
Morten Noppenau,L,141
"Toke Thaarup Elmøe, Holte",Liberal Alliance,137
"Heidi Falden, Birkerød",Socialdemokratiet,134
"Christian Fink Elkjær, Birkerød",Radikale,132
Ulla Thillerup,Venstre,120
"Claus Larsen, Vedbæk",Konservative,113
"Mia Østergaard, Holte",Enhedslisten,108
"Morten Buchwald, Sandbjerg",Liberal Alliance,107
Rasmus Maglekilde-Micheelsen,Dansk Folkeparti,103
"Søren Rye, Birkerød",Socialdemokratiet,102
Charlotte Antonsen,Venstre,100
"Carsten Winther, Trørød",Konservative,99
Jesper Winther Andersen,Venstre,97
"Alexander Baadh, Trørød",Socialdemokratiet,92
"Jesper Trommer Volf, Holte",Liberal Alliance,90
"Lars V. Søndergaard-Nielsen, Birkerød",Konservative,88
"Kristoffer Boye Astrup, Nærum",Radikale,86
"Erik Eugen Olsen, Birkerød",Socialdemokratiet,82
Mette Munck,Moderaterne,82
"Frederik Roose Øvlisen, Trørød",Konservative,80
"Elena Markova, Trørød",Konservative,71
Flemming Scheel,Venstre,65
"Anne Vinther Schmidt, Vedbæk",Konservative,63
Kurt Petersen,SF,63
"Josephine Bentsen, Vedbæk",Enhedslisten,60
"Lene Juhl Stener, Holte",Konservative,60
Luc de Visme,L,58
"Lene K. Nielsen, Birkerød",Alternativet,51
Asger Ahn,SF,48
Sanna Lund,L,48
"Mark Hein, Birkerød",Radikale,47
Birgitte Højer Poulsen,SF,47
"Jeanett Debb, Skodsborg",Konservative,45
"Alice Rudkjær, Bistrup",Socialdemokratiet,45
"Thea Hirsch, Trørød",Enhedslisten,45
Henrik Herman,Moderaterne,43
"Gitte D'Arcy, Birkerød",Konservative,42
"Sirenetta Poulsen, Trørød",Konservative,41
"Henrik Skou Hansen, Gl. Holte",Konservative,40
"Conny Birkholm, Bistrup",Konservative,40
"Maya Maria Raunsholt, Øverød",Alternativet,40
"Eric Beran, Bistrup",Konservative,40
"Elisabeth Ildal, Holte",Konservative,39
Lars Kristensen,Venstre,36
"Anne D. Manniche, Holte",Radikale,35
Per Baar Kæseler,SF,31
"Henrik Mordhorst, Holte",Konservative,31
Sven Kolstrup,Venstre,30
"Einar Bolt, Skodsborg",Konservative,29
"Christa If Jensen, Holte",Alternativet,28
"Arne C. Holm, Birkerød",Socialdemokratiet,27
"Susie O. Cowan, Birkerød",Alternativet,26
"Hanne Gerner, Nærum",Konservative,25
"Claus Hjorting, Gl. Holte",Konservative,25
Emiline Christensen,L,23
Anne Udsholt,SF,22
Peter Johansen,Moderaterne,21
Susanne Bartholdy,Moderaterne,19
Ulrik Iversen,Venstre,18
Peter Borresen,Venstre,16
Niels Jarnø Johansen,Venstre,16
"Henrik Fænøe, Nærum",Radikale,15
"Vibeke Baden Laursen, Skodsborg",Enhedslisten,15
"Sebastian Pawlak-Friis, Trørød",Enhedslisten,14
Mogens Wolf Johansen,L,13
"Niels Christian Toft, Gl. Holte",Enhedslisten,10
Rasmus Petersen,SF,8
Claus Ladefoged,Moderaterne,7
Torben Møller Wad Nørgaard,Moderaterne,3
Annette Hansen,Moderaterne,3
Mikael Munk,Moderaterne,1
David Rosenstrøm,Moderaterne,1
