kandidat,parti,stemmer
Steffen Jensen,Socialdemokratiet,3468
"Anja Rosengreen, Hundested",SF,859
Anton Lykke Jensen,Socialdemokratiet,705
Michael Thomsen,Venstre,659
Frederik Germann,Konservative,652
Thue Lundgaard,Enhedslisten,417
Nanna Høyrup,Alternativet,401
Katrine Schiller,Danmarksdemokraterne,374
Thomas Møller Nielsen,Venstre,323
"Olaf Johannes Prien, Karlsgave",SF,235
Mads Vergo,Socialdemokratiet,229
"Kim Jensen, Hundested",Liberal Alliance,194
Helge Friis,Socialdemokratiet,191
Sune Raunkjær,Venstre,188
Annette Westh,Socialdemokratiet,181
Henrik Tolstrup,Socialdemokratiet,178
"Ole S. Nielsen, Evetofte",Dansk Folkeparti,169
"Ole Wedel, Hundested",Dansk Folkeparti,169
Ulrik Mainz,Danmarksdemokraterne,155
Viggo Søbjerg,Venstre,150
Matilde Ørsted,Socialdemokratiet,148
Sarah Lindemann Thøgersen,Socialdemokratiet,147
"John Nordbo, Torup",SF,116
René Hansen,Socialdemokratiet,116
"Anne-Marie Storm Pedersen, Lynæs",SF,113
Jannik Haulik Jørgensen,Socialdemokratiet,113
Kirsten Lauritsen,Socialdemokratiet,112
Tommy Frøslev,Socialdemokratiet,112
Qasam Nazir Ahmad,Alternativet,110
Lars Vestergaard Christiansen,Enhedslisten,108
Steen Hasselriis,Venstre,106
"Mie Mai Reimers Mai, Frederiksværk",Radikale,98
"Søren Hersdorf, Ølsted",Liberal Alliance,94
Bojanna Visby Jensen,Konservative,93
"Merete Rask Egholm, Ølsted",Dansk Folkeparti,92
"Victor V. Nielsen, Frederiksværk",Dansk Folkeparti,89
Angelica Pedersen,Venstre,89
Michelle Beldner,Enhedslisten,87
"Lars Bloch, Frederiksværk",Moderaterne,86
Kim Daugbjerg,Socialdemokratiet,84
Rico Sandager,Venstre,83
"Mette Askov, Frederiksværk",SF,82
Majbritt Horsholm,Enhedslisten,80
"Lars Stegman, Hundested",Moderaterne,76
"Peter Nørris Dalsgaard, Frederiksværk",Liberal Alliance,75
"Magnus Dræby, Hundested",Radikale,73
Bitten Jørgensen,Venstre,69
Susan Eirfeldt,Venstre,67
"Timo Jattu, Hundested",R,60
"Andreas Herfelt, Tømmerup",SF,50
Mariane Lunden,Alternativet,43
Michael Pedersen,Enhedslisten,42
Michael Schmidt,Socialdemokratiet,42
"Anita Bager, Hundested",SF,36
Ida Jensen,Konservative,34
Niels Bruun,Venstre,33
Kirsten Aunstrup,Konservative,31
Niels Møller Pedersen,Konservative,30
Sofie Faureholm Lundsberg,Alternativet,30
Steen Mikkelsen,Socialdemokratiet,28
"Ove Pedersen, Hundested",Dansk Folkeparti,26
"Peter Nilsson, Sølager",SF,21
"Jesper H. Gottlieb, Frederiksværk",Moderaterne,21
"Thomas Lind, Liseleje",Liberal Alliance,18
"Birgit Gundorph-Malling, Hundested",Radikale,16
Nicolai Leslie Ahlstrand,Socialdemokratiet,12
"Kasper Gant, Hundested",R,10
"Johan Thorup, Hundested",Liberal Alliance,9
Per Grydbæk,Konservative,7
"Erik Hauch, Hundested",Radikale,7
"Peter Zethner-Møller, Frederiksværk",Radikale,4
