kandidat,parti,stemmer
Rasmus Jarlov,Konservative,4777
Tina Boel,SF,2712
Tomas Breddam,Socialdemokratiet,2481
Jette Tjørnelund,Venstre,1624
Anna Bondo Nielsen,Enhedslisten,1565
Merete Dea Larsen,Dansk Folkeparti,1526
Signe Kaulberg,Socialdemokratiet,1264
Lars-Christian Brask,Liberal Alliance,1257
Mogens Hallager,Konservative,1071
Jacob Søegaard,Venstre,1026
Thomas Bach Jørgensen,Socialdemokratiet,773
Mette Truesen,SF,751
Victoria Helene Olsen,Konservative,732
Claus Larsen,Socialdemokratiet,619
Bent Jørgensen,Venstre,611
Jeppe Trolle,Radikale,573
Samuel Rützou,Konservative,552
Maria Kongsaa,Liberal Alliance,535
Troels Toft,Socialdemokratiet,508
Jeanne Bergmansen,SF,490
Lars Lindskov,Moderaterne,484
Yalcin Dogan,Konservative,428
Chili Preisler-Andersen,Socialdemokratiet,386
Morgan Krüger,Socialdemokratiet,375
Gitte Simoni,Socialdemokratiet,373
Jan Herskov,Dansk Folkeparti,345
Filiz Sarah Thunø,Socialdemokratiet,341
Julia Hunt,SF,317
Frank Hvid Petersen,Socialdemokratiet,302
Daniel Elmann,Liberal Alliance,295
Trine Borre,L,292
Dorthe Pagh,Socialdemokratiet,292
Kim Raben,SF,267
Peter Bager,Venstre,267
Thomas Erringsø,Liberal Alliance,264
Susanne Bech,SF,240
Karin Berg,Radikale,235
Andreas Nøhr Vestergaard,Radikale,227
Daniel Moltke-Prehn,Radikale,227
Isabella Apelroth,Alternativet,219
Nanna Feld,L,218
Jeppe Fransson,Radikale,211
Adam Ahlstrand Christensen,Enhedslisten,209
Mikkel Grøndahl,Konservative,208
Anne Marie Wulff Hedenborg,Socialdemokratiet,204
René Vejby Kierch,Socialdemokratiet,203
Lars Kruse,Dansk Folkeparti,198
Jesper Reming Tangbæk,Konservative,196
Helena Tjørnelund,Radikale,190
Amanda Frohn,SF,190
Anne Fabricius Murmann,L,186
Birgitte Baktoft,Enhedslisten,182
Bjarke Reitzel-Buchholz,Venstre,159
Kim B. Nielsen,Danmarksdemokraterne,130
Kenneth Holmen Pedersen,Konservative,130
Ane Ring Laursen,SF,124
Kirsten Krogh Petersen,Liberal Alliance,119
Jan Carlsen,Moderaterne,116
Tuncay Yilmaz,Socialdemokratiet,107
Deniz Said,Venstre,103
Samir Salameh,Socialdemokratiet,103
Steffen Dons,Dansk Folkeparti,99
Helena Elisabeth Christensen,Radikale,97
Edisa Bajtarevic,Socialdemokratiet,97
Danny Nielsen,Enhedslisten,95
Anna Peuliche Vogelsang,Moderaterne,93
Hellen Hilander,SF,90
Kristopher Sørensen,Moderaterne,89
Cita Iskov Nielsen,SF,89
Martin Reetz Kæmsgaard,SF,86
Gitte Møller,Moderaterne,83
Kim Elmose,SF,83
Jens Müller,Moderaterne,82
Paul Thalund,Konservative,79
Nicolai Bach-Pedersen,Liberal Alliance,77
Pierre Kary,Konservative,76
Ellie Rank Sabransky,Enhedslisten,73
Ina Lykke Jensen,Radikale,73
Laura Borre,L,73
Xenia Anderson,Enhedslisten,70
Marie Dam,Venstre,70
Bo H. Jensen,L,68
Trine Hallager Brix,Konservative,61
Camilla Sabroe Parbst,Konservative,60
Dan Frimark,SF,58
Annie Grim Balsen,Enhedslisten,56
Niels Kramme Pedersen,L,55
Kim Worch,Konservative,55
Nikolaj Vester,Liberal Alliance,52
Jean-Luc Ngassa,Socialdemokratiet,51
Viktoria Kruse,Liberal Alliance,49
Brian Hornuff,Konservative,44
Villads Sørensen,Venstre,42
Per Nielsen,Enhedslisten,41
Lizzi Tvede Waagstein,Moderaterne,39
Charlotte Bjørn Guldbrandt,Konservative,39
Gert Petersen,Enhedslisten,39
Thomas Toft,Enhedslisten,39
Åge Skovrind,Enhedslisten,39
Anne Haarløv,Enhedslisten,38
Signe Plambæk,L,38
Nikolaj Vandrup,L,33
Lucia Carriere,Enhedslisten,32
David Løth,L,32
Mette Storm Elner,SF,32
Linda Roed,Dansk Folkeparti,31
Knud J. Vest,Venstre,29
Karsten Lorentzen,Dansk Folkeparti,29
Michael Larsen,Enhedslisten,28
Ester Beha,Enhedslisten,28
Kasper Christensen,Dansk Folkeparti,25
Bodil Kjærum,Enhedslisten,25
Allan Bruce Corfitsen,Venstre,24
Jens Erik Ørum,Radikale,22
Torben Svendsen,Venstre,20
Jacob Lillelund Bech,Moderaterne,20
Aslak Beha,Enhedslisten,19
Anders Høgdal Larsen,Venstre,18
Svend-Erik B. Nielsen,Danmarksdemokraterne,17
Claus Mortensen,Venstre,17
Jonas Gotfredsen,L,16
Dennis Knudsen,Venstre,14
Kim Jeppe Wass,Venstre,13
Theresa Maria Folke Olesen,Enhedslisten,13
Frank Hansen,Dansk Folkeparti,12
Anders Rohde,Radikale,10
Victor Irming,Enhedslisten,10
Henning Bentzen,Enhedslisten,7
Mette Kristensen,L,6
Peder Pedersen,Enhedslisten,3
Torben Andersen,Venstre,2
Henrik Palsmar,Enhedslisten,2
