kandidat,parti,stemmer
Emil Blücher,Liberal Alliance,2938
Kim Kliver,Venstre,1265
Jonas Ring Madsen,Socialdemokratiet,482
Morten Scheelsbeck,Konservative,361
Hanne Bache Vognbjerg,Socialdemokratiet,359
Brian Mørch,Danmarksdemokraterne,282
Anette Fynbo Blem,T,277
Niels Hörup,Venstre,229
Louise Irgens,Venstre,227
Bo C. Christiansen,L,214
Regine Hovmøller,Liberal Alliance,173
Stine U. Johansen,L,172
Claus Redder Madsen,SF,163
Nico Hjermind,Dansk Folkeparti,162
Ulrik Lassen,Liberal Alliance,152
Nikolaj Schwartz,Venstre,146
Lil Lyrstrand,T,140
Christian Vang,L,140
Marianne Svane,SF,126
Kim P. Hansen,Konservative,123
Lene Mølbak,Venstre,117
Per Laursen,Radikale,107
Jytte Willendrup,Socialdemokratiet,102
Ina Lindemark,L,101
Peter Dits Christensen,Liberal Alliance,101
Frank Ellegaard Nielsen,Venstre,96
Birgit Gedionsen,Enhedslisten,93
Anne Kirstine Raun Senderovitz,T,89
Jan Færch,Konservative,89
Per Dahlin,Venstre,88
Mads Ramstedt,Konservative,79
Carl Andersen,Liberal Alliance,77
Jeppe Hagenbæk Sørensen,T,75
Nicklas Gregil,Socialdemokratiet,73
Finn Larsen,Socialdemokratiet,71
Musa Akin,Venstre,67
Pernille Breinholdt Jepsen,Liberal Alliance,65
Kenneth Øverup,Radikale,57
Mads Silberg,Konservative,57
Knud Rasmussen,T,49
Finn Jensen,L,48
Mia Qvist Scheelsbeck,Konservative,47
Flemming Warhøi,Liberal Alliance,45
Farid Faizi,SF,40
Henrik Boye,Liberal Alliance,37
Nils Lagoni,Liberal Alliance,37
Michael Folmann Jensen,Danmarksdemokraterne,37
Marius Holtze,Radikale,35
Kim Pagels,Radikale,33
Emil Kirketerp Hansen,Danmarksdemokraterne,33
Jannik Jensen,T,28
Lars Møller Christiansen,L,27
Alan Kampman,Venstre,27
Lola Broe,Enhedslisten,23
Steffen Røgind,Danmarksdemokraterne,21
Lotte Rojen Hansen,Danmarksdemokraterne,20
John Løvenskjold Nielsen,Socialdemokratiet,20
Nikolaj Brink Olsen,Liberal Alliance,18
Per Schmidt Jensen,T,17
Linda Vestergaard Møller,Liberal Alliance,17
Karin Østergaard,Enhedslisten,15
Lene Fly,Konservative,13
John Mogensen,Konservative,12
Henning Madsen,Venstre,12
Peter Sjølin,Liberal Alliance,9
Therese Færch Nebel,Konservative,9
Dina Oxfeldt,Venstre,8
Arthur Roberti Kosakian,Liberal Alliance,7
Daniel Bidstrup Nielsen,Liberal Alliance,7
Jens Fiskbæk,Danmarksdemokraterne,4
Joan Forup,Danmarksdemokraterne,2
Per Pohlmann,Danmarksdemokraterne,2
Stig Johansen,Venstre,2
Jørgen Kauling,Konservative,2
Lubima Jensen,Danmarksdemokraterne,1
Flemming Kirketerp Hansen,Danmarksdemokraterne,1
Tommy Winther,Danmarksdemokraterne,1
