kandidat,parti,stemmer
Trine Egetved,Konservative,41
Tue Villebro,Venstre,18
Astrid Recinella,G,14
Bent Hansen,Venstre,10
"Stina Egedius Miller, Søborg",SF,9
Thomas Jung,G,8
"Jens Rane Holck, Tisvilde",SF,7
"Jesper Leth, Ramløse",Liberal Alliance,7
Brian Lyck Jørgensen,Dansk Folkeparti,7
"Pernille Søndergaard, Helsinge",Moderaterne,7
Allan Nielsen,Socialdemokratiet,5
"Claus Bindslev, Tisvilde",Radikale,5
Carl-Børge Christiansen,Venstre,5
Marianne Christensen,Socialdemokratiet,4
Daniel Frigast,Konservative,4
"Britta Christholm, Blistrup",SF,4
Lars Nielsen,Konservative,3
Lars Bregnbak,Danmarksdemokraterne,3
"Helle Lund, Helsinge",Liberal Alliance,3
Helle Blomsterberg,Venstre,3
"Kamilla Brøckner Barslund, Helsinge",Moderaterne,2
Camilla Lindbjerg,Konservative,2
Carl Mikael Jespersen,G,2
Flemming Blicher,U,2
"Elias Binggeli, Helsinge",SF,2
Betty Schachtschabel,Venstre,2
Jette Hansen,Enhedslisten,2
Pia Foght,Socialdemokratiet,2
Lisbeth Havemann,Enhedslisten,2
"Michala Beier Kjeldsen, Saltrup",Radikale,2
"Conny Bruun, Vejby",Moderaterne,2
Anders Søborg,Venstre,2
Mikkel Christian Iversholt,L,1
"Mikkel Johannessen, Rågeleje",Radikale,1
"Michael Svarrer, Gilleleje",SF,1
Carina Bloch Simonsen,L,1
"Simon Rigét, Annisse Nord",Alternativet,1
"Pernille Kromann Sams, Annisse",Moderaterne,1
Anders Gerner Frost,G,1
Susan Kjeldgaard,G,1
Annie Hagel,Enhedslisten,1
Bill Kaae,Dansk Folkeparti,1
Rasmus Stenbo Røpcke,G,1
"Ole Nørretranders, Dronningmølle",Liberal Alliance,1
Michael Frank Hansen,Konservative,1
Michael H. Nielsen,Enhedslisten,1
Tonny Nalepa Jensen,Socialdemokratiet,1
"Louise Aggebo, Helsinge",Moderaterne,1
Samir Maáli,Konservative,1
Jesper Kongstad,Venstre,1
Hans Erik Grønhøj,Danmarksdemokraterne,1
Steen Pedersen,L,1
"Kurt Pedersen, Dragstrup",Kristendemokraterne,1
Simon Mortensen,Konservative,1
"Kirsten Rolfsager, Dronningmølle",SF,1
Kim Thonsgaard,Konservative,1
"Maud Margrethe Pedersen, Dronningmølle",Alternativet,1
"Steen Tofteng, Helsinge",Liberal Alliance,1
Jannich Petersen,Venstre,1
Marianne Kildemark Tilsbæk,L,1
"Rikke Heitmann, Græsted",Radikale,0
"Thomas Frandsen, Tisvilde",Radikale,0
"Theis Clamer Hansen, Helsinge",Moderaterne,0
Poula Helth,G,0
"Sten Schmidl Søbjærg, Helsinge",Liberal Alliance,0
Søren Maack,G,0
"Tina Buchwald, Blistrup",Liberal Alliance,0
Tina Hedelund,Dansk Folkeparti,0
Viola Mathiasen,Venstre,0
Steffen Goldschmidt,Socialdemokratiet,0
"Thomas Thorby Bang, Helsinge",Liberal Alliance,0
"Sanne Andreasen, Græsted",Moderaterne,0
Vicky Weide Nielsen,Konservative,0
"Søren Bald, Tibirke Sand",Radikale,0
Adam Audeh,G,0
Helle Hansen,E,0
Helene Gerlykke-Dohn,Konservative,0
Hanne Pedersen,E,0
Gert Lassen,N,0
"Flemming Trojel, Vejby",Moderaterne,0
Henriette Engom Larsen,Konservative,0
Henrik Hedelund,Dansk Folkeparti,0
Jens Christian Ellekilde,G,0
Jacob Juul,Enhedslisten,0
Bo Jul Nielsen,Socialdemokratiet,0
"Bjarne Pedersen, Gilleleje",Moderaterne,0
Arne Würgler,Enhedslisten,0
"Arne Molberg, Tisvildeleje",Liberal Alliance,0
Annemaja Rosesø,E,0
Anja Schlie,Dansk Folkeparti,0
Bruno Bomholdt,Danmarksdemokraterne,0
Claus Nedenskov,Enhedslisten,0
Christoffer Bloch Simonsen,L,0
Casper Hannibal Aistrup,Konservative,0
Jesper Behrensdorff,G,0
Mikael Einspor,D,0
Mette Tolstrup,Socialdemokratiet,0
"Mette Dollerup, Gilleleje",Radikale,0
Melanie Hauchrog Reddig Spieler,Dansk Folkeparti,0
Maria Vibe Grymer,E,0
Morten Dahlberg,Socialdemokratiet,0
Patrick Iversen Larsen,E,0
Peter M. Otzen,E,0
"Peter L. Sørensen, Helsinge",Radikale,0
Per Roswall,Venstre,0
Morten Rohde Klitgaard,G,0
Ole Buchardt Olesen,Venstre,0
Niels Grønbæk,Enhedslisten,0
Jørgen Strøm,Enhedslisten,0
"Jørgen Kragh, Holløse",Moderaterne,0
"Johnny Braginski, Vejby",Moderaterne,0
Ken Riberholt-Rischel,Danmarksdemokraterne,0
