kandidat,parti,stemmer
Christina Krzyrosiak Hansen,Socialdemokratiet,15785
Rasmus Brandstrup Larsen,Venstre,1692
Søren Stavnskær,Danmarksdemokraterne,1271
Jacob van Dijk,Liberal Alliance,697
Emrah Tuncer,Radikale,694
Stampe Duus,Konservative,516
Christian Ahlefeldt-Laurvig,Venstre,490
Anna Spindler,Danmarksdemokraterne,385
John Harpøth,N,352
Karina Helmer,Venstre,351
Steen Klink,Socialdemokratiet,339
Karina Lyneborg,Socialdemokratiet,327
Jarl Sabroe,Socialdemokratiet,323
Morten Stig Pedersen,Enhedslisten,313
Victor Grauballe Arvad,Socialdemokratiet,311
Betina Fabricius Olsen,Dansk Folkeparti,297
Sif Thomsen,Socialdemokratiet,291
Casper Larsen,Socialdemokratiet,279
Jakob Villadsen,SF,250
Jesper Hartøft,SF,247
Asger Madsen,Venstre,240
Esther Michelsen Kjeldahl,Enhedslisten,236
Lykke Palm,SF,227
Jeppe Klenitz-Jakobsen,Socialdemokratiet,223
Derya Tamer,Socialdemokratiet,222
Marthine Dahl,Radikale,219
Susanne Utoft,Socialdemokratiet,214
Eva Anker Lund,Socialdemokratiet,213
Liv Lærke Nissen,Enhedslisten,210
Erik Filler Filthuth,Venstre,206
Charlotte Nielsen,Socialdemokratiet,204
Christina Hvass Hansen,Socialdemokratiet,189
Helle Ingemann Petersen,Dansk Folkeparti,184
Lars Thaarbøl,Socialdemokratiet,179
Anders Olesen,Socialdemokratiet,171
Michelle Silke Hauptmann,Moderaterne,163
Lars-Emil Woetmann,Alternativet,161
Mie Albrecht,Liberal Alliance,159
Lars Qvist,Socialdemokratiet,158
Frederik Grünfeld,Liberal Alliance,157
Auli Romanow,Dansk Folkeparti,153
Bente Røttig,SF,149
Lars Roost Dinesen,Socialdemokratiet,149
Michael Møller Nielsen,SF,140
Thor Højland Mathiesen,Socialdemokratiet,138
Semir Demiri,SF,129
Rolf Rasmussen,Venstre,128
Anna Theodora Pihl Brandt,SF,128
Asger Gotved,Radikale,127
Ane-Jette Jacobsen,Konservative,127
Kaspar  Kjærgaard,Venstre,125
Henrik Mosbæk,Socialdemokratiet,118
Signe Rothgarn,Venstre,116
Christian Andersen Brejner,Danmarksdemokraterne,110
Thorsten Larsen-Seul,Venstre,108
Kristian Sandgaard Timmermann,Socialdemokratiet,107
Niels Henrik Ebdrup,Konservative,105
Svenn Thunø,Socialdemokratiet,96
Tharjan Jeyananthan,Socialdemokratiet,95
Brian Perri,Moderaterne,95
Lars Jalking,Enhedslisten,90
Ditte Keidser,Konservative,90
Birgit Hamming,Enhedslisten,89
Ditte Krøyer,Enhedslisten,82
Mogens Jensen,Venstre,77
Casper Olsen,Dansk Folkeparti,77
Morten Holme,SF,73
Linda Hartsø,Konservative,73
Thor Blauner,Enhedslisten,71
Jens Kristiansen,Socialdemokratiet,71
John Thor Pedersen,Danmarksdemokraterne,65
Claus O. Jørgensen,SF,63
Sytter Kristensen,Venstre,62
Allan Tronborg,Konservative,62
Sofus Rønne,Liberal Alliance,59
Bjørn Olsen,SF,58
Tais Storm Andersen,Enhedslisten,57
Thomas Christophersen,Konservative,56
Michael Jerndorff,N,51
Poul Fensmark,Radikale,50
Preben Sigvardt,Dansk Folkeparti,48
Flemming Sørensen,Liberal Alliance,48
Anette Kildentoft,Dansk Folkeparti,46
Mie Thustrup,N,46
Klaus Nielsen,Socialdemokratiet,44
Jonas Lauge Andersen,Konservative,43
Melina Amalie Pedersen,Socialdemokratiet,42
Anders Rasmussen,Konservative,42
Ida Møller,Radikale,42
Nethe Grønnegaard,Liberal Alliance,41
Henrik Gravesen,Moderaterne,41
Peter Hansen,N,39
Viktor Kronkvist Thomsen,Liberal Alliance,35
Per Birkedal,Moderaterne,34
Kim Malmberg Hansen,Venstre,34
Claus Hansen,Danmarksdemokraterne,33
Niels Weinreich,N,32
Torsten Sylvest,Radikale,31
Lasse Bertelsen,Enhedslisten,31
Carsten Buhl,Radikale,30
Anton Thomsen,Liberal Alliance,29
Morten  Løvschall,Venstre,28
Lars Henrik Schandorff,N,25
Leif Juhl,Enhedslisten,24
Ea Ascanius,Liberal Alliance,22
Jørn Thorhauge,Konservative,21
John Hvass,Konservative,21
Nels Hede Rohde,Liberal Alliance,20
Finn Erik Larsen,Enhedslisten,16
Poul Thomsen,Liberal Alliance,16
Inge Riis Langseth,N,15
Nico Sparboom,Liberal Alliance,14
Bent Delfs,Konservative,14
Steen Nielsen,Konservative,13
Ole Lützhøft Petersen,N,13
Søren Liltorp,N,13
Robert Gerken,Socialdemokratiet,10
Thomas Heimark,Liberal Alliance,7
Flemming Nielsen,N,6
Henrik Bianchy Jensen,N,6
Morten Ulrich,Konservative,3
