kandidat,parti,stemmer
Mikkel B. Dam,Liberal Alliance,1460
Ole Vive,Venstre,1288
Camilla Meyer,Socialdemokratiet,1055
"Christina Birkemose, Haslev",T,762
Dorthe Adelsbech,Venstre,699
René Tuekær,L,568
Line Mørkegaard,L,492
Dorthe Egede Borg,Venstre,483
"Christina Sandra Johansen, Haslev",SF,424
"Michelle Frese, Karise",SF,373
"Mark Hjorth, Dalby",Dansk Folkeparti,367
"Martin Rosbjørn, Rønnede",Dansk Folkeparti,360
Lisette Lind Larsen,Socialdemokratiet,350
Lars Folmann,N,343
Nellie Bradsted,Venstre,340
Per Thomsen,Socialdemokratiet,308
"Thomas Spange Olsen, Karise",Enhedslisten,279
Allan Tirsgaard,Konservative,275
Michael Christensen,Konservative,268
Bente Abrahamsen,Danmarksdemokraterne,265
Peter Munch,Venstre,263
Bodil Sø,Venstre,172
Helle Lysholm,Venstre,161
Steen Andersen,Socialdemokratiet,158
"Lars Straarup, Faxe",Dansk Folkeparti,148
"Anita Skov, Haslev",SF,142
Henrich Jessen,Danmarksdemokraterne,139
Vilhelm Møller,Konservative,138
Erik Rasmussen,Venstre,135
Anja Cari,Liberal Alliance,132
"Poul Christensen, Haslev",Dansk Folkeparti,131
Peter Truels Wulff,Socialdemokratiet,127
Jørgen Richardt Nielsen,Socialdemokratiet,111
Bill Larsen,Danmarksdemokraterne,102
"Sedi Byskov, Faxe",Enhedslisten,97
Henrik Holmgaard,Venstre,96
"Michael Søndermand, Haslev",SF,84
"Lone Stæhr, Haslev",Enhedslisten,82
Dennis Pihl Hansen,L,80
"Jeannie Thorving Hansen, Haslev",T,79
Jens Hvidemose,Socialdemokratiet,76
Henrik Rützou Aakast,Moderaterne,76
Steen K. Gunnarson,L,73
"Anders Franssen, Haslev",T,62
Madeleine Hansen,N,62
"Holly Hjorth, Faxe Ladeplads",Dansk Folkeparti,61
"Ghita Østenby, Faxe",SF,60
Lena Krolmark,L,60
Jens Dandanell,Konservative,58
René Tutak,Socialdemokratiet,56
"Nelle Søndermand, Haslev",SF,52
Tine Johnsen,Socialdemokratiet,51
"Anne Holmlund, Bjerrede",Dansk Folkeparti,48
"Heidi Salee, Haslev",T,46
Morten Haupt-Hansen,Liberal Alliance,42
Alaaidin Abdelhafiz,Socialdemokratiet,39
Valdemar Haab,N,36
Anette Melgaard,Konservative,35
Alan Pedro Petersen,Liberal Alliance,34
Julia Nielsen,Konservative,34
Lasse Guldberg Christensen,Liberal Alliance,31
Emma Rasmussen,Liberal Alliance,29
"Christian B. Hansen, Høsten",T,27
Brian Schunk,Socialdemokratiet,25
"Birgit Hansen, Haslev",Enhedslisten,25
"Simon Dedenroth Sveigaard, Dalby",Y,23
"Helle Wallin, Faxe",Enhedslisten,22
Christian Nielsen,Socialdemokratiet,22
Henrik Nielsen,Venstre,21
"Bente Ovesen, Haslev",SF,19
"Mona Pedersen, St. Torøje",SF,18
Inge Feigh,Moderaterne,13
"Johnny Hougaard Sørensen, Faxe",SF,13
Svend Thorsen,Konservative,12
Brian Sørensen,Venstre,11
Kenni Lars Rasmussen,Liberal Alliance,11
Pernille Bordal Rasmussen,Konservative,11
Martin Kruse,Venstre,10
Kristen Olesen,Socialdemokratiet,10
Margit Lorentzen,Socialdemokratiet,10
"Dennis Boye Petersen, LL. Torøje",T,9
Steen Thomassen,Venstre,8
"Jette Jensen, Terslev",SF,8
Svend-Aage Kroman,Konservative,7
Kirsten Schmidt,Konservative,6
Casper Christophersen,Socialdemokratiet,6
Stella Mikkelsen,Konservative,5
"Nina Franssen, Haslev",T,5
Per Flatau,Konservative,2
