kandidat,parti,stemmer
Jens Hougaard,Danmarksdemokraterne,81
Martin Damm,Venstre,45
Joan Balling,Socialdemokratiet,32
"Eva Levinsen, Røsnæs",SF,28
"Thomas Hiorth, Svebølle",SF,27
Gustav Jakobsen,Venstre,24
Tina Beck-Nilsson,Socialdemokratiet,22
Esben Hansen,Socialdemokratiet,22
"Charlotte Jørgensen, Kalundborg",SF,22
"Martin Schwartzbach, Kalundborg",Dansk Folkeparti,21
"Niels Erik Danielsen, Høng",Enhedslisten,17
Helle Laursen Petersen,Liberal Alliance,15
Henriette Ergemann,E,12
"Mikkel Egede Herskind, Raklev",Konservative,12
"Henry Larsen, Sejerø",Radikale,10
"Hans Munk, Kalundborg",Radikale,9
"Kathrin Kok, Kalundborg",Dansk Folkeparti,8
Gunver Jensen,L,7
"Jane Christensen, Kalundborg",Konservative,7
Niels-Erik Sørensen,Venstre,7
"Kristina Püschl, Reersø",SF,7
Mustapha Badr,Venstre,6
"Frederik Gordon Pedersen, Gørlev",N,6
"Susanne Brix Fransen, Kalundborg",Enhedslisten,5
"Mette Hvid Brockmann, Havnsø/Føllenslev",Radikale,5
Mads Søe Daugaard,Moderaterne,4
"Lukas Olesen, Kalundborg",Dansk Folkeparti,4
Kristine Vesterskov Olsen,Socialdemokratiet,4
"Peter Jacobsen, Snertinge",Dansk Folkeparti,4
Jakob Beck Jensen,Venstre,4
Robin Ringvig Larsen,Socialdemokratiet,4
"Line Maj Stranges, Kaldred",Radikale,4
Peer Justesen,Danmarksdemokraterne,3
Nikolaj Lykke Vad,Socialdemokratiet,3
Tonny Voldby Pedersen,E,3
"Jesper Wienmann Hansen, Høng",Konservative,3
Marie Hansen,Danmarksdemokraterne,3
"Birgitte Brøj, Kirke Helsinge",SF,3
Cathrine Sinding,Venstre,3
Ruth Josiassen,Socialdemokratiet,3
Gitte Johansen,Venstre,2
Rikke Jensen,L,2
"Jan Broholm, Eskebjerg",Enhedslisten,2
Arne Jensen,Socialdemokratiet,2
Lasse Rask Jensen,Liberal Alliance,2
Kristian Kallenbach,Venstre,2
"Mark F. Kramer, Høng",Dansk Folkeparti,1
"Stig Nielsen, Kalundborg",Radikale,1
Karl-Åge Hornshøj Poulsen,Venstre,1
Svend Müller,Venstre,1
Anja Wuust,L,1
"Ivan Karlsson, Gørlev",Dansk Folkeparti,1
"Kåre Gram, Kalundborg",SF,1
Kirsten Rask,Socialdemokratiet,1
Mads Olsen,Venstre,1
Malene Ellebæk,Socialdemokratiet,1
Jonas Anhøj Henriksen,L,1
"Ejnar Jensen, Sønderød",Radikale,1
"Jeanette Jensen, Høng",N,0
Thomas Pedersen,Venstre,0
Allan Jensen,E,0
Kenneth Merkel,Liberal Alliance,0
"Jens Pihlkjær Christensen, Buerup",Enhedslisten,0
Per Kjær Erichsen,Socialdemokratiet,0
"Jens Kallehave, Kalundborg",N,0
Klaus Bay Mikkelsen,Venstre,0
Peter Nielsen,Liberal Alliance,0
"Frode Lund, Høng",Konservative,0
Claus Toftegaard,Danmarksdemokraterne,0
"Christina Karlsson, Gørlev",Dansk Folkeparti,0
"Peter Joensen, Høng",Konservative,0
"Kirsten Skovgaard, Reerslev",SF,0
K. Liv Rasmussen,Venstre,0
Dorte Svane,Liberal Alliance,0
"Jørgen Randløv Madsen, Dianalund",Enhedslisten,0
"Anne Grete Madsen, Bjergsted",Konservative,0
Mikkel Bredlund,E,0
Jacob Fremming,E,0
Bodil Hellemann,Venstre,0
Michael Augustine,Moderaterne,0
Simone Jessen Hansen,Venstre,0
"Malou Kramer, Høng",Dansk Folkeparti,0
Søren Vang Fischer,Venstre,0
Rasmus Haagensen,Socialdemokratiet,0
"Dean Lilleskov Larsen, Jerslev",Konservative,0
"Pylle Quaade, Eskebjerg",Radikale,0
Søren Bang Knudsen,Venstre,0
