kandidat,parti,stemmer
Andreas Karlsen,Konservative,4330
Mette Ahm-Petersen,Socialdemokratiet,1329
Klaus Hansen,Venstre,1112
Benjamin Pedersen,Konservative,531
Britta Nielsen,SF,429
Tina-Mia Eriksen,Konservative,329
Sine Reffstrup,Socialdemokratiet,288
Mona Musse,Enhedslisten,285
Johnny B. L. Dahlgaard,Venstre,285
Aladdin Yildirim,Konservative,282
Jonas Helgesen,Socialdemokratiet,280
Karin Nødgaard,Venstre,250
Susanne Cornelius,Konservative,236
Lene Reffstrup,SF,228
Mazlum Øz,Venstre,216
Claus Bedemann,D,212
Per Nygaard,Konservative,212
Sadik Zeki Topcu,Socialdemokratiet,196
Jess Friis,Konservative,191
Per Flor,Dansk Folkeparti,188
Andreas Otte,Enhedslisten,188
Lasse Mølholt,Venstre,172
Jette Nygaard,Venstre,149
Lucas Martin Pedersen,Konservative,146
Finn Andersen,Kristendemokraterne,146
Marie Kruse,Radikale,130
Kenneth Lind,Venstre,125
Michael Rosenmark,Danmarksdemokraterne,122
Klaus Bodholt Andreasen,L,119
Henrik Thomsen,Liberal Alliance,113
Anne-Marie Venge,Enhedslisten,113
Reinhold Schæfer,SF,111
Anne Marie Østergaard,SF,107
Christina Dilling-Munk,SF,99
Jeanne Blum,Danmarksdemokraterne,88
Klaus Huus,Konservative,86
Anne Fussing,Dansk Folkeparti,84
Svend-Erik Jakobsen,Socialdemokratiet,81
Timo Jensen,Konservative,79
Anja Resen,Socialdemokratiet,78
Lisbeth K. Andersen,Socialdemokratiet,75
Oliver  Larsen,Konservative,73
Nadja Henriksen,Venstre,66
Jack Fejerskov,Konservative,62
Henrik Luntner,Dansk Folkeparti,60
Maja Burø Redke,Liberal Alliance,56
Louise Holmsted Kristensen,Danmarksdemokraterne,55
Valentin Andersen,Socialdemokratiet,55
Thomas Vangsaa,Konservative,53
Lotte Birkestrøm,Venstre,52
Helen Nørret Schmidt,Radikale,43
Birthe Jacob Wordenskjold,Konservative,42
Michael Burø Redke,Liberal Alliance,38
Mette Sjøblom Skals,Konservative,37
Pia Fussing,Dansk Folkeparti,37
Jørn Lauritzen,Konservative,33
Martin Bork,Radikale,30
Liselotte Knudsen,Enhedslisten,30
Carsten Petersen,Danmarksdemokraterne,29
Jørn Christensen,SF,29
Torsten Desauv,Konservative,28
Magnus Schultz Pedersen,Radikale,28
Ulrik Riis,D,27
Peter Fisker Lassen,Konservative,24
John Fobian-Madsen,Socialdemokratiet,23
Flemming Skærbæk,Socialdemokratiet,22
Andreas Stensig Jensen,Konservative,22
Sara Jørgensen,N,21
Ole Keinicke Christensen,Konservative,20
Mette Kathrine Millard,Konservative,19
Karin Egeberg,Konservative,19
Lotte Kristine Højgaard de Blanck,Liberal Alliance,18
Jakob Møller-Pedersen,Liberal Alliance,18
Jeanet Nordam Suadicani,Radikale,17
Torben Lollike,Radikale,16
Jan M. Johansen,Konservative,16
Karl Johan Nordman,Konservative,15
Misja Lykke Breith Toldam,Enhedslisten,11
Lene Boye-Hansen,Enhedslisten,11
Charlotte Poll,Konservative,10
Mikkel Olsen,Venstre,9
Helle Riis,D,8
Kenny Olsson,N,7
Jørgen Barsøe,Venstre,6
Leif Nebbelunde,D,6
Tina Türck,Liberal Alliance,6
Holger Lunden,Venstre,5
Birthe Mogensen,Liberal Alliance,4
Kristian Møller,Venstre,3
Mia Laibjørn,Kristendemokraterne,3
Lars L. Olsen,Venstre,2
Jesper Jørgensen,Venstre,1
Hanne Bedemann,D,1
Thurid Joensen,D,1
Preben Andersen,Kristendemokraterne,0
