kandidat,parti,stemmer
Johannes Lundsfryd Jensen,Socialdemokratiet,1702
Anders Møllegård,Venstre,1542
Jonas René Jensen,Danmarksdemokraterne,746
Steffen Daugaard,Dansk Folkeparti,686
Linda Johnsen,SF,572
Jes Rønn Hansen,Socialdemokratiet,562
Louise Mejnert Ferslev,Liberal Alliance,511
Mads Emil Møller,Venstre,465
Lars Vigsø,Socialdemokratiet,449
Karin Riishede,Venstre,435
Anja Reilev,Socialdemokratiet,416
Line Thingberg,Venstre,415
Maria Lund Nielsen,Alternativet,398
Kent Mosgård,Venstre,311
Louise Gade Ellekrog,Socialdemokratiet,296
Amalie Kallesøe Bergholdt,Socialdemokratiet,294
Lasse Schmücker,Enhedslisten,279
Jacob Bjørnskov Nielsen,Socialdemokratiet,277
Mads Brodersen,SF,262
Morten Weiss-Pedersen,Konservative,254
Steen Dahlstrøm,Socialdemokratiet,253
Ulla Sørensen,Socialdemokratiet,252
Majken Andersen,Liberal Alliance,242
Susanne Rikke Hougaard-Nielsen,Dansk Folkeparti,212
Kim Lund,Danmarksdemokraterne,209
Kaj Piilgaard Nielsen,Venstre,202
Elisabeth Tejlmand,Radikale,199
Marc Melgaard,Venstre,199
Jan Pieler,Liberal Alliance,197
Jens Andersen,T,195
John Jørgensen,Socialdemokratiet,193
Allan Buch,Socialdemokratiet,184
Alex Gren,Socialdemokratiet,182
John Kromann,Venstre,179
Eik Frikke,Socialdemokratiet,168
Jakob Kærsbøl,Venstre,163
Morten Kanstrup Thomsen,Socialdemokratiet,161
Morten Bender Adamsen,Y,157
Sara Stubgaard-Schmidt,Socialdemokratiet,147
Maja Weimar,SF,132
Lars Boesen,Radikale,132
Andreas Lausen,Moderaterne,129
Grete Berggren,Socialdemokratiet,128
Christiane Pape Lehrmann,Socialdemokratiet,128
Lena Grøndal Kaspersen,Venstre,125
Esben Erichsen,Socialdemokratiet,124
Sandie Lind Brand,T,122
Paw Nielsen,T,110
Josefine Vilvig Kristensen,SF,95
Søren Harders,Venstre,91
Irene Tørnæs,Venstre,91
Linda Frølund,Alternativet,89
Brian Salomonsen,Radikale,88
Peter Liltorp,SF,85
Camilla Dalum Jensen,Enhedslisten,81
Marianne Carlsson,Konservative,77
Jeanett Wraae,Socialdemokratiet,74
Nanna Lehmann Hansen,Enhedslisten,72
Anne Fredberg,Socialdemokratiet,70
Kris Straarup Jensen,Liberal Alliance,63
Eigil Kristensen,SF,62
Kris Mortensen,Venstre,59
Lars Mejsner,Danmarksdemokraterne,57
Jakob Finn Wiis Tønnesen,Socialdemokratiet,54
Valdemar Kaas Ibsen,Danmarksdemokraterne,53
Hanne Askou,Konservative,53
Johnny Ancher,Frie Grønne,52
Marianne Kyed,Venstre,47
Morten Pabst Petersen,Enhedslisten,41
Ole Nielsen,Socialdemokratiet,39
Lars S. Ellegaard,Venstre,38
Helle Mortensen,Radikale,38
Lars Sandberg,Venstre,37
Karen Johnsen,Enhedslisten,36
Søren Lehnskov,Danmarksdemokraterne,35
Jakob Raae Petersen,Venstre,31
Flemming Hansen,Konservative,29
Leise Marcher,Konservative,27
Jørgen Hansen,Konservative,26
Nicolaj Rasmussen,T,25
Mathilde  Mathiasen,Frie Grønne,22
Steen Hansen,SF,20
Camilla Schæbel,T,17
Klaus Pedersen,Socialdemokratiet,14
Simon Enemærk Pedersen,Enhedslisten,13
Christoffer Vaaben Ladefoged,Alternativet,13
Elisabeth H. Larsen,Konservative,12
André Charles Knudsen,Alternativet,10
Jesper Slott,Moderaterne,8
Torben Brøchner Pedersen,Radikale,7
Poul Løhde,Radikale,7
Claus Boje,Radikale,6
