kandidat,parti,stemmer
Søren Steen Andersen,Venstre,4101
Mark Søgaard,Socialdemokratiet,877
Pia Offer Madsen,Liberal Alliance,804
Jeanette Sandberg,SF,763
Henrik Kirk,Venstre,636
Lars Kolling,Dansk Folkeparti,613
Jens Jakobsen,Venstre,597
Jens Henrik Thulesen Dahl,Danmarksdemokraterne,542
Søren Thomsen,Konservative,457
Nikolaj Leed Henriksen,Venstre,385
Elmer Philipsen,Socialdemokratiet,378
Kristine Winther Thomsen,Venstre,362
Jesper Terp,SF,319
Martin Kaszubinska Pedersen,Venstre,310
Lone Akselsen,Socialdemokratiet,304
Tine Grau Poulsen,Venstre,270
Camilla Lykke Sørensen,Venstre,239
Ole Maagaard Pedersen,Venstre,234
Poul Poulsen,Radikale,221
Leif Rothe Rasmussen,Socialdemokratiet,199
Lasse Tajmer,Socialdemokratiet,182
Anita Larsen,SF,180
Helge Kold,Socialdemokratiet,178
René Langholm,Venstre,176
Simon Meyer Off,SF,175
Brita Leth,Socialdemokratiet,159
Peter Risbro Brix,Socialdemokratiet,156
Knud Søby,Venstre,153
Søren Overgaard,Venstre,151
Annette Scheer Kornbeck,Venstre,146
Berit Schaldemose,Socialdemokratiet,145
Vivian Lindberg Larsen,Danmarksdemokraterne,145
Lars Lillebæk,Liberal Alliance,142
Ole Knudsen,Venstre,141
Henrik Hansen,Socialdemokratiet,140
Juan Semir Sinou,Venstre,130
Stine Øllegaard,Enhedslisten,125
Louise Bek Vegeberg,Radikale,118
Alexander Brusgaard,Radikale,116
Natasja Bruun Knudsen,Konservative,110
Marie Højlund,Socialdemokratiet,106
Vagn Top,Konservative,101
Peter Poulsen,Venstre,101
Tobias Bennedsen,Konservative,100
Kaj Alstrup,Enhedslisten,95
Flemming Risskov Jørgensen,Enhedslisten,94
Ole Dupont Kofod,Alternativet,94
Mette-Rose Kongstad,SF,89
Lene Rasmussen,Socialdemokratiet,79
Mogens Mulle Johansen,Venstre,74
Cecilie Seidelin Petersen,Socialdemokratiet,68
Tobias Jakobsen,Liberal Alliance,68
Trine Langhoff,SF,66
Michael Iwersen,SF,65
Louise Faurskov Andersen,Konservative,64
Anna Pedersen,Konservative,64
Christopher Ammentorp,Enhedslisten,62
Mikael Jensen,Socialdemokratiet,61
Jim Staffensen,Konservative,60
Frank Lissner,Konservative,58
Mogens Høj,Danmarksdemokraterne,57
René Bachmann,D,52
Janni Hoel,Danmarksdemokraterne,52
Agnete Damkjær,Venstre,47
Solveig Fredslund,D,45
Ingrid Andersen,Socialdemokratiet,44
Michael Møller Larsen,Liberal Alliance,44
Anne-Mette Lorenzen,Radikale,42
Søren Twisttmann Pedersen,Dansk Folkeparti,41
Bente Sonja Rasmussen,Dansk Folkeparti,39
Lauritz Møller Larsen,Liberal Alliance,38
Søs Kristensen,Dansk Folkeparti,34
Charlie Kæmpe Hartvig,SF,32
Irene Jeppesen,L,32
Henrik Frydenborg,Enhedslisten,31
Kim Nørgaard Kruse,SF,30
Conni Hansen,Konservative,30
Søren Fisker Olesen,Venstre,28
Lars Voldsgaard,Venstre,25
Tonny Stenkilde,Konservative,24
Steen-Ove Teisner,Venstre,23
Kirsten Hofset,Enhedslisten,22
Ivan Damsted,Socialdemokratiet,22
Ulrikka Brændgaard Nissen,Venstre,21
Rasmus Dons,Radikale,19
Heidi C. V. Mørch,Enhedslisten,18
Maja Spang-Hanssen,Enhedslisten,18
Henrik Storm Tegtmeier,Enhedslisten,17
Henning Boe,Socialdemokratiet,15
Morten Lorenzen,Radikale,13
Peder Gangelhoff,Enhedslisten,11
Mikael Vissing,Radikale,11
Rune Biskopstö Christensen,Enhedslisten,10
Christian Skipper,Venstre,10
Christina Fie Padkær,Radikale,9
Carsten Petersen,Venstre,6
Babak Fadavi Kornerup,Radikale,5
Martin Kjeldsen,Enhedslisten,5
