kandidat,parti,stemmer
"Michael Nielsen, Langeskov",Konservative,1536
Kristian Hald,E,1013
"Kasper Ejsing Olesen, Langeskov",Socialdemokratiet,697
Malte Jäger,Liberal Alliance,531
"Klavs Norup Lauridsen, Munkebo",Konservative,374
"Henrik Madsen, Langeskov",Konservative,238
Alex Haurand,SF,198
Morten Haubro,Dansk Folkeparti,166
Heino Salling,Enhedslisten,149
"Malene Hansen, Kerteminde",Socialdemokratiet,146
"Jan Johansen, Kerteminde",Socialdemokratiet,140
Janus Skov,Liberal Alliance,134
"Anne Fiber, Langeskov",Konservative,134
"Lars Hansborg-Sørensen, Munkebo",Socialdemokratiet,127
Toke Kristensen,Radikale,115
Charlotte Campen,SF,110
"Bibi Foged Rasmussen, Dalby",Konservative,107
Ole Peter Christensen,SF,102
Martin Ludvigsen,Danmarksdemokraterne,90
"Jens Gantriis, Kerteminde",Venstre,83
"Kent Valsøe, Kerteminde",Konservative,82
"Karen Dalsgaard, Kerteminde",Socialdemokratiet,80
"Dorte Daugaard, Rynkeby",Venstre,72
"Simon Ettrup Hansen, Mesinge",Venstre,72
"Bella Mortensen, Munkebo",Socialdemokratiet,67
"Kåre Villadsen, Langeskov",Socialdemokratiet,61
Rikke Mohr Jørgensen,Enhedslisten,61
Mathias Storgaard,Liberal Alliance,55
"Britt Pedersen, Martofte",Socialdemokratiet,51
Kim Jørstad,SF,49
Arne Otto Ditlevsen,Danmarksdemokraterne,48
Anders Christian Frederiksen,Radikale,46
"Kim Nielsen, Munkebo",Socialdemokratiet,46
"Kamila Holt, Munkebo",Moderaterne,44
Mette Østergaard Jensen,E,41
"John Eriksen, Munkebo",Socialdemokratiet,40
"Tine Riis Kristensen, Dalby",Venstre,39
"Jesper Schmidt-Nielsen, Kerteminde",Konservative,38
Simon Steen Hansen,E,37
Lone Kiilerich,Dansk Folkeparti,35
"Katrine Højkilde, Kerteminde",Konservative,35
Tina Refning Larsen,Liberal Alliance,34
"Jesper Hauritz, Langeskov",Konservative,34
Torben Frydenlund Rasmussen,Liberal Alliance,33
"Pia Hansen, Ladby",Konservative,33
"Stig Chalmer Rasmussen, Kerteminde",Konservative,30
Georgette Al-Araj,Enhedslisten,30
"Tina Hansen, Salby",Konservative,28
"Lars Rasmussen, Munkebo",Socialdemokratiet,27
Dan Mathiesen,Liberal Alliance,27
Susan Kroun,SF,26
Jørgen Andkær Jensen,Enhedslisten,24
"Mogens Jørgensen, Rynkeby",Socialdemokratiet,23
Kathrine Jäger,Liberal Alliance,20
"Ken Guldberg Jespersen, Hundslev",Venstre,18
"Dorte Sams, Munkebo",Konservative,15
Hans Jakob Kirk,Enhedslisten,15
"Inge Laurvig-Borch, Kerteminde",Socialdemokratiet,14
Lars Bo Jensen,Liberal Alliance,14
"Merete Horn, Kerteminde",Konservative,13
"Ole Vels Poulsen, Munkebo",Socialdemokratiet,12
Dorte Schach Jakobsen,Radikale,12
"Victoria Johnstad-Møller, Langeskov",Konservative,11
"Lars Ole Valsøe, Kerteminde",Konservative,8
"Aksel Carlsen, Rønninge",Socialdemokratiet,8
"Allan Sjørslev, Kerteminde",Socialdemokratiet,7
"Kai Holm, Kerteminde",Socialdemokratiet,6
"Maria Heart, Langeskov",Konservative,6
Mohamad Sukar,SF,4
Vanja Paporovic,E,3
Tommy Laursen,Radikale,2
Peter Bromark,Radikale,2
"Jørgen Hansen, Kerteminde",Konservative,2
