kandidat,parti,stemmer
Bo Hansen,Socialdemokratiet,144
"Mette Kristensen, Gudme",Venstre,91
"Jesper Ullemose, Oure",Venstre,89
Dorthe Ullemose,Dansk Folkeparti,48
Mads Cort,Liberal Alliance,46
"Jesper Kiel, Svendborg Nordre Bydel",Enhedslisten,34
Annette Vilhelmsen,Radikale,20
"Rik Kool, Tåsinge",Danmarksdemokraterne,18
Allan Østergaard,Radikale,17
"Anders Vildsø, Svendborg Østre Bydel",SF,16
"Helle Wisbech, Egense",Enhedslisten,15
Per Nykjær,Liberal Alliance,13
Hanne Ringgaard Møller,Radikale,13
Hanne Klit,Socialdemokratiet,13
"René Haahr, Stenstrup",Venstre,11
"Arne Ebsen, Ulbølle",SF,11
Carsten Drejer Madsen,Dansk Folkeparti,10
Mikael Hansen,Socialdemokratiet,10
Henrik Nielsen,Konservative,9
"Malene Hildegaard, Skårup",Enhedslisten,9
Karl Magnus Bidstrup,Socialdemokratiet,8
"Ida-Sofie Skjoldhøj Andersen, Tåsinge",Enhedslisten,8
Nina Ljungkvist,Socialdemokratiet,8
Mette Askær,Konservative,8
Pia Dam,Socialdemokratiet,8
"Johan Weltzin Kristensen, Svendborg Midtby",Enhedslisten,7
John Arly Henriksen,Socialdemokratiet,7
"Jørgen Clausen, Skårup",Danmarksdemokraterne,7
Bjørn Brøndum Pedersen,Socialdemokratiet,7
Camilla Silfverberg,Liberal Alliance,7
Carsten Thrane,Socialdemokratiet,7
"Käthe Lund, Svendborg Nordre Bydel",SF,6
Kent Jørgensen,Socialdemokratiet,6
Kenneth Hørdum,Dansk Folkeparti,6
Søren Kongegaard,Socialdemokratiet,6
"Ib Knudsen, Svendborg Midtby",Enhedslisten,6
Anders Johansson,Konservative,5
"Dennis Ørsted Petersen, Tved",SF,5
"Jacob Just, Svendborg Midtby",SF,5
Cassandra James,Alternativet,5
"Nanna Lindegaard, Svendborg Midtby",Enhedslisten,4
"Mustafa Diken, Tved",Venstre,4
"Marianne Rosengren Pacarada, Svendborg Østre Bydel",Enhedslisten,4
"Vibeke Syppli Enrum, Gudbjerg",Enhedslisten,3
"Emil Christensen, Hesselager",Danmarksdemokraterne,3
"Kim Vermø, Sørup",Venstre,3
"Bjarne Rønde Kristensen, Vester Skerninge",SF,3
"Andreas Fischer, Svendborg",Danmarksdemokraterne,3
Teddy Stafsen,Radikale,3
"René Borg, Svendborg",E,3
"Lars Nissen, Svendborg",SF,3
"Birger Jensen, Vester Skerninge",Venstre,3
Garny N. Srisgandarajah,Konservative,3
Lars Kalmar,Dansk Folkeparti,3
Astrid Ejlersen,Socialdemokratiet,2
Torben Frost,Socialdemokratiet,2
"Rasmus Wiwe, Ollerup",Enhedslisten,2
"Freja Blegholm Hansen, Tåsinge",Venstre,2
Heidi Bruun,Konservative,2
Mai-Britt Strøm,Socialdemokratiet,2
Niels Haastrup,Konservative,2
"Malene Kallan, Svendborg Midtby",Enhedslisten,2
Johan Emil Sevelsted,Konservative,2
"Charlotte Ellenberger, Tåsinge",SF,2
"Kim Kastoft, Svendborg Østre Bydel",Enhedslisten,2
"Emil Thirup-Sorknæs, Rantzausminde",Enhedslisten,2
Marianne Mix Larsen,Dansk Folkeparti,2
"Marie K. Christensen, Svendborg Vestre Bydel",SF,2
Lars Johannes Kristensen,J,2
Martin Svane,Socialdemokratiet,1
Claus Krossteig,Socialdemokratiet,1
"Medhat Khattab, Svendborg",Venstre,1
Kristine Andersen,Socialdemokratiet,1
Kristian Møller,Radikale,1
Julia Sand Skovsted,Radikale,1
Michael Bisbo,Konservative,1
Louise Haldbo Balslev Bisbo,Konservative,1
Thomas Nøhr,Konservative,1
Christian Stenberg,Konservative,1
Tina Kornelia Dyrbye,Socialdemokratiet,1
Dennis Skov Rasmussen,Konservative,1
"Torben Thillemann Jakobsen, Svendborg",Venstre,1
"Henning Petersen, Ulbølle",SF,1
Torben Jensen,Socialdemokratiet,1
Birger Bro Christensen,Liberal Alliance,1
Bjarne Elnegaard,Socialdemokratiet,1
"Jesper Ringsmose, Svendborg",Venstre,1
"Jeppe Mariager, Gudbjerg",Enhedslisten,1
Morten Holtegaard,D,1
Peter Ysekær,Konservative,0
Gustav Wilde,Liberal Alliance,0
H. E. Michelsen,Dansk Folkeparti,0
Kurt Sorknæs,Radikale,0
Villads Engstrøm,Konservative,0
Arne W. Petersen,Dansk Folkeparti,0
Tristan Chrétien,Dansk Folkeparti,0
Merete Visbjerg,Radikale,0
Bjarne Laustsen,Radikale,0
Mette Borup,Radikale,0
"Karen Kruse, Thurø",Venstre,0
Flemming Simonsen,Dansk Folkeparti,0
Stefan Göttler,Radikale,0
"Jonas Hulgaard Ammundsen, Ollerup",SF,0
Niels Christian Nielsen,Socialdemokratiet,0
Rasmus Duerlund Nielsen,Dansk Folkeparti,0
"Daniel Sørensen, Svendborg",Venstre,0
"Theis Kaas Nielsen, Svendborg",E,0
Karina Meldgaard Frederiksen,Dansk Folkeparti,0
Anne Katrine Olsen,Socialdemokratiet,0
Birthe Stjernegaard,Socialdemokratiet,0
Rasmus Schjødt Kold,Socialdemokratiet,0
Carol Tornow,Radikale,0
"Søren Bøving-Andersen, Skårup",Venstre,0
"Marie Falkesgaard Slot, Svendborg Midtby",SF,0
