kandidat,parti,stemmer
Morten Andersen,Venstre,2174
Mette Landtved-Holm,Venstre,1887
Kasper Solberg,Socialdemokratiet,773
Nikolaj Vang,Danmarksdemokraterne,699
Anders Thingholm,Konservative,695
"Jane Yndgaard, Klintebjerg",Dansk Folkeparti,382
"Anne-Lise Sievers, Morud",SF,378
"Bine Mathiasen, Søndersø",SF,299
"Marie Holmgaard, Morud",Liberal Alliance,268
Bo Jakobsen,Radikale,259
Lasse Mogensen,Venstre,234
Ann Chalotte Johansen,Socialdemokratiet,219
"Jannie Frimodt Kruse, Bogense",SF,210
Dennis Egelund Christensen,Venstre,189
Nicky Lebæk,Venstre,186
Claus Halsgaard Pedersen,Venstre,169
Dorte Schmidt,Socialdemokratiet,169
Gert Block Rasmussen,Socialdemokratiet,152
Steffen Nicolaisen,Venstre,145
Helle Waagner,Socialdemokratiet,142
Palle Yndgaard,Venstre,141
Nikolai Johansen,Socialdemokratiet,140
Niels Corfitz Andersen,Socialdemokratiet,139
Nathalie Kajberg,Venstre,137
Leif Olsen,Danmarksdemokraterne,135
Ole Taustrup Hansen,Venstre,135
Idrees Haider,Socialdemokratiet,132
Charlotte Soelberg,Socialdemokratiet,129
Brian Korsgaard,Venstre,114
Johnny Kristensen,Socialdemokratiet,106
Ann Berit Jensen,Venstre,105
Rikke Groth,Danmarksdemokraterne,103
Allan Mads Knægt,Konservative,100
"Marie Louise Pedersen, Bogense",Liberal Alliance,99
Anja Skovbo Rønnebro,Radikale,93
Brian Lebæk,Socialdemokratiet,86
"Maja Cecilie Jørgensen, Otterup",SF,83
"Per Christensen, Uggerslev",Dansk Folkeparti,82
"Poul Elmkær, Otterup",D,81
"Jimmy Kjær Havndrup Larsen, Bogense",Dansk Folkeparti,80
"Søren Lund Larsen, Egense",SF,75
Niels Bjarne Lund,Enhedslisten,72
Anette Lykke Jensen,Socialdemokratiet,67
Birgitte Schwabe,Socialdemokratiet,66
Marianne Jensen,Socialdemokratiet,63
Steen Hansen,Socialdemokratiet,61
Christina Christensen,Socialdemokratiet,59
Steen Ingemann Hansen,Socialdemokratiet,56
Christian Buhl,Venstre,53
Ulrich Dethlef Hunfjord Jørgensen,E,48
Maria Martynova,Venstre,48
Dirk Müller,Enhedslisten,48
"Rasmus Christoffersen, Morud",D,43
"Bent Olsen, Veflinge",SF,36
Mathias Thorsson,Radikale,36
Peter Hansen,Venstre,35
Brian Hansen,Danmarksdemokraterne,34
"Leif Bode Nielsen, Bogense",Liberal Alliance,33
Kathrine Grønkjær,Konservative,32
Heidi Valentin,Socialdemokratiet,29
"Marianne Jäger, Nørre Højrup",Dansk Folkeparti,28
Nikolaj Klok,Venstre,27
"Lene Granløkke, Bogense",SF,25
Jesper Thorsson,Radikale,23
Niels Funch,Venstre,23
"Flemming V. Knudsen, Søndersø",D,22
"Jørgen Lund, Bogense",D,20
"Poul Svane Madsen, Bogense",Dansk Folkeparti,19
Henrik Damborg Sørensen,Danmarksdemokraterne,18
John Arnshof,Radikale,15
Martin Elbæk,Venstre,13
"Helge Brosbøl, Otterup",D,13
Svitlana Colding,Socialdemokratiet,11
"Kim Hoffenzet, Bårdesø",Dansk Folkeparti,9
Tina Nas'Cou,Konservative,9
Martin Dam Nørgaard Magnussen,Konservative,6
