kandidat,parti,stemmer
"Erik Lauritzen, Blans",Socialdemokratiet,1575
"Thomas Worm Larsen, Sydals",Venstre,450
"Didde Lauritzen, Nybøl",Socialdemokratiet,430
"Tage Petersen, Midtals",Venstre,419
"Claus Damm Johansen, Broager",Liberal Alliance,352
"Morten Dreier, Augustenborg",Venstre,346
"Kristian Egeskov Bonefeld, Snogbæk",Venstre,291
Stefan Lydal,Dansk Folkeparti,283
"Erik Krogh, Broager",Venstre,249
"Daniel Staugaard, Egernsund",Venstre,237
"Jimmy Simonsen, Nordborg",Venstre,211
"Tom Hartvig Nielsen, Fynshav",Socialdemokratiet,208
"Nikolai Hartmann, Augustenborg",Liberal Alliance,202
Niels Benjamin Sørensen,Danmarksdemokraterne,198
"Erik Lorenzen, Broager",Socialdemokratiet,198
"Jesper Larsen, Nordborg",Socialdemokratiet,187
"Kjeld Stærk, Sønderborg",Venstre,185
"Susanne Blegvad Posselt, Broager",SF,177
"Vivi Brit Nielsen, Sønderborg",Venstre,149
"Kirsten Bachmann, Sønderborg",Slesvigsk Parti,148
"Kim Michaelsen, Fynshav",Venstre,140
"Kristian Beuschau, Nordborg",Socialdemokratiet,135
Dorthe Mehlberg,Danmarksdemokraterne,128
"Frederik Klakk, Sydals",Liberal Alliance,127
"Kim Bækdal Agerley, Gråsten",Liberal Alliance,122
"Jesper Smaling, Dybbøl",Socialdemokratiet,119
"Lars Guldborg, Augustenborg",Socialdemokratiet,116
Asger Romme Andersen,Enhedslisten,115
"Lisa Jonasson, Broager",Venstre,111
Tobias Brus Mikkelsen,Dansk Folkeparti,98
"Ingrid Johannsen, Gråsten",Venstre,94
"Janne Wølke Friis Søgnen, Guderup",Liberal Alliance,93
"Christel Leiendecker, Broager",Slesvigsk Parti,91
Carsten Dohrmann,Danmarksdemokraterne,79
"Jesper Kock, Sønderborg",Socialdemokratiet,74
"Jørgen Jørgensen, Nordals",SF,72
"Leif Curdes, Gråsten",Slesvigsk Parti,60
"Jesper Højmark Esbensen, Sønderborg",Konservative,58
Vibeke Schou,E,53
"Jette Damsø Henriksen, Guderup",Socialdemokratiet,51
Charlotte Liljeblad Pilegaard,Dansk Folkeparti,51
Johanna-Maria Precht,Enhedslisten,48
Emely Wind Thomsen,Dansk Folkeparti,46
"Hans Georg Henningsen, Sydals",SF,44
"Sofie Nissen, Nordals",Venstre,44
"Bjørn Allerelli Andersen, Ulkebøl",Socialdemokratiet,40
"Charlotte Engelbrecht, Adsbøl",Socialdemokratiet,40
"Henrik Sohl, Broager",Socialdemokratiet,39
"Marita Geinitz, Sønderborg",Socialdemokratiet,36
"Gerda Strandholdt, Augustenborg",SF,34
Poul Harald Holm,Kristendemokraterne,33
"Timm Bøttger, Sønderborg",SF,33
"Preben Storm, Rinkenæs",Socialdemokratiet,32
"Karen Mølbæk, Augustenborg",Socialdemokratiet,32
"Thomas Bjørn-Lüthi, Høruphav",Liberal Alliance,32
"Rune Dohrmann, Vollerup",Socialdemokratiet,30
"Jesper Mølgaard Axelsen, Dybbøl",Venstre,30
"Charlotte Prösch, Sønderborg",Konservative,29
"Henrik Rathje, Egernsund",Socialdemokratiet,29
Tom Sivertsen,G,27
Theresa Kolmos,Enhedslisten,25
"Jytte Sørensen, Sønderborg",Socialdemokratiet,25
"Jesper Puggaard de Oliveira Hansen, Broager",Moderaterne,24
Ida Siemens Holm,Enhedslisten,23
"Mads Hagen, Sønderborg",Venstre,22
"Gerhard Bertelsen, Sønderborg",Slesvigsk Parti,20
"Hans Peter Hollænder, Sønderborg",Socialdemokratiet,20
"Preben Thorsen, Dybbøl",Moderaterne,19
"Ganeswaran Shanmugaratnam, Dybbøl",Socialdemokratiet,18
"Claus Kramer Hansen, Gråsten",Socialdemokratiet,17
"Ejler Skjerning, Nordborg",Venstre,17
Louise Gustafsson Kolmos,Enhedslisten,16
"Orla Skovlund Hansen, Gråsten",Socialdemokratiet,16
"Ismail Ibo, Sønderborg",Socialdemokratiet,16
"Jørgen Hindkjær, Lysabild",Socialdemokratiet,15
"Frederik Edelskov, Gråsten",Venstre,15
"Desalegn Tufa, Sønderborg",Socialdemokratiet,15
"Betina Thomsen, Sønderborg",Konservative,14
"Kim Kugel, Broager",SF,13
"Ken Julius, Sundeved",Konservative,12
"Ulrick Christiansen, Sønderborg",Socialdemokratiet,12
"Serena Albeck Jonas, Nordborg",Venstre,12
"Frank Bodholdt Jakobsen, Svenstrup",SF,8
"Arno Knöpfli, Asserballeskov",Slesvigsk Parti,8
"Charlotte Grau, Guderup",Socialdemokratiet,8
"Gisela Weber Mezghani, Nordborg",Slesvigsk Parti,7
"Annette Dam, Sønderborg",Socialdemokratiet,7
"Sarah Leiendecker, Broager",Slesvigsk Parti,7
"Bent Jacobsen, Sydals",SF,7
Mikael Hertig,Alternativet,7
"Thomas Maschoreck, Gråsten",Slesvigsk Parti,7
"Peter Keltner, Sydals",Slesvigsk Parti,7
Sara Alderi,Enhedslisten,6
"Micky Blankschøn, Sønderborg",Socialdemokratiet,6
"John Hyrup Jensen, Ulkebøl",SF,5
Susanne Holm,Kristendemokraterne,5
"Rainer Naujeck, Egernsund",Slesvigsk Parti,4
Marion K. Hansen,Enhedslisten,4
"Kaja Julius, Sundeved",Konservative,4
"Jes Schwartz-Hansen, Sønderborg",Socialdemokratiet,4
"Claus Brinck, Sønderborg",Socialdemokratiet,4
