kandidat,parti,stemmer
Jesper Frost Rasmussen,Venstre,6667
Michael Harbøll,Socialdemokratiet,2373
Mads Engelund Larsen,Dansk Folkeparti,1513
Nicolaj Aarøe,Konservative,1493
May-Britt Andrea Andersen,Konservative,1472
Karin Schwartz,Socialdemokratiet,1297
Anne Marie Geisler Andersen,Radikale,1247
Susanne Dyreborg,Danmarksdemokraterne,1236
Henning Hyllested,Enhedslisten,1185
Mikkel Ammitzbøll,SF,978
Kurt Bjerrum,Venstre,824
Maria Høj Pedersen,Venstre,812
Tina Skov Larsen,Venstre,807
Henning Ravn,Venstre,733
Mads Lustrup,Socialdemokratiet,712
Signe Jørgensen,Socialdemokratiet,706
Emil Pedersen,Venstre,701
Ulla Koman,Socialdemokratiet,619
Dino Selimović,Konservative,600
Frederik Vestergaard Jørgensen,Socialdemokratiet,584
Anders Rohr Jørgensen,Venstre,549
Nanna Kastorp,SF,547
Hans Erik Møller,Socialdemokratiet,542
Martin Østergaard Olsen,Konservative,517
Karsten Degnbol,Venstre,466
Hans Erik Andersen,Venstre,465
Klaus Sandfeld,Venstre,461
Mussa Utto,Socialdemokratiet,458
Henrik Andersen,Venstre,451
Pernille Plantener,Venstre,445
Mette Hjorth Hager Petermann,Venstre,443
Maria Hilding,Socialdemokratiet,436
Peter Nikolajsen,Liberal Alliance,418
Ronnie Esmann Pedersen,Venstre,416
Rasmus Rasmussen,Socialdemokratiet,400
Bo H. Hollænder,Dansk Folkeparti,378
Karen Sandrini,Venstre,354
Jørn Boesen Andersen,SF,354
Linda Lund Lauridsen,Danmarksdemokraterne,352
Bonnie Fjord,Socialdemokratiet,350
Bjarne Donslund,Konservative,325
Trine Timmerby,Moderaterne,309
Jørgen Ahlquist,Socialdemokratiet,303
Sarah Nørris,Enhedslisten,294
Noor Meng,Venstre,273
Sabrina Bech Bartholin,E,266
Morten Møller,E,238
Casper Værndal,Liberal Alliance,219
Kirsten Gaulshøj,Dansk Folkeparti,215
Alexander Vasylyeva,Venstre,209
Søren Littau Christiansen,Liberal Alliance,186
Nini Oken,Socialdemokratiet,178
Peter Christensen,SF,176
Sune Porsholdt Andersen,Liberal Alliance,163
Cecilie Rønn,Socialdemokratiet,161
Emma List,SF,158
Simone Bruun,Venstre,156
Olfert Krog,Venstre,151
Helle Rosenbæk,Venstre,148
Christina Simonia Straarup,L,140
Simon Waad List,Liberal Alliance,138
Eva Bonde,Socialdemokratiet,133
Jann Rosenkilde Olesen,Danmarksdemokraterne,132
Henning Emil Hein,Socialdemokratiet,131
Hardy Jack Rasmussen,Socialdemokratiet,118
Henrik Bro Lund,Moderaterne,115
Pernille List Kristensen,Venstre,114
Martin Vedstesen,Socialdemokratiet,111
Simon Dahl Verner,SF,106
Søren Heide Lambertsen,Venstre,105
Andreas Ranvits,Danmarksdemokraterne,104
Benjamin Brixley,Venstre,101
Ruth Mikel Jensen,Enhedslisten,101
Thomas Hauger,Enhedslisten,96
Peter Kent Starup,Konservative,92
Finn Lambek,SF,84
Daniel Teodor Avram,Socialdemokratiet,77
Tobias Wittendorff Lund,Radikale,77
Mai-Britt Maigatter,Dansk Folkeparti,74
Edvard Korsbæk,Alternativet,72
Ib Nielsen,Konservative,71
Henrik Ammundsen,Dansk Folkeparti,70
Lone Hansen,Moderaterne,68
Leif Wittorff,Dansk Folkeparti,60
Michael Brandt-Nielsen,J,59
Jeanette Duvander,Socialdemokratiet,56
Lars Mogensen,Enhedslisten,55
Charlotte B. Thomsen,SF,55
Melanie Pedersen,Dansk Folkeparti,54
Thyge Kristensen,Enhedslisten,53
Danni Petræus,Konservative,51
Minna Ammundsen,Dansk Folkeparti,49
Knud Erik Trans,Dansk Folkeparti,48
Casper Damgaard,Radikale,47
René Villadsen,Venstre,46
Jørgen Haubuf,Enhedslisten,39
Jørgen Gram,Liberal Alliance,33
Johan Hansen,Dansk Folkeparti,32
Lisbet Skou,Enhedslisten,31
Christian Fjord Tarbensen,Konservative,28
Merete Jensen,L,23
Rita Underbjerg,Enhedslisten,23
Poul-Henrik Jensen,Enhedslisten,22
Oscar Fink,Enhedslisten,18
Michael Leuenhagen,Venstre,18
Maiken Huglstad Pedersen,E,16
Oluf la Cour Dragsbo,Radikale,15
Thomas Kierkgaard,Moderaterne,13
Nicolai Hansen,Venstre,10
Bent Yde,Enhedslisten,9
Miriam Holm,Moderaterne,9
Thormod H. S. Jensen,Enhedslisten,6
Steen H. Petersen,Venstre,3
