kandidat,parti,stemmer
Frank Jensen,Radikale,731
Mads Nørholm Pedersen,Konservative,147
Niels Fischer-Nielsen,Konservative,142
Benjamin Strand Andersen,Alternativet,132
Christian Lorenzen,Konservative,127
Erik Nørreby,Venstre,120
Trine Buhl,L,69
Julie Riishøj,Radikale,60
Pernille Brunbjerg,Enhedslisten,59
Lasse Harder Schousboe,Enhedslisten,49
Melissa Gilroy,Radikale,45
Sofie Exner Koch,Radikale,34
Niels Chr. Nielsen,SF,33
Jens Jønsson,Radikale,26
Jørgen Dalsgaard,Socialdemokratiet,26
Olav Nielsen,Radikale,25
Karen Jeppesen,SF,24
Jørgen Seyfarth,Venstre,24
Henning Kjærgaard,Konservative,21
Tina Haldan Gotthardsen,Konservative,20
Svend Madsen,Konservative,19
Stina Østerby Thøgersen,SF,16
Morten Halkjær,Venstre,16
Kurt Kirkegaard,Konservative,15
Betina Herold Højgaard,Radikale,13
Poul Lundholdt,Radikale,12
Anne-Mette Ibsen,Socialdemokratiet,9
Kim Fischer,Socialdemokratiet,8
Lars Christoffersen,Venstre,8
Andreas Thomassen,Konservative,8
Mikkel Fahlstrøm,Enhedslisten,8
Jesper L. Ekström,Socialdemokratiet,7
Mette Nørby Jensen,Enhedslisten,6
Erik Nielsen,Socialdemokratiet,6
Therese Vendelhaven,Radikale,6
Lene Mørk,L,5
Birthe Sønderskov,Socialdemokratiet,5
Birgit Knudsen,Socialdemokratiet,4
Emil Hoffmann Madsen,Venstre,4
Arne Clausen,L,4
Lars Brockdorff-Bruun,Konservative,4
Bente Kristiane Hoel,Socialdemokratiet,3
Leif Hartmann,Socialdemokratiet,3
Bent Andersen,Konservative,3
Lisbet Petersen,Enhedslisten,3
Peter Bøgsted Knudsen,Enhedslisten,2
Lene Kaltwasser Leonhardt,Alternativet,2
Susan Mette Bjerg Lauridsen,Socialdemokratiet,1
