kandidat,parti,stemmer
Sarah Andersen,Venstre,2931
Sandie Eis Ravn,Socialdemokratiet,1396
Henrik Vej Kastrupsen,Konservative,1098
Preben Friis-Hauge,Venstre,904
Poul Burgaard,Venstre,878
Kitty Gamkinn,N,803
Lars Teglgaard,Venstre,772
Peter Nielsen,Liberal Alliance,721
Mikkel Berggreen Schmidt,SF,682
Julie Gottschalk,Dansk Folkeparti,607
Jonna Jul Gudmundsen,Socialdemokratiet,602
Per Thisted,Venstre,516
Christian Bergholdt,Liberal Alliance,446
Claus Brink,Venstre,428
Simon Burkarl,Venstre,398
Henriette Harmuth,Danmarksdemokraterne,345
Anja Schmidt Hallum Hansen,SF,319
Mariane Nygaard Holm,Konservative,309
Tina Agergaard Hansen,Venstre,289
Harry Voigt,Danmarksdemokraterne,274
Tine Toft,SF,265
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,250
Erling Thrane,Socialdemokratiet,246
Bjarne Burgdorff,Danmarksdemokraterne,242
Inger Marie Kristensen,Venstre,236
Ove Sidding Nielsen,Liberal Alliance,220
Finn Ladegaard,Socialdemokratiet,208
Ole Vad Hansen,Venstre,202
Tom Arnt Thorup,Venstre,195
Heidi Bundgaard,N,185
Daniel Sørensen,Venstre,181
Birger Filskov,Socialdemokratiet,161
Bo Tobiasen,Venstre,159
Bauke Keulen,Venstre,157
Doron Edry,Socialdemokratiet,156
Paul O'Connor,Venstre,155
Per Rask Jensen,Moderaterne,148
Rasmus Sømod,Konservative,145
Maria Christensen,Konservative,135
Kristian Thomsen,Konservative,134
Jonas C. W. Iversen,Radikale,127
Stanley Johansen,Venstre,127
Claus Hembo,Danmarksdemokraterne,124
Kim Alexander Jensen,Liberal Alliance,116
Elsebeth Bertignol,Dansk Folkeparti,116
Knud Erik Hansen-Vestkær,N,113
Erhardt Jull,N,110
Jimmy Østergaard,N,109
Ulla Fuglsang Sundvang,Konservative,105
Leif Poulsen,Venstre,95
Niels Ole Beck,Socialdemokratiet,89
Gitte Kvist,Konservative,88
Dennis Hounsgaard Pedersen,N,79
Majbritt Theilgaard Iversen,Socialdemokratiet,76
Karsten Kragh,N,66
Kim Christensen,Socialdemokratiet,64
Jan Brink,Dansk Folkeparti,62
Rune Gøbel Jacobsen,N,61
Henning Jensen,Dansk Folkeparti,60
Hans Vestager,Radikale,58
Larysa Novikova,Venstre,57
Steen Bjerregaard Jørgensen,Kristendemokraterne,55
Anders Helth Hansen,Venstre,52
Mogens H. Ehmsen,Liberal Alliance,52
Ole Juhl Christoffersen,SF,46
Per Nielsen,Socialdemokratiet,45
Lars Ejgaard Bissenbacker,Venstre,31
Thomas Mandahl-Barth,Konservative,29
Martin Kjeller Petersen,Venstre,24
René Jensen,Liberal Alliance,21
Carsten Schultz-Nielsen,Socialdemokratiet,18
Irene Madsen Lund,Dansk Folkeparti,17
Per Dueholm,Liberal Alliance,12
Linda Jessen,N,9
