kandidat,parti,stemmer
"Jakob Ville, Kolding",Venstre,4892
Søren Rasmussen,Dansk Folkeparti,2990
Birgitte Munk Grunnet,Socialdemokratiet,1786
Jørn Chemnitz,SF,1424
Iben Lehmann Rasmussen,SF,1420
"Christina Foldager, Kolding",Konservative,1239
"Jan Schjerning, Lunderskov",Venstre,974
Molle Lykke Nielsen,Dansk Folkeparti,882
Gitte Grønbæk,Liberal Alliance,819
"Nicolai Boelsmand Asmussen, Alminde-Viuf",Venstre,744
"Merete Due Paarup, Jordrup",Radikale,655
Benny Dall,Enhedslisten,613
"Torben Lund, Kolding",Venstre,606
Cecilie Liv Hansen,Liberal Alliance,583
"Niels Henning Bladt, Kolding",Venstre,552
"Jonas Kallan Langvad, Vonsild",Venstre,487
Hamlaoui Bahloul,Socialdemokratiet,478
Susanne Stenstrop Thorsen,SF,441
"Freddy Christensen, Vamdrup",Venstre,413
"Tobias Jørgensen, Hoppeshuse",Venstre,402
Mette Riis,Socialdemokratiet,377
Jakob Stagaard,Socialdemokratiet,370
Poul Erik Jensen,Socialdemokratiet,363
Filip Bekic Bladt,Socialdemokratiet,354
Folmer Krogh,Socialdemokratiet,343
Lars Rosenberg Grodt-Andersen,Danmarksdemokraterne,337
"Christina Kuntz, Bramdrupdam",Venstre,323
Victoria Davidsen,Socialdemokratiet,294
"Rikke Werner Kruse, Kolding",Venstre,292
"Glenn Lundt, Vamdrup",Venstre,285
Morten Hell,Moderaterne,267
Thomas Majgaard Byrsing,Danmarksdemokraterne,263
"Lennarth Hansen, Kolding",Venstre,246
Lene Ross Skou,Danmarksdemokraterne,234
Nicolai Holmgaard Juul,SF,233
Jens Erik Lind,Socialdemokratiet,225
"Helene Baarup-Christensen, Christiansfeld",Venstre,222
Per Bødker Andersen,Socialdemokratiet,216
Thomas Kramer,Moderaterne,211
Jan Skræddergaard,Dansk Folkeparti,204
"Sinne Langballe, Kolding",Radikale,192
"Brian Vittrup, Hejlsminde",Venstre,187
Peter Skousen,Liberal Alliance,187
Ida Agnete Storgaard Christensen,Enhedslisten,187
Per Knudsen,Dansk Folkeparti,178
Jørn Dohrmann,J,175
"Morten Trillingsgaard Høybye, Vester Nebel",Konservative,167
Bent Jørgensen,Socialdemokratiet,163
Hasse Smedegaard,Liberal Alliance,160
Laura Dahl Blomstrøm,Enhedslisten,156
"Mirela Tanovic, Kolding",Konservative,149
"Morten Møller Pedersen, Skanderup",Venstre,147
"Brian Ørum Hansen, Kolding Ø",Venstre,146
Hanna Andresen,Socialdemokratiet,142
"Kjeld Kjeldsen, Dalby",Venstre,140
"Margreet Smit, Sdr. Stenderup",Radikale,131
"Fie Byberg, Kolding",Radikale,127
Bo Sander,Socialdemokratiet,122
"Peter Thiel Søbjerg, Sdr. Bjert",Venstre,121
"Knud Nørregaard, Bramdrupdam",Radikale,119
"Knud Erik Langhoff, Bjert",Konservative,115
Magnus F. Stilling,Socialdemokratiet,113
Tenna Lindgaard,Dansk Folkeparti,112
Christina Kokkendoff,Liberal Alliance,101
Vibeke Henriksen,Moderaterne,100
"Kim Toft Andersen, Strandhuse",Radikale,98
Ziggy Barsøe Povlsen,Enhedslisten,97
"Rajinder Grover, Strandhuse",Radikale,97
"Henrik Vest, Brændkjær",Venstre,97
Cecer Bjørk,SF,96
"Rasmus Sandvej, Kolding",Konservative,90
