kandidat,parti,stemmer
Dorte West,Venstre,4820
Jens-Bernhard Knudsen,Venstre,961
Marianne Bjørn,Venstre,956
John Thomsen,Venstre,895
Torsten Troelsen,Danmarksdemokraterne,849
Lea F. Poulsen,Radikale,794
Lone Børlum,Socialdemokratiet,745
Bruno Hansen,Venstre,708
Kirsten Kronborg,SF,707
Claus Udbye,Venstre,695
Dann Karlsen,Venstre,685
Joan Hansen,Venstre,677
Anne Marie Søe Nørgaard,Venstre,668
Tommy Tønning,Socialdemokratiet,656
Michael Larsen,Venstre,623
Kenneth Storm,Liberal Alliance,587
Mette Guldberg,Konservative,564
Lone Nielsen,L,562
Morten Petersen,Venstre,535
Jakob Kjærsgaard,Danmarksdemokraterne,526
Søren Peder Jensen,Venstre,515
Philip Vivet,Radikale,507
Erik Poulsen,Venstre,488
Vinnie Borbjerg,Socialdemokratiet,481
Karlo Brondbjerg,Kristendemokraterne,479
Jens Damsbo Kjærsgaard,Konservative,448
Esben Pilgaard,Venstre,446
Erling Præstekjær,Dansk Folkeparti,398
Peter Nowack,SF,393
Michael Thomsen,SF,388
Lone Krog,Venstre,379
Ernst B. Knudsen,L,376
Arulanantharajah Thillainadarasa,Socialdemokratiet,350
Gorm Hoff Lauridsen,Konservative,343
Kai Nørholm,Venstre,332
Rikke Rocatis,Venstre,328
Michael Najbjerg Jakobsen,Venstre,272
Troels Thylstrup,Socialdemokratiet,258
Sebastian Sandgaard,Venstre,250
Dan Skovlyst,Danmarksdemokraterne,242
Erik Lorenz,Enhedslisten,239
Karina Juul Nielsen,SF,224
Gennadiy Torba,Venstre,215
Malene Jøns,Venstre,203
Anne Marie Christensen,L,190
Egon Nykjær,SF,183
Kristian Christensen,Dansk Folkeparti,178
Rikke Worsøe,Venstre,173
Knud Nielsen,Dansk Folkeparti,162
Mathias Morgen,Venstre,158
Aksel Stistrup Nurmisto,Liberal Alliance,158
Ulrik Hyldgaard,Venstre,153
Jesper N. Jensen,Kristendemokraterne,148
Mohamad Mahmod,Socialdemokratiet,140
Ulla Blok,SF,126
Mona Burgdorf Herskind,Socialdemokratiet,117
Heinrich Berwald,Socialdemokratiet,115
Susanne Østergård,SF,115
Anita Lund Kjær,SF,114
Lars Dohn,Enhedslisten,114
Knud Holdgaard,Socialdemokratiet,110
Lasse Hjorth Jørgensen,Venstre,110
Casper Hindkjær,Radikale,109
Charles Damholt,Venstre,106
Steffen Troldtoft,Liberal Alliance,106
Jacob A. Christensen,Venstre,99
Jens Kirkeby,Moderaterne,96
Thomas Markussen,Kristendemokraterne,83
Jesper Boie,Socialdemokratiet,79
Michael Hillebrandt,Konservative,77
Jannie Munk Grønbek,Konservative,75
Tommy Ib Sandgaard,Radikale,74
Malene Riberholdt Christensen,Venstre,73
Per Thorsteinsson,SF,69
Zeljka Secerbegovic,Venstre,68
Jytte Pedersen,D,65
John Refshammer,Radikale,63
Kjeld Risom,Venstre,58
Maria B. M. Klausen,Kristendemokraterne,56
Karl Højhus Jeppesen,Konservative,55
Camilla Lisby Boesen,Radikale,50
Brian T.  Andersen,Kristendemokraterne,46
Nicolai Stensdal Dalgaard,Venstre,44
Jonas Bondrop,Moderaterne,44
Bodil Grove Christensen,Radikale,44
Jacob Guldberg Mortensen,SF,43
Almind Spelling-Sørensen,SF,43
Inge Nielsen Græsborg,Dansk Folkeparti,42
Danny Præstekjær,Dansk Folkeparti,42
Hanne Bødtker,Kristendemokraterne,40
Kristina Taaning,Radikale,37
Hanne Frølund,Radikale,36
Lars Lie,Konservative,27
Elsebeth Villadsen,SF,24
Poul-Erik Foldbjerg,L,24
Marius Kristensen,Socialdemokratiet,23
Dorthe Ahle,L,23
Jette Tibert,Venstre,15
Martin Lundsgaard-Leth,Radikale,11
Henrik Horsted,L,9
Allan Mørup,Venstre,8
Anita Fyrstman,Venstre,5
Frederik Ahle,L,4
Rudy Boes Andersen,L,2
