kandidat,parti,stemmer
Chris Olesen,Venstre,1037
Lone Pilgaard Sørensen,Socialdemokratiet,819
Jens Lønberg,Konservative,650
Henrik Grøn,Danmarksdemokraterne,571
Helene Nørgaard Herping,Danmarksdemokraterne,430
Per M. Olesen,Venstre,404
Trine Rønn,SF,395
Bent B. Graversen,Venstre,337
Ole Kjærgaard,Danmarksdemokraterne,324
Peder Hummel,Venstre,321
Gunnar Lisby Kjær,Venstre,287
Marianne Dræby Zuccarello,Socialdemokratiet,265
Vicki Munksgaard,Danmarksdemokraterne,265
Kristian Siig,Danmarksdemokraterne,252
Jonas Munkholm Jensen,L,241
Henning Sloth,Danmarksdemokraterne,236
Dorete Kallesøe,SF,224
Peter Borup Sørensen,Socialdemokratiet,209
Gitte Winther Jeppesen,Radikale,207
Steen Madsen,Socialdemokratiet,204
Søren V. Jensen,Venstre,184
Rasmus Porup,Konservative,178
Kasper Humle,Radikale,178
Christina Serup Hove,Venstre,165
Carina Borum,Venstre,157
Bent Wolder Mortensen,Socialdemokratiet,149
Peder Frølund Buch,L,122
Ole Nees,Venstre,102
Karl Balleby,Dansk Folkeparti,101
Jakob Brokholm Mortensen,Socialdemokratiet,99
Lars H. Snejbjerg,Venstre,80
Rico Abildtrup Ruby,Danmarksdemokraterne,80
Benedicte Hjerl Carstensen,Konservative,78
Albert Vinther Krogh,Venstre,77
Maja Krogsgaard,Venstre,69
Niels Chr. Lind,Venstre,55
Michael Povlsgaard,Konservative,54
Dan Søgaard Ditlevsen,L,53
Martin Sig Kristensen,L,52
Henning Juhl Christensen,Dansk Folkeparti,45
Pia Brøchner Jensen,Socialdemokratiet,44
Helle Frederiksen,SF,41
Asger Gyldenkærne,Venstre,38
Claus Ø. Mosekjær,Konservative,33
Michael Mølgaard,L,27
Ole Margon,Radikale,25
Knud Bjerrum,Socialdemokratiet,24
Per Lindved,Konservative,23
Jens Jørn Porup,Konservative,21
Anna Maria Hoornenborg,Radikale,20
Nick Larsen,Dansk Folkeparti,17
Allan Mose Jakobsen,Socialdemokratiet,17
Azad Palmqvist,Radikale,15
Anette Colding Brun,Radikale,14
Niels Wied,Radikale,13
Jacob Hansen Rye,SF,13
Jesper Skinhøj Sund,Socialdemokratiet,12
Hemming Klokker,SF,12
Pia Ellesøe,SF,9
Jørn Skou,Konservative,9
Ivan Møller Sørensen,Socialdemokratiet,9
Ole Skovsgaard Daniel,Socialdemokratiet,9
Ole Nicolajsen,L,7
Søren L. Christensen,SF,5
Torben Mamsen,SF,4
Sjønne Kallesøe,Radikale,4
Keld Marstrand Christensen,Radikale,3
Janet Jensen,SF,3
Tim Rørstrøm,Radikale,3
Brian Lehm Nielsen,SF,2
