kandidat,parti,stemmer
Michael Stegger Jensen,Socialdemokratiet,2577
Kirstine Bille,SF,1154
Christoffer Pedersen,Venstre,800
Kasper Kolstrup Møller,Konservative,666
Vibe Bregendahl Noordeloos,Konservative,604
Ole S. Hansen,Socialdemokratiet,469
Carina Manley Hansen,Socialdemokratiet,445
Kim Lykke Jensen,SF,444
Jørgen Ivar Brus Mikkelsen,Venstre,443
Heine Skovbak Iversen,Radikale,440
Henriette Qvist Eriksen,Venstre,428
Erik Poulsen,Danmarksdemokraterne,413
Anita Søholm,Socialdemokratiet,400
Jesper Yde Knudsen,Enhedslisten,391
Camilla Engholm,Venstre,390
Mette Foged,Alternativet,390
Riber Hog Anthonsen,Venstre,375
Jan Fischer,Socialdemokratiet,372
Camilla Rønde,Socialdemokratiet,348
Michael Mikkelsen,Danmarksdemokraterne,341
Mille Toft Schou,Konservative,316
Christina Furholm Kjærgaard,Socialdemokratiet,306
Niels Søren Rasmussen,Venstre,291
Peter Ravn,Socialdemokratiet,284
Peter Malbæk,Liberal Alliance,282
Sidse G. Vangsted,Socialdemokratiet,278
Mette Keller,SF,232
Nick Boye,Danmarksdemokraterne,204
Peter Sand,Venstre,190
Ole Dale,Danmarksdemokraterne,187
Lars Gerner,Venstre,186
Morten Siig Henriksen,SF,180
Kirstine Kahr Kvorning,Konservative,177
Marianne Kirkegaard,Venstre,176
Lene Straarup,Socialdemokratiet,175
Preben Kimer,Dansk Folkeparti,172
Mohammad Steitan,Enhedslisten,160
Sarah Roued Thomsen,Alternativet,149
Sverre Tønder,Konservative,146
Bjørn Jensen,Konservative,138
Laila Sortland,Konservative,136
Peter Graarup Westergaard,Socialdemokratiet,135
June Crondahl,SF,132
Per Øxenholt,Z,127
Peter Bachmann,Dansk Folkeparti,122
Bjarke Jensen,Radikale,118
Bente B. Larsen,Danmarksdemokraterne,117
Jens Prang-Andersen,Venstre,115
Steffen Skifter,Socialdemokratiet,115
Tony Coucheron,Danmarksdemokraterne,114
Kasper Østvig Nissen,SF,105
Carsten Bech,Venstre,95
Karla Andreassen,Enhedslisten,92
Lars Bøgelund,Danmarksdemokraterne,91
Kim Withen Olesen,Konservative,90
Carsten Hougaard Nielsen,Venstre,88
Maja Bendtsen,Liberal Alliance,87
Jacob Lænsø,Konservative,86
Svend Astrup,Socialdemokratiet,85
Rico Ray Hernandez Jensen,Venstre,85
Thea Hjøllund Hansen,Z,84
John Finmann,Venstre,82
Simon Astrup,Radikale,75
Dorthe le Fèvre,Konservative,74
Peter Krog-Meyer,Venstre,73
Kristian Herget,SF,68
Louise Bové Villadsen,Radikale,63
Claus Busk,Socialdemokratiet,62
Randi Lund Jepsen,Enhedslisten,61
Julie Manderup,Radikale,59
Dorthe Sølvkær Ehlers,SF,55
Jakob Jensen,Enhedslisten,55
Ingrid Boldsen,SF,47
Kia Dahl Sørensen,Konservative,44
Nicholai Vigger Knudsen,Danmarksdemokraterne,43
Vivi Gilsager,Venstre,43
Kim Tapdrup,Venstre,42
Lotte Stampe,Konservative,41
Thøger Trold Pauli,Enhedslisten,40
Lars Erik Sørensen,Alternativet,40
Dorete Schmidt Rindom,SF,37
Dagmar Thiemer Andersen,Enhedslisten,35
Clair Marie Archer,Liberal Alliance,34
Hanne Høgh Larsen,Venstre,34
Thomas Quist Mortensen,Alternativet,31
Karen Bønløkke Davis,Alternativet,30
Niels Aakjær Holst,Konservative,30
Carsten Kochen Bryrup,Venstre,26
Jens Rasmussen,SF,25
Maria Rasmussen,Alternativet,23
Daniel Buttenschøn,Socialdemokratiet,22
Carsten Strandborg,Danmarksdemokraterne,22
Kim Sørensen,Alternativet,22
Lars Breum,Socialdemokratiet,19
Anita Vivian Alexandru,J,18
Hans Jørgensen,Venstre,18
Søren Maarslet,Konservative,17
Karin Ahlgren,SF,16
Lone Lise Thorsen,SF,14
Lars Thyrre Sørensen,Enhedslisten,14
Kjeld Mikkelsen,Enhedslisten,14
Jens Peter Mølgaard,Alternativet,11
Jens Chr. Nielsen,Enhedslisten,11
Thorkild Sørensen,Enhedslisten,8
Ken Hansen,Danmarksdemokraterne,7
Andreas Nilsson,J,2
